Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"1,1057","1,1057","1,1057","1,1057","0,05%"
28.12.1979,"1,1062","1,1062","1,1062","1,1062","0,05%"
31.12.1979,"1,1066","1,1066","1,1066","1,1066","0,04%"
02.01.1980,"1,1085","1,1085","1,1085","1,1085","0,17%"
03.01.1980,"1,1100","1,1100","1,1100","1,1100","0,14%"
04.01.1980,"1,1101","1,1101","1,1101","1,1101","0,01%"
07.01.1980,"1,1138","1,1138","1,1138","1,1138","0,33%"
08.01.1980,"1,1131","1,1131","1,1131","1,1131","-0,06%"
09.01.1980,"1,1136","1,1136","1,1136","1,1136","0,04%"
10.01.1980,"1,1128","1,1128","1,1128","1,1128","-0,07%"
11.01.1980,"1,1116","1,1116","1,1116","1,1116","-0,11%"
14.01.1980,"1,1117","1,1117","1,1117","1,1117","0,01%"
15.01.1980,"1,1125","1,1125","1,1125","1,1125","0,07%"
16.01.1980,"1,1115","1,1115","1,1115","1,1115","-0,09%"
17.01.1980,"1,1106","1,1106","1,1106","1,1106","-0,08%"
18.01.1980,"1,1105","1,1105","1,1105","1,1105","-0,01%"
21.01.1980,"1,1098","1,1098","1,1098","1,1098","-0,06%"
22.01.1980,"1,1096","1,1096","1,1096","1,1096","-0,02%"
23.01.1980,"1,1125","1,1125","1,1125","1,1125","0,26%"
24.01.1980,"1,1098","1,1098","1,1098","1,1098","-0,24%"
25.01.1980,"1,1091","1,1091","1,1091","1,1091","-0,06%"
28.01.1980,"1,1079","1,1079","1,1079","1,1079","-0,11%"
29.01.1980,"1,1064","1,1064","1,1064","1,1064","-0,14%"
30.01.1980,"1,1064","1,1064","1,1064","1,1064","0,00%"
31.01.1980,"1,1071","1,1071","1,1071","1,1071","0,06%"
01.02.1980,"1,1060","1,1060","1,1060","1,1060","-0,10%"
04.02.1980,"1,1069","1,1069","1,1069","1,1069","0,08%"
05.02.1980,"1,1078","1,1078","1,1078","1,1078","0,08%"
06.02.1980,"1,1086","1,1086","1,1086","1,1086","0,07%"
07.02.1980,"1,1093","1,1093","1,1093","1,1093","0,06%"
08.02.1980,"1,1077","1,1077","1,1077","1,1077","-0,14%"
11.02.1980,"1,1077","1,1077","1,1077","1,1077","0,00%"
12.02.1980,"1,1083","1,1083","1,1083","1,1083","0,05%"
13.02.1980,"1,1071","1,1071","1,1071","1,1071","-0,11%"
14.02.1980,"1,1062","1,1062","1,1062","1,1062","-0,08%"
15.02.1980,"1,1102","1,1102","1,1102","1,1102","0,36%"
18.02.1980,"1,1072","1,1072","1,1072","1,1072","-0,27%"
19.02.1980,"1,1039","1,1039","1,1039","1,1039","-0,30%"
20.02.1980,"1,1038","1,1038","1,1038","1,1038","-0,01%"
21.02.1980,"1,1033","1,1033","1,1033","1,1033","-0,05%"
22.02.1980,"1,1011","1,1011","1,1011","1,1011","-0,20%"
