Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"4,6726","4,6726","4,6726","4,6726","0,52%"
06.01.1982,"4,6573","4,6573","4,6573","4,6573","-0,33%"
07.01.1982,"4,6842","4,6842","4,6842","4,6842","0,58%"
08.01.1982,"4,6826","4,6826","4,6826","4,6826","-0,03%"
11.01.1982,"4,7029","4,7029","4,7029","4,7029","0,43%"
12.01.1982,"4,7179","4,7179","4,7179","4,7179","0,32%"
13.01.1982,"4,7199","4,7199","4,7199","4,7199","0,04%"
14.01.1982,"4,7274","4,7274","4,7274","4,7274","0,16%"
15.01.1982,"4,7254","4,7254","4,7254","4,7254","-0,04%"
18.01.1982,"4,7022","4,7022","4,7022","4,7022","-0,49%"
19.01.1982,"4,7118","4,7118","4,7118","4,7118","0,20%"
20.01.1982,"4,7233","4,7233","4,7233","4,7233","0,24%"
21.01.1982,"4,7322","4,7322","4,7322","4,7322","0,19%"
22.01.1982,"4,7300","4,7300","4,7300","4,7300","-0,05%"
25.01.1982,"4,7459","4,7459","4,7459","4,7459","0,34%"
26.01.1982,"4,7263","4,7263","4,7263","4,7263","-0,41%"
27.01.1982,"4,7519","4,7519","4,7519","4,7519","0,54%"
28.01.1982,"4,7475","4,7475","4,7475","4,7475","-0,09%"
29.01.1982,"4,7475","4,7475","4,7475","4,7475","0,00%"
01.02.1982,"4,7628","4,7628","4,7628","4,7628","0,32%"
02.02.1982,"4,7294","4,7294","4,7294","4,7294","-0,70%"
03.02.1982,"4,7561","4,7561","4,7561","4,7561","0,56%"
04.02.1982,"4,7373","4,7373","4,7373","4,7373","-0,40%"
05.02.1982,"4,7437","4,7437","4,7437","4,7437","0,14%"
08.02.1982,"4,7584","4,7584","4,7584","4,7584","0,31%"
09.02.1982,"4,7378","4,7378","4,7378","4,7378","-0,43%"
10.02.1982,"4,7447","4,7447","4,7447","4,7447","0,15%"
11.02.1982,"4,7570","4,7570","4,7570","4,7570","0,26%"
16.02.1982,"4,7698","4,7698","4,7698","4,7698","0,27%"
17.02.1982,"4,7837","4,7837","4,7837","4,7837","0,29%"
18.02.1982,"4,7547","4,7547","4,7547","4,7547","-0,61%"
19.02.1982,"4,7214","4,7214","4,7214","4,7214","-0,70%"
