Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"2,2391","2,2391","2,2391","2,2391","1,41%"
28.12.1979,"2,2287","2,2287","2,2287","2,2287","-0,46%"
31.12.1979,"2,2252","2,2252","2,2252","2,2252","-0,16%"
02.01.1980,"2,2331","2,2331","2,2331","2,2331","0,36%"
03.01.1980,"2,2437","2,2437","2,2437","2,2437","0,47%"
04.01.1980,"2,2371","2,2371","2,2371","2,2371","-0,29%"
07.01.1980,"2,2609","2,2609","2,2609","2,2609","1,06%"
08.01.1980,"2,2578","2,2578","2,2578","2,2578","-0,14%"
09.01.1980,"2,2681","2,2681","2,2681","2,2681","0,46%"
10.01.1980,"2,2584","2,2584","2,2584","2,2584","-0,43%"
11.01.1980,"2,2573","2,2573","2,2573","2,2573","-0,05%"
14.01.1980,"2,2701","2,2701","2,2701","2,2701","0,57%"
15.01.1980,"2,2800","2,2800","2,2800","2,2800","0,44%"
16.01.1980,"2,2774","2,2774","2,2774","2,2774","-0,11%"
17.01.1980,"2,2717","2,2717","2,2717","2,2717","-0,25%"
18.01.1980,"2,2815","2,2815","2,2815","2,2815","0,43%"
21.01.1980,"2,2883","2,2883","2,2883","2,2883","0,30%"
22.01.1980,"2,2763","2,2763","2,2763","2,2763","-0,52%"
23.01.1980,"2,2784","2,2784","2,2784","2,2784","0,09%"
24.01.1980,"2,2831","2,2831","2,2831","2,2831","0,21%"
25.01.1980,"2,2748","2,2748","2,2748","2,2748","-0,36%"
28.01.1980,"2,2619","2,2619","2,2619","2,2619","-0,57%"
29.01.1980,"2,2558","2,2558","2,2558","2,2558","-0,27%"
30.01.1980,"2,2655","2,2655","2,2655","2,2655","0,43%"
31.01.1980,"2,2671","2,2671","2,2671","2,2671","0,07%"
01.02.1980,"2,2774","2,2774","2,2774","2,2774","0,45%"
04.02.1980,"2,2784","2,2784","2,2784","2,2784","0,04%"
05.02.1980,"2,2889","2,2889","2,2889","2,2889","0,46%"
06.02.1980,"2,3079","2,3079","2,3079","2,3079","0,83%"
07.02.1980,"2,3020","2,3020","2,3020","2,3020","-0,26%"
08.02.1980,"2,2978","2,2978","2,2978","2,2978","-0,18%"
11.02.1980,"2,3047","2,3047","2,3047","2,3047","0,30%"
12.02.1980,"2,2994","2,2994","2,2994","2,2994","-0,23%"
13.02.1980,"2,3063","2,3063","2,3063","2,3063","0,30%"
14.02.1980,"2,3132","2,3132","2,3132","2,3132","0,30%"
15.02.1980,"2,3010","2,3010","2,3010","2,3010","-0,53%"
18.02.1980,"2,2952","2,2952","2,2952","2,2952","-0,25%"
19.02.1980,"2,2707","2,2707","2,2707","2,2707","-1,07%"
20.02.1980,"2,2779","2,2779","2,2779","2,2779","0,32%"
21.02.1980,"2,2878","2,2878","2,2878","2,2878","0,43%"
22.02.1980,"2,2769","2,2769","2,2769","2,2769","-0,48%"
25.02.1980,"2,2758","2,2758","2,2758","2,2758","-0,05%"
26.02.1980,"2,2784","2,2784","2,2784","2,2784","0,11%"
27.02.1980,"2,2868","2,2868","2,2868","2,2868","0,37%"
28.02.1980,"2,2857","2,2857","2,2857","2,2857","-0,05%"
29.02.1980,"2,2743","2,2743","2,2743","2,2743","-0,50%"
03.03.1980,"2,2528","2,2528","2,2528","2,2528","-0,95%"
04.03.1980,"2,2257","2,2257","2,2257","2,2257","-1,20%"
05.03.1980,"2,2447","2,2447","2,2447","2,2447","0,85%"
06.03.1980,"2,2272","2,2272","2,2272","2,2272","-0,78%"
07.03.1980,"2,2227","2,2227","2,2227","2,2227","-0,20%"
10.03.1980,"2,2193","2,2193","2,2193","2,2193","-0,15%"
11.03.1980,"2,2262","2,2262","2,2262","2,2262","0,31%"
12.03.1980,"2,2356","2,2356","2,2356","2,2356","0,42%"
13.03.1980,"2,2212","2,2212","2,2212","2,2212","-0,64%"
14.03.1980,"2,2119","2,2119","2,2119","2,2119","-0,42%"
17.03.1980,"2,1863","2,1863","2,1863","2,1863","-1,16%"
18.03.1980,"2,1944","2,1944","2,1944","2,1944","0,37%"
19.03.1980,"2,1911","2,1911","2,1911","2,1911","-0,15%"
20.03.1980,"2,1978","2,1978","2,1978","2,1978","0,31%"
21.03.1980,"2,1815","2,1815","2,1815","2,1815","-0,74%"
24.03.1980,"2,1815","2,1815","2,1815","2,1815","0,00%"
25.03.1980,"2,1935","2,1935","2,1935","2,1935","0,55%"
26.03.1980,"2,2022","2,2022","2,2022","2,2022","0,40%"
27.03.1980,"2,1782","2,1782","2,1782","2,1782","-1,09%"
28.03.1980,"2,1749","2,1749","2,1749","2,1749","-0,15%"
31.03.1980,"2,1640","2,1640","2,1640","2,1640","-0,50%"
01.04.1980,"2,1400","2,1400","2,1400","2,1400","-1,11%"
02.04.1980,"2,1575","2,1575","2,1575","2,1575","0,82%"
03.04.1980,"2,1395","2,1395","2,1395","2,1395","-0,83%"
08.04.1980,"2,1580","2,1580","2,1580","2,1580","0,86%"
09.04.1980,"2,1758","2,1758","2,1758","2,1758","0,82%"
10.04.1980,"2,1844","2,1844","2,1844","2,1844","0,40%"
11.04.1980,"2,1959","2,1959","2,1959","2,1959","0,53%"
14.04.1980,"2,2207","2,2207","2,2207","2,2207","1,13%"
15.04.1980,"2,1906","2,1906","2,1906","2,1906","-1,36%"
16.04.1980,"2,2148","2,2148","2,2148","2,2148","1,10%"
17.04.1980,"2,2292","2,2292","2,2292","2,2292","0,65%"
18.04.1980,"2,2287","2,2287","2,2287","2,2287","-0,02%"
21.04.1980,"2,2321","2,2321","2,2321","2,2321","0,15%"
22.04.1980,"2,2376","2,2376","2,2376","2,2376","0,25%"
23.04.1980,"2,2584","2,2584","2,2584","2,2584","0,93%"
24.04.1980,"2,2671","2,2671","2,2671","2,2671","0,39%"
25.04.1980,"2,2779","2,2779","2,2779","2,2779","0,48%"
28.04.1980,"2,2868","2,2868","2,2868","2,2868","0,39%"
29.04.1980,"2,2732","2,2732","2,2732","2,2732","-0,59%"
30.04.1980,"2,2548","2,2548","2,2548","2,2548","-0,81%"
01.05.1980,"2,2619","2,2619","2,2619","2,2619","0,31%"
02.05.1980,"2,2630","2,2630","2,2630","2,2630","0,05%"
06.05.1980,"2,2862","2,2862","2,2862","2,2862","1,03%"
07.05.1980,"2,2815","2,2815","2,2815","2,2815","-0,21%"
08.05.1980,"2,2841","2,2841","2,2841","2,2841","0,11%"
09.05.1980,"2,2701","2,2701","2,2701","2,2701","-0,61%"
12.05.1980,"2,2815","2,2815","2,2815","2,2815","0,50%"
13.05.1980,"2,2815","2,2815","2,2815","2,2815","0,00%"
14.05.1980,"2,2889","2,2889","2,2889","2,2889","0,32%"
15.05.1980,"2,3026","2,3026","2,3026","2,3026","0,60%"
16.05.1980,"2,2857","2,2857","2,2857","2,2857","-0,73%"
19.05.1980,"2,2852","2,2852","2,2852","2,2852","-0,02%"
20.05.1980,"2,2915","2,2915","2,2915","2,2915","0,28%"
21.05.1980,"2,3267","2,3267","2,3267","2,3267","1,54%"
22.05.1980,"2,3267","2,3267","2,3267","2,3267","0,00%"
23.05.1980,"2,3447","2,3447","2,3447","2,3447","0,77%"
27.05.1980,"2,3685","2,3685","2,3685","2,3685","1,02%"
28.05.1980,"2,3563","2,3563","2,3563","2,3563","-0,52%"
29.05.1980,"2,3485","2,3485","2,3485","2,3485","-0,33%"
30.05.1980,"2,3452","2,3452","2,3452","2,3452","-0,14%"
02.06.1980,"2,3392","2,3392","2,3392","2,3392","-0,26%"
03.06.1980,"2,2989","2,2989","2,2989","2,2989","-1,72%"
04.06.1980,"2,3207","2,3207","2,3207","2,3207","0,95%"
05.06.1980,"2,3305","2,3305","2,3305","2,3305","0,42%"
06.06.1980,"2,3310","2,3310","2,3310","2,3310","0,02%"
09.06.1980,"2,3502","2,3502","2,3502","2,3502","0,82%"
10.06.1980,"2,3337","2,3337","2,3337","2,3337","-0,70%"
11.06.1980,"2,3348","2,3348","2,3348","2,3348","0,05%"
12.06.1980,"2,3381","2,3381","2,3381","2,3381","0,14%"
13.06.1980,"2,3425","2,3425","2,3425","2,3425","0,19%"
