Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"38,5777","38,5777","38,5777","38,5777","-0,09%"
06.01.1982,"38,5263","38,5263","38,5263","38,5263","-0,13%"
07.01.1982,"38,7435","38,7435","38,7435","38,7435","0,56%"
08.01.1982,"38,6725","38,6725","38,6725","38,6725","-0,18%"
11.01.1982,"38,7640","38,7640","38,7640","38,7640","0,24%"
12.01.1982,"38,4834","38,4834","38,4834","38,4834","-0,72%"
13.01.1982,"38,8283","38,8283","38,8283","38,8283","0,90%"
14.01.1982,"38,3237","38,3237","38,3237","38,3237","-1,30%"
15.01.1982,"38,3564","38,3564","38,3564","38,3564","0,09%"
18.01.1982,"38,2793","38,2793","38,2793","38,2793","-0,20%"
19.01.1982,"38,5871","38,5871","38,5871","38,5871","0,80%"
20.01.1982,"38,7124","38,7124","38,7124","38,7124","0,32%"
21.01.1982,"38,7715","38,7715","38,7715","38,7715","0,15%"
22.01.1982,"39,1058","39,1058","39,1058","39,1058","0,86%"
25.01.1982,"38,9805","38,9805","38,9805","38,9805","-0,32%"
26.01.1982,"38,9505","38,9505","38,9505","38,9505","-0,08%"
27.01.1982,"39,4502","39,4502","39,4502","39,4502","1,28%"
28.01.1982,"39,5717","39,5717","39,5717","39,5717","0,31%"
29.01.1982,"39,5717","39,5717","39,5717","39,5717","0,00%"
01.02.1982,"39,4572","39,4572","39,4572","39,4572","-0,29%"
02.02.1982,"39,8038","39,8038","39,8038","39,8038","0,88%"
03.02.1982,"39,9150","39,9150","39,9150","39,9150","0,28%"
04.02.1982,"39,8037","39,8037","39,8037","39,8037","-0,28%"
05.02.1982,"39,9487","39,9487","39,9487","39,9487","0,36%"
08.02.1982,"40,0939","40,0939","40,0939","40,0939","0,36%"
09.02.1982,"40,1869","40,1869","40,1869","40,1869","0,23%"
10.02.1982,"40,1614","40,1614","40,1614","40,1614","-0,06%"
11.02.1982,"40,0595","40,0595","40,0595","40,0595","-0,25%"
16.02.1982,"40,6160","40,6160","40,6160","40,6160","1,39%"
