Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1988,"1.386,20","1.386,20","1.386,20","1.386,20",-
06.01.1988,"1.414,10","1.414,10","1.414,10","1.414,10",-
07.01.1988,"1.397,30","1.397,30","1.397,30","1.397,30",-
08.01.1988,"1.422,20","1.422,20","1.422,20","1.422,20",-
11.01.1988,"1.346,10","1.346,10","1.346,10","1.346,10",-
12.01.1988,"1.348,90","1.348,90","1.348,90","1.348,90",-
13.01.1988,"1.316,10","1.316,10","1.316,10","1.316,10",-
14.01.1988,"1.321,20","1.321,20","1.321,20","1.321,20",-
15.01.1988,"1.326,60","1.326,60","1.326,60","1.326,60",-
18.01.1988,"1.370,60","1.370,60","1.370,60","1.370,60",-
19.01.1988,"1.355,50","1.355,50","1.355,50","1.355,50",-
20.01.1988,"1.334,10","1.334,10","1.334,10","1.334,10",-
21.01.1988,"1.326,40","1.326,40","1.326,40","1.326,40",-
22.01.1988,"1.336,30","1.336,30","1.336,30","1.336,30",-
25.01.1988,"1.336,80","1.336,80","1.336,80","1.336,80",-
26.01.1988,"1.333,30","1.333,30","1.333,30","1.333,30",-
27.01.1988,"1.326,10","1.326,10","1.326,10","1.326,10",-
28.01.1988,"1.322,50","1.322,50","1.322,50","1.322,50",-
29.01.1988,"1.333,40","1.333,40","1.333,40","1.333,40",-
01.02.1988,"1.359,90","1.359,90","1.359,90","1.359,90",-
02.02.1988,"1.352,20","1.352,20","1.352,20","1.352,20",-
03.02.1988,"1.356,50","1.356,50","1.356,50","1.356,50",-
04.02.1988,"1.370,90","1.370,90","1.370,90","1.370,90",-
05.02.1988,"1.380,90","1.380,90","1.380,90","1.380,90",-
08.02.1988,"1.376,10","1.376,10","1.376,10","1.376,10",-
09.02.1988,"1.360,70","1.360,70","1.360,70","1.360,70",-
10.02.1988,"1.363,80","1.363,80","1.363,80","1.363,80",-
11.02.1988,"1.387,50","1.387,50","1.387,50","1.387,50",-
12.02.1988,"1.389,10","1.389,10","1.389,10","1.389,10",-
15.02.1988,"1.415,50","1.415,50","1.415,50","1.415,50",-
16.02.1988,"1.423,60","1.423,60","1.423,60","1.423,60",-
17.02.1988,"1.430,30","1.430,30","1.430,30","1.430,30",-
18.02.1988,"1.430,30","1.430,30","1.430,30","1.430,30",-
19.02.1988,"1.428,30","1.428,30","1.428,30","1.428,30",-
22.02.1988,"1.431,60","1.431,60","1.431,60","1.431,60",-
23.02.1988,"1.440,20","1.440,20","1.440,20","1.440,20",-
24.02.1988,"1.449,00","1.449,00","1.449,00","1.449,00",-
25.02.1988,"1.466,10","1.466,10","1.466,10","1.466,10",-
26.02.1988,"1.453,10","1.453,10","1.453,10","1.453,10",-
29.02.1988,"1.448,80","1.448,80","1.448,80","1.448,80",-
01.03.1988,"1.473,20","1.473,20","1.473,20","1.473,20",-
02.03.1988,"1.490,40","1.490,40","1.490,40","1.490,40",-
03.03.1988,"1.502,50","1.502,50","1.502,50","1.502,50",-
04.03.1988,"1.489,40","1.489,40","1.489,40","1.489,40",-
07.03.1988,"1.499,30","1.499,30","1.499,30","1.499,30",-
08.03.1988,"1.486,50","1.486,50","1.486,50","1.486,50",-
09.03.1988,"1.506,30","1.506,30","1.506,30","1.506,30",-
10.03.1988,"1.508,30","1.508,30","1.508,30","1.508,30",-
11.03.1988,"1.481,60","1.481,60","1.481,60","1.481,60",-
14.03.1988,"1.486,00","1.486,00","1.486,00","1.486,00",-
15.03.1988,"1.498,70","1.498,70","1.498,70","1.498,70",-
16.03.1988,"1.501,90","1.501,90","1.501,90","1.501,90",-
17.03.1988,"1.510,20","1.510,20","1.510,20","1.510,20",-
18.03.1988,"1.518,80","1.518,80","1.518,80","1.518,80",-
21.03.1988,"1.500,40","1.500,40","1.500,40","1.500,40",-
22.03.1988,"1.485,80","1.485,80","1.485,80","1.485,80",-
23.03.1988,"1.491,50","1.491,50","1.491,50","1.491,50",-
24.03.1988,"1.485,00","1.485,00","1.485,00","1.485,00",-
25.03.1988,"1.443,60","1.443,60","1.443,60","1.443,60",-
28.03.1988,"1.367,10","1.367,10","1.367,10","1.367,10",-
29.03.1988,"1.413,70","1.413,70","1.413,70","1.413,70",-
30.03.1988,"1.410,60","1.410,60","1.410,60","1.410,60",-
31.03.1988,"1.395,10","1.395,10","1.395,10","1.395,10",-
05.04.1988,"1.408,10","1.408,10","1.408,10","1.408,10",-
06.04.1988,"1.416,80","1.416,80","1.416,80","1.416,80",-
07.04.1988,"1.422,00","1.422,00","1.422,00","1.422,00",-
08.04.1988,"1.414,90","1.414,90","1.414,90","1.414,90",-
11.04.1988,"1.429,40","1.429,40","1.429,40","1.429,40",-
12.04.1988,"1.424,20","1.424,20","1.424,20","1.424,20",-
13.04.1988,"1.432,90","1.432,90","1.432,90","1.432,90",-
14.04.1988,"1.431,90","1.431,90","1.431,90","1.431,90",-
15.04.1988,"1.414,10","1.414,10","1.414,10","1.414,10",-
18.04.1988,"1.414,10","1.414,10","1.414,10","1.414,10",-
19.04.1988,"1.406,10","1.406,10","1.406,10","1.406,10",-
20.04.1988,"1.390,40","1.390,40","1.390,40","1.390,40",-
21.04.1988,"1.386,30","1.386,30","1.386,30","1.386,30",-
22.04.1988,"1.372,70","1.372,70","1.372,70","1.372,70",-
25.04.1988,"1.369,30","1.369,30","1.369,30","1.369,30",-
