Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"1,1895","1,1895","1,1895","1,1895","0,24%"
06.01.1982,"1,1863","1,1863","1,1863","1,1863","-0,27%"
07.01.1982,"1,1876","1,1876","1,1876","1,1876","0,11%"
08.01.1982,"1,1863","1,1863","1,1863","1,1863","-0,11%"
11.01.1982,"1,1897","1,1897","1,1897","1,1897","0,29%"
12.01.1982,"1,1912","1,1912","1,1912","1,1912","0,13%"
13.01.1982,"1,1908","1,1908","1,1908","1,1908","-0,03%"
14.01.1982,"1,1941","1,1941","1,1941","1,1941","0,28%"
15.01.1982,"1,1946","1,1946","1,1946","1,1946","0,04%"
18.01.1982,"1,1956","1,1956","1,1956","1,1956","0,08%"
19.01.1982,"1,1938","1,1938","1,1938","1,1938","-0,15%"
20.01.1982,"1,1946","1,1946","1,1946","1,1946","0,07%"
21.01.1982,"1,1910","1,1910","1,1910","1,1910","-0,30%"
22.01.1982,"1,1945","1,1945","1,1945","1,1945","0,29%"
25.01.1982,"1,1984","1,1984","1,1984","1,1984","0,33%"
26.01.1982,"1,1949","1,1949","1,1949","1,1949","-0,29%"
27.01.1982,"1,1969","1,1969","1,1969","1,1969","0,17%"
28.01.1982,"1,1980","1,1980","1,1980","1,1980","0,09%"
29.01.1982,"1,1980","1,1980","1,1980","1,1980","0,00%"
01.02.1982,"1,2016","1,2016","1,2016","1,2016","0,30%"
02.02.1982,"1,2067","1,2067","1,2067","1,2067","0,42%"
03.02.1982,"1,2074","1,2074","1,2074","1,2074","0,06%"
04.02.1982,"1,2048","1,2048","1,2048","1,2048","-0,22%"
05.02.1982,"1,2058","1,2058","1,2058","1,2058","0,08%"
08.02.1982,"1,2087","1,2087","1,2087","1,2087","0,24%"
09.02.1982,"1,2168","1,2168","1,2168","1,2168","0,67%"
10.02.1982,"1,2144","1,2144","1,2144","1,2144","-0,20%"
11.02.1982,"1,2098","1,2098","1,2098","1,2098","-0,38%"
16.02.1982,"1,2185","1,2185","1,2185","1,2185","0,72%"
17.02.1982,"1,2182","1,2182","1,2182","1,2182","-0,02%"
18.02.1982,"1,2146","1,2146","1,2146","1,2146","-0,30%"
19.02.1982,"1,2168","1,2168","1,2168","1,2168","0,18%"
22.02.1982,"1,2164","1,2164","1,2164","1,2164","-0,03%"
23.02.1982,"1,2207","1,2207","1,2207","1,2207","0,35%"
24.02.1982,"1,2203","1,2203","1,2203","1,2203","-0,03%"
25.02.1982,"1,2216","1,2216","1,2216","1,2216","0,11%"
26.02.1982,"1,2290","1,2290","1,2290","1,2290","0,61%"
01.03.1982,"1,2278","1,2278","1,2278","1,2278","-0,10%"
02.03.1982,"1,2253","1,2253","1,2253","1,2253","-0,20%"
03.03.1982,"1,2249","1,2249","1,2249","1,2249","-0,03%"
04.03.1982,"1,2191","1,2191","1,2191","1,2191","-0,47%"
05.03.1982,"1,2126","1,2126","1,2126","1,2126","-0,53%"
08.03.1982,"1,2136","1,2136","1,2136","1,2136","0,08%"
09.03.1982,"1,2123","1,2123","1,2123","1,2123","-0,11%"
10.03.1982,"1,2127","1,2127","1,2127","1,2127","0,03%"
11.03.1982,"1,2118","1,2118","1,2118","1,2118","-0,07%"
12.03.1982,"1,2155","1,2155","1,2155","1,2155","0,31%"
15.03.1982,"1,2180","1,2180","1,2180","1,2180","0,21%"
16.03.1982,"1,2169","1,2169","1,2169","1,2169","-0,09%"
17.03.1982,"1,2154","1,2154","1,2154","1,2154","-0,12%"
18.03.1982,"1,2154","1,2154","1,2154","1,2154","0,00%"
19.03.1982,"1,2204","1,2204","1,2204","1,2204","0,41%"
22.03.1982,"1,2203","1,2203","1,2203","1,2203","-0,01%"
23.03.1982,"1,2207","1,2207","1,2207","1,2207","0,03%"
24.03.1982,"1,2239","1,2239","1,2239","1,2239","0,26%"
25.03.1982,"1,2266","1,2266","1,2266","1,2266","0,22%"
26.03.1982,"1,2282","1,2282","1,2282","1,2282","0,13%"
29.03.1982,"1,2323","1,2323","1,2323","1,2323","0,33%"
30.03.1982,"1,2277","1,2277","1,2277","1,2277","-0,37%"
31.03.1982,"1,2305","1,2305","1,2305","1,2305","0,23%"
