Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"4,9450","4,9450","4,9450","4,9450","0,41%"
28.12.1979,"4,9200","4,9200","4,9200","4,9200","-0,51%"
31.12.1979,"4,9525","4,9525","4,9525","4,9525","0,66%"
02.01.1980,"4,9250","4,9250","4,9250","4,9250","-0,56%"
03.01.1980,"4,9305","4,9305","4,9305","4,9305","0,11%"
04.01.1980,"4,9230","4,9230","4,9230","4,9230","-0,15%"
07.01.1980,"4,9265","4,9265","4,9265","4,9265","0,07%"
08.01.1980,"4,9285","4,9285","4,9285","4,9285","0,04%"
09.01.1980,"4,9265","4,9265","4,9265","4,9265","-0,04%"
10.01.1980,"4,9160","4,9160","4,9160","4,9160","-0,21%"
11.01.1980,"4,9065","4,9065","4,9065","4,9065","-0,19%"
14.01.1980,"4,9065","4,9065","4,9065","4,9065","0,00%"
15.01.1980,"4,9060","4,9060","4,9060","4,9060","-0,01%"
16.01.1980,"4,8725","4,8725","4,8725","4,8725","-0,68%"
17.01.1980,"4,8655","4,8655","4,8655","4,8655","-0,14%"
18.01.1980,"4,8600","4,8600","4,8600","4,8600","-0,11%"
21.01.1980,"4,8170","4,8170","4,8170","4,8170","-0,88%"
22.01.1980,"4,8050","4,8050","4,8050","4,8050","-0,25%"
23.01.1980,"4,8080","4,8080","4,8080","4,8080","0,06%"
24.01.1980,"4,7790","4,7790","4,7790","4,7790","-0,60%"
25.01.1980,"4,7800","4,7800","4,7800","4,7800","0,02%"
28.01.1980,"4,7850","4,7850","4,7850","4,7850","0,10%"
29.01.1980,"4,7880","4,7880","4,7880","4,7880","0,06%"
30.01.1980,"4,8005","4,8005","4,8005","4,8005","0,26%"
31.01.1980,"4,8300","4,8300","4,8300","4,8300","0,61%"
01.02.1980,"4,8370","4,8370","4,8370","4,8370","0,14%"
04.02.1980,"4,8395","4,8395","4,8395","4,8395","0,05%"
05.02.1980,"4,8252","4,8252","4,8252","4,8252","-0,30%"
06.02.1980,"4,8690","4,8690","4,8690","4,8690","0,91%"
07.02.1980,"4,8805","4,8805","4,8805","4,8805","0,24%"
08.02.1980,"4,8585","4,8585","4,8585","4,8585","-0,45%"
