Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"7,4541","7,4541","7,4541","7,4541","0,81%"
28.12.1979,"7,4174","7,4174","7,4174","7,4174","-0,49%"
31.12.1979,"7,4689","7,4689","7,4689","7,4689","0,69%"
02.01.1980,"7,4609","7,4609","7,4609","7,4609","-0,11%"
03.01.1980,"7,4830","7,4830","7,4830","7,4830","0,30%"
04.01.1980,"7,4480","7,4480","7,4480","7,4480","-0,47%"
07.01.1980,"7,4725","7,4725","7,4725","7,4725","0,33%"
08.01.1980,"7,4460","7,4460","7,4460","7,4460","-0,35%"
09.01.1980,"7,4691","7,4691","7,4691","7,4691","0,31%"
10.01.1980,"7,4394","7,4394","7,4394","7,4394","-0,40%"
11.01.1980,"7,4127","7,4127","7,4127","7,4127","-0,36%"
14.01.1980,"7,4137","7,4137","7,4137","7,4137","0,01%"
15.01.1980,"7,3821","7,3821","7,3821","7,3821","-0,43%"
16.01.1980,"7,3448","7,3448","7,3448","7,3448","-0,51%"
17.01.1980,"7,3343","7,3343","7,3343","7,3343","-0,14%"
18.01.1980,"7,3303","7,3303","7,3303","7,3303","-0,05%"
21.01.1980,"7,2510","7,2510","7,2510","7,2510","-1,08%"
22.01.1980,"7,2104","7,2104","7,2104","7,2104","-0,56%"
23.01.1980,"7,2288","7,2288","7,2288","7,2288","0,26%"
24.01.1980,"7,1809","7,1809","7,1809","7,1809","-0,66%"
25.01.1980,"7,1719","7,1719","7,1719","7,1719","-0,13%"
28.01.1980,"7,1742","7,1742","7,1742","7,1742","0,03%"
29.01.1980,"7,1719","7,1719","7,1719","7,1719","-0,03%"
30.01.1980,"7,1940","7,1940","7,1940","7,1940","0,31%"
31.01.1980,"7,2184","7,2184","7,2184","7,2184","0,34%"
01.02.1980,"7,2163","7,2163","7,2163","7,2163","-0,03%"
04.02.1980,"7,2220","7,2220","7,2220","7,2220","0,08%"
05.02.1980,"7,2146","7,2146","7,2146","7,2146","-0,10%"
06.02.1980,"7,3001","7,3001","7,3001","7,3001","1,19%"
07.02.1980,"7,3095","7,3095","7,3095","7,3095","0,13%"
08.02.1980,"7,2625","7,2625","7,2625","7,2625","-0,64%"
11.02.1980,"7,2611","7,2611","7,2611","7,2611","-0,02%"
12.02.1980,"7,2690","7,2690","7,2690","7,2690","0,11%"
13.02.1980,"7,3137","7,3137","7,3137","7,3137","0,61%"
14.02.1980,"7,3464","7,3464","7,3464","7,3464","0,45%"
15.02.1980,"7,3278","7,3278","7,3278","7,3278","-0,25%"
18.02.1980,"7,3215","7,3215","7,3215","7,3215","-0,09%"
19.02.1980,"7,2931","7,2931","7,2931","7,2931","-0,39%"
20.02.1980,"7,3529","7,3529","7,3529","7,3529","0,82%"
21.02.1980,"7,3867","7,3867","7,3867","7,3867","0,46%"
22.02.1980,"7,3176","7,3176","7,3176","7,3176","-0,94%"
25.02.1980,"7,3585","7,3585","7,3585","7,3585","0,56%"
26.02.1980,"7,3696","7,3696","7,3696","7,3696","0,15%"
27.02.1980,"7,3356","7,3356","7,3356","7,3356","-0,46%"
28.02.1980,"7,3240","7,3240","7,3240","7,3240","-0,16%"
29.02.1980,"7,2439","7,2439","7,2439","7,2439","-1,09%"
03.03.1980,"7,2372","7,2372","7,2372","7,2372","-0,09%"
