Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1981,"2,0090","2,0090","2,0090","2,0090","-0,17%"
06.01.1981,"2,0166","2,0166","2,0166","2,0166","0,38%"
07.01.1981,"2,0172","2,0172","2,0172","2,0172","0,03%"
08.01.1981,"2,0118","2,0118","2,0118","2,0118","-0,27%"
09.01.1981,"2,0131","2,0131","2,0131","2,0131","0,06%"
12.01.1981,"2,0054","2,0054","2,0054","2,0054","-0,38%"
13.01.1981,"2,0107","2,0107","2,0107","2,0107","0,26%"
14.01.1981,"2,0040","2,0040","2,0040","2,0040","-0,33%"
15.01.1981,"2,0037","2,0037","2,0037","2,0037","-0,01%"
16.01.1981,"1,9952","1,9952","1,9952","1,9952","-0,42%"
19.01.1981,"1,9955","1,9955","1,9955","1,9955","0,02%"
20.01.1981,"1,9922","1,9922","1,9922","1,9922","-0,17%"
21.01.1981,"1,9945","1,9945","1,9945","1,9945","0,12%"
22.01.1981,"2,0042","2,0042","2,0042","2,0042","0,49%"
23.01.1981,"2,0000","2,0000","2,0000","2,0000","-0,21%"
26.01.1981,"1,9966","1,9966","1,9966","1,9966","-0,17%"
27.01.1981,"1,9938","1,9938","1,9938","1,9938","-0,14%"
28.01.1981,"1,9834","1,9834","1,9834","1,9834","-0,52%"
29.01.1981,"1,9765","1,9765","1,9765","1,9765","-0,35%"
30.01.1981,"1,9811","1,9811","1,9811","1,9811","0,23%"
02.02.1981,"1,9698","1,9698","1,9698","1,9698","-0,57%"
03.02.1981,"1,9203","1,9203","1,9203","1,9203","-2,51%"
04.02.1981,"1,9572","1,9572","1,9572","1,9572","1,92%"
05.02.1981,"1,9596","1,9596","1,9596","1,9596","0,12%"
06.02.1981,"1,9599","1,9599","1,9599","1,9599","0,02%"
09.02.1981,"1,9572","1,9572","1,9572","1,9572","-0,14%"
10.02.1981,"1,9624","1,9624","1,9624","1,9624","0,27%"
11.02.1981,"1,9550","1,9550","1,9550","1,9550","-0,38%"
13.02.1981,"1,9536","1,9536","1,9536","1,9536","-0,07%"
17.02.1981,"1,9456","1,9456","1,9456","1,9456","-0,41%"
18.02.1981,"1,9502","1,9502","1,9502","1,9502","0,24%"
19.02.1981,"1,9480","1,9480","1,9480","1,9480","-0,11%"
20.02.1981,"1,9422","1,9422","1,9422","1,9422","-0,30%"
23.02.1981,"1,9497","1,9497","1,9497","1,9497","0,39%"
24.02.1981,"1,9481","1,9481","1,9481","1,9481","-0,08%"
25.02.1981,"1,9401","1,9401","1,9401","1,9401","-0,41%"
26.02.1981,"1,9359","1,9359","1,9359","1,9359","-0,22%"
27.02.1981,"1,9348","1,9348","1,9348","1,9348","-0,06%"
02.03.1981,"1,9278","1,9278","1,9278","1,9278","-0,36%"
03.03.1981,"1,9296","1,9296","1,9296","1,9296","0,09%"
04.03.1981,"1,9342","1,9342","1,9342","1,9342","0,24%"
05.03.1981,"1,9301","1,9301","1,9301","1,9301","-0,21%"
06.03.1981,"1,9266","1,9266","1,9266","1,9266","-0,18%"
09.03.1981,"1,9252","1,9252","1,9252","1,9252","-0,07%"
10.03.1981,"1,9355","1,9355","1,9355","1,9355","0,54%"
11.03.1981,"1,9326","1,9326","1,9326","1,9326","-0,15%"
12.03.1981,"1,9426","1,9426","1,9426","1,9426","0,52%"
13.03.1981,"1,9371","1,9371","1,9371","1,9371","-0,28%"
16.03.1981,"1,9396","1,9396","1,9396","1,9396","0,13%"
17.03.1981,"1,9414","1,9414","1,9414","1,9414","0,09%"
18.03.1981,"1,9280","1,9280","1,9280","1,9280","-0,69%"
19.03.1981,"1,9349","1,9349","1,9349","1,9349","0,36%"
20.03.1981,"1,9314","1,9314","1,9314","1,9314","-0,18%"
23.03.1981,"1,9389","1,9389","1,9389","1,9389","0,39%"
24.03.1981,"1,9404","1,9404","1,9404","1,9404","0,08%"
25.03.1981,"1,9338","1,9338","1,9338","1,9338","-0,34%"
26.03.1981,"1,9269","1,9269","1,9269","1,9269","-0,36%"
27.03.1981,"1,9147","1,9147","1,9147","1,9147","-0,63%"
30.03.1981,"1,9121","1,9121","1,9121","1,9121","-0,14%"
31.03.1981,"1,9143","1,9143","1,9143","1,9143","0,12%"
01.04.1981,"1,9144","1,9144","1,9144","1,9144","0,01%"
02.04.1981,"1,9088","1,9088","1,9088","1,9088","-0,29%"
03.04.1981,"1,9011","1,9011","1,9011","1,9011","-0,40%"
06.04.1981,"1,8937","1,8937","1,8937","1,8937","-0,39%"
07.04.1981,"1,9104","1,9104","1,9104","1,9104","0,88%"
08.04.1981,"1,9086","1,9086","1,9086","1,9086","-0,09%"
09.04.1981,"1,9041","1,9041","1,9041","1,9041","-0,24%"
10.04.1981,"1,9043","1,9043","1,9043","1,9043","0,01%"
13.04.1981,"1,9016","1,9016","1,9016","1,9016","-0,14%"
14.04.1981,"1,9094","1,9094","1,9094","1,9094","0,41%"
15.04.1981,"1,9003","1,9003","1,9003","1,9003","-0,48%"
16.04.1981,"1,8962","1,8962","1,8962","1,8962","-0,22%"
21.04.1981,"1,9082","1,9082","1,9082","1,9082","0,63%"
22.04.1981,"1,9110","1,9110","1,9110","1,9110","0,15%"
23.04.1981,"1,9112","1,9112","1,9112","1,9112","0,01%"
24.04.1981,"1,9101","1,9101","1,9101","1,9101","-0,06%"
