Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"4,8609","4,8609","4,8609","4,8609","0,66%"
28.12.1979,"4,8462","4,8462","4,8462","4,8462","-0,30%"
31.12.1979,"4,8683","4,8683","4,8683","4,8683","0,46%"
02.01.1980,"4,8511","4,8511","4,8511","4,8511","-0,35%"
03.01.1980,"4,8713","4,8713","4,8713","4,8713","0,42%"
04.01.1980,"4,8541","4,8541","4,8541","4,8541","-0,35%"
07.01.1980,"4,8772","4,8772","4,8772","4,8772","0,48%"
08.01.1980,"4,8817","4,8817","4,8817","4,8817","0,09%"
09.01.1980,"4,8822","4,8822","4,8822","4,8822","0,01%"
10.01.1980,"4,8619","4,8619","4,8619","4,8619","-0,42%"
11.01.1980,"4,8574","4,8574","4,8574","4,8574","-0,09%"
14.01.1980,"4,8476","4,8476","4,8476","4,8476","-0,20%"
15.01.1980,"4,8422","4,8422","4,8422","4,8422","-0,11%"
16.01.1980,"4,8082","4,8082","4,8082","4,8082","-0,70%"
17.01.1980,"4,8022","4,8022","4,8022","4,8022","-0,12%"
18.01.1980,"4,7968","4,7968","4,7968","4,7968","-0,11%"
21.01.1980,"4,7592","4,7592","4,7592","4,7592","-0,78%"
22.01.1980,"4,7425","4,7425","4,7425","4,7425","-0,35%"
23.01.1980,"4,7455","4,7455","4,7455","4,7455","0,06%"
24.01.1980,"4,7145","4,7145","4,7145","4,7145","-0,65%"
25.01.1980,"4,7203","4,7203","4,7203","4,7203","0,12%"
28.01.1980,"4,7037","4,7037","4,7037","4,7037","-0,35%"
29.01.1980,"4,7018","4,7018","4,7018","4,7018","-0,04%"
30.01.1980,"4,7141","4,7141","4,7141","4,7141","0,26%"
31.01.1980,"4,7503","4,7503","4,7503","4,7503","0,77%"
01.02.1980,"4,7499","4,7499","4,7499","4,7499","-0,01%"
04.02.1980,"4,7548","4,7548","4,7548","4,7548","0,10%"
05.02.1980,"4,7528","4,7528","4,7528","4,7528","-0,04%"
06.02.1980,"4,8047","4,8047","4,8047","4,8047","1,09%"
07.02.1980,"4,8244","4,8244","4,8244","4,8244","0,41%"
08.02.1980,"4,7881","4,7881","4,7881","4,7881","-0,75%"
11.02.1980,"4,7796","4,7796","4,7796","4,7796","-0,18%"
12.02.1980,"4,7890","4,7890","4,7890","4,7890","0,20%"
