Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"4,7877","4,7877","4,7877","4,7877","0,28%"
06.01.1982,"4,8049","4,8049","4,8049","4,8049","0,36%"
07.01.1982,"4,8249","4,8249","4,8249","4,8249","0,42%"
08.01.1982,"4,8259","4,8259","4,8259","4,8259","0,02%"
11.01.1982,"4,8420","4,8420","4,8420","4,8420","0,33%"
12.01.1982,"4,8657","4,8657","4,8657","4,8657","0,49%"
13.01.1982,"4,8522","4,8522","4,8522","4,8522","-0,28%"
14.01.1982,"4,9058","4,9058","4,9058","4,9058","1,10%"
15.01.1982,"4,8995","4,8995","4,8995","4,8995","-0,13%"
18.01.1982,"4,9239","4,9239","4,9239","4,9239","0,50%"
19.01.1982,"4,8735","4,8735","4,8735","4,8735","-1,02%"
20.01.1982,"4,8761","4,8761","4,8761","4,8761","0,05%"
21.01.1982,"4,8866","4,8866","4,8866","4,8866","0,22%"
22.01.1982,"4,8681","4,8681","4,8681","4,8681","-0,38%"
25.01.1982,"4,9107","4,9107","4,9107","4,9107","0,88%"
26.01.1982,"4,9042","4,9042","4,9042","4,9042","-0,13%"
27.01.1982,"4,8626","4,8626","4,8626","4,8626","-0,85%"
28.01.1982,"4,8727","4,8727","4,8727","4,8727","0,21%"
29.01.1982,"4,8727","4,8727","4,8727","4,8727","0,00%"
01.02.1982,"4,9060","4,9060","4,9060","4,9060","0,68%"
02.02.1982,"4,8562","4,8562","4,8562","4,8562","-1,02%"
03.02.1982,"4,8720","4,8720","4,8720","4,8720","0,33%"
04.02.1982,"4,8618","4,8618","4,8618","4,8618","-0,21%"
05.02.1982,"4,8474","4,8474","4,8474","4,8474","-0,30%"
08.02.1982,"4,8440","4,8440","4,8440","4,8440","-0,07%"
09.02.1982,"4,8365","4,8365","4,8365","4,8365","-0,15%"
10.02.1982,"4,8460","4,8460","4,8460","4,8460","0,20%"
11.02.1982,"4,8644","4,8644","4,8644","4,8644","0,38%"
16.02.1982,"4,8625","4,8625","4,8625","4,8625","-0,04%"
17.02.1982,"4,8637","4,8637","4,8637","4,8637","0,02%"
18.02.1982,"4,8518","4,8518","4,8518","4,8518","-0,24%"
19.02.1982,"4,8389","4,8389","4,8389","4,8389","-0,27%"
22.02.1982,"4,8442","4,8442","4,8442","4,8442","0,11%"
23.02.1982,"4,8374","4,8374","4,8374","4,8374","-0,14%"
24.02.1982,"4,8373","4,8373","4,8373","4,8373","-0,00%"
25.02.1982,"4,8314","4,8314","4,8314","4,8314","-0,12%"
26.02.1982,"4,7966","4,7966","4,7966","4,7966","-0,72%"
01.03.1982,"4,8013","4,8013","4,8013","4,8013","0,10%"
02.03.1982,"4,7988","4,7988","4,7988","4,7988","-0,05%"
03.03.1982,"4,7947","4,7947","4,7947","4,7947","-0,09%"
04.03.1982,"4,8093","4,8093","4,8093","4,8093","0,30%"
05.03.1982,"4,8243","4,8243","4,8243","4,8243","0,31%"
08.03.1982,"4,8080","4,8080","4,8080","4,8080","-0,34%"
09.03.1982,"4,8297","4,8297","4,8297","4,8297","0,45%"
10.03.1982,"4,7877","4,7877","4,7877","4,7877","-0,87%"
11.03.1982,"4,7805","4,7805","4,7805","4,7805","-0,15%"
12.03.1982,"4,7544","4,7544","4,7544","4,7544","-0,55%"
15.03.1982,"4,7332","4,7332","4,7332","4,7332","-0,45%"
16.03.1982,"4,7769","4,7769","4,7769","4,7769","0,92%"
17.03.1982,"4,7672","4,7672","4,7672","4,7672","-0,20%"
18.03.1982,"4,7803","4,7803","4,7803","4,7803","0,27%"
19.03.1982,"4,7665","4,7665","4,7665","4,7665","-0,29%"
22.03.1982,"4,7841","4,7841","4,7841","4,7841","0,37%"
23.03.1982,"4,7719","4,7719","4,7719","4,7719","-0,26%"
24.03.1982,"4,7496","4,7496","4,7496","4,7496","-0,47%"
25.03.1982,"4,7424","4,7424","4,7424","4,7424","-0,15%"
26.03.1982,"4,7435","4,7435","4,7435","4,7435","0,02%"
29.03.1982,"4,7517","4,7517","4,7517","4,7517","0,17%"
30.03.1982,"4,7577","4,7577","4,7577","4,7577","0,13%"
31.03.1982,"4,7485","4,7485","4,7485","4,7485","-0,19%"
01.04.1982,"4,7469","4,7469","4,7469","4,7469","-0,03%"
02.04.1982,"4,7500","4,7500","4,7500","4,7500","0,07%"
05.04.1982,"4,7550","4,7550","4,7550","4,7550","0,11%"
06.04.1982,"4,7555","4,7555","4,7555","4,7555","0,01%"
07.04.1982,"4,7347","4,7347","4,7347","4,7347","-0,44%"
08.04.1982,"4,7348","4,7348","4,7348","4,7348","0,00%"
09.04.1982,"4,7394","4,7394","4,7394","4,7394","0,10%"
12.04.1982,"4,7493","4,7493","4,7493","4,7493","0,21%"
13.04.1982,"4,7599","4,7599","4,7599","4,7599","0,22%"
14.04.1982,"4,7518","4,7518","4,7518","4,7518","-0,17%"
15.04.1982,"4,7692","4,7692","4,7692","4,7692","0,37%"
16.04.1982,"4,7825","4,7825","4,7825","4,7825","0,28%"
19.04.1982,"4,7829","4,7829","4,7829","4,7829","0,01%"
20.04.1982,"4,7489","4,7489","4,7489","4,7489","-0,71%"
21.04.1982,"4,7481","4,7481","4,7481","4,7481","-0,02%"
