Data,Último,Abertura,Máxima,Mínima,Variação
03.03.1988,"6,4715","6,4715","6,4759","6,4674","-0,09%"
04.03.1988,"6,4575","6,4575","6,4827","6,4568","-0,22%"
07.03.1988,"6,3994","6,3994","6,4339","6,3974","-0,90%"
08.03.1988,"6,3629","6,3629","6,3913","6,3598","-0,57%"
09.03.1988,"6,3749","6,3749","6,3759","6,3609","0,19%"
10.03.1988,"6,3725","6,3725","6,3892","6,3619","-0,04%"
11.03.1988,"6,3499","6,3499","6,3544","6,3418","-0,35%"
14.03.1988,"6,3629","6,3629","6,3633","6,3298","0,20%"
15.03.1988,"6,4073","6,4073","6,4083","6,3537","0,70%"
16.03.1988,"6,4322","6,4322","6,4339","6,3940","0,39%"
17.03.1988,"6,4824","6,4824","6,4923","6,4223","0,78%"
18.03.1988,"6,4834","6,4834","6,5008","6,4698","0,02%"
21.03.1988,"6,4742","6,4742","6,4882","6,4623","-0,14%"
22.03.1988,"6,4872","6,4872","6,5039","6,4575","0,20%"
23.03.1988,"6,4793","6,4793","6,4978","6,4793","-0,12%"
24.03.1988,"6,4370","6,4370","6,4612","6,4329","-0,65%"
25.03.1988,"6,4209","6,4209","6,4349","6,4138","-0,25%"
28.03.1988,"6,3694","6,3694","6,3783","6,3575","-0,80%"
29.03.1988,"6,3919","6,3919","6,3947","6,3598","0,35%"
30.03.1988,"6,3892","6,3892","6,3998","6,3868","-0,04%"
31.03.1988,"6,3598","6,3598","6,3633","6,3598","-0,46%"
01.04.1988,"6,3640","6,3640","6,3640","6,3640","0,07%"
04.04.1988,"6,3373","6,3373","6,3537","6,3322","-0,42%"
05.04.1988,"6,3902","6,3902","6,3953","6,3435","0,83%"
06.04.1988,"6,4213","6,4213","6,4349","6,3752","0,49%"
07.04.1988,"6,4158","6,4158","6,4377","6,3947","-0,09%"
08.04.1988,"6,4107","6,4107","6,4169","6,3923","-0,08%"
11.04.1988,"6,4472","6,4472","6,4698","6,4073","0,57%"
12.04.1988,"6,4732","6,4732","6,4790","6,4448","0,40%"
13.04.1988,"6,4879","6,4879","6,4957","6,4592","0,23%"
14.04.1988,"6,3725","6,3725","6,4769","6,3650","-1,78%"
15.04.1988,"6,3834","6,3834","6,3875","6,3735","0,17%"
18.04.1988,"6,3899","6,3899","6,3940","6,3598","0,10%"
19.04.1988,"6,3923","6,3923","6,4080","6,3878","0,04%"
20.04.1988,"6,4022","6,4022","6,4049","6,3800","0,15%"
21.04.1988,"6,4107","6,4107","6,4107","6,3892","0,13%"
22.04.1988,"6,4309","6,4309","6,4360","6,3998","0,32%"
25.04.1988,"6,4377","6,4377","6,4503","6,4274","0,11%"
26.04.1988,"6,4452","6,4452","6,4493","6,4237","0,12%"
27.04.1988,"6,4599","6,4599","6,4629","6,4428","0,23%"
28.04.1988,"6,4298","6,4298","6,4387","6,4237","-0,47%"
29.04.1988,"6,4537","6,4537","6,4629","6,4199","0,37%"
02.05.1988,"6,4797","6,4797","6,4872","6,4664","0,40%"
