Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"8,0539","8,0539","8,0539","8,0539","0,28%"
28.12.1979,"8,0912","8,0912","8,0912","8,0912","0,46%"
31.12.1979,"8,1049","8,1049","8,1049","8,1049","0,17%"
02.01.1980,"8,0935","8,0935","8,0935","8,0935","-0,14%"
03.01.1980,"8,0874","8,0874","8,0874","8,0874","-0,08%"
04.01.1980,"8,0977","8,0977","8,0977","8,0977","0,13%"
07.01.1980,"8,1006","8,1006","8,1006","8,1006","0,04%"
08.01.1980,"8,0988","8,0988","8,0988","8,0988","-0,02%"
09.01.1980,"8,1037","8,1037","8,1037","8,1037","0,06%"
10.01.1980,"8,1047","8,1047","8,1047","8,1047","0,01%"
11.01.1980,"8,1054","8,1054","8,1054","8,1054","0,01%"
14.01.1980,"8,1091","8,1091","8,1091","8,1091","0,05%"
15.01.1980,"8,1152","8,1152","8,1152","8,1152","0,08%"
16.01.1980,"8,1193","8,1193","8,1193","8,1193","0,05%"
17.01.1980,"8,1252","8,1252","8,1252","8,1252","0,07%"
18.01.1980,"8,1278","8,1278","8,1278","8,1278","0,03%"
21.01.1980,"8,1207","8,1207","8,1207","8,1207","-0,09%"
22.01.1980,"8,1201","8,1201","8,1201","8,1201","-0,01%"
23.01.1980,"8,1234","8,1234","8,1234","8,1234","0,04%"
24.01.1980,"8,1122","8,1122","8,1122","8,1122","-0,14%"
25.01.1980,"8,1163","8,1163","8,1163","8,1163","0,05%"
28.01.1980,"8,1215","8,1215","8,1215","8,1215","0,06%"
29.01.1980,"8,1209","8,1209","8,1209","8,1209","-0,01%"
30.01.1980,"8,1300","8,1300","8,1300","8,1300","0,11%"
31.01.1980,"8,1415","8,1415","8,1415","8,1415","0,14%"
01.02.1980,"8,1466","8,1466","8,1466","8,1466","0,06%"
04.02.1980,"8,1383","8,1383","8,1383","8,1383","-0,10%"
05.02.1980,"8,1361","8,1361","8,1361","8,1361","-0,03%"
06.02.1980,"8,1373","8,1373","8,1373","8,1373","0,01%"
