Data,Último,Abertura,Máxima,Mínima,Variação
08.05.1986,"0,6358","0,6358","0,6358","0,6358","-0,70%"
09.05.1986,"0,6412","0,6412","0,6412","0,6412","0,85%"
12.05.1986,"0,6308","0,6308","0,6308","0,6308","-1,62%"
13.05.1986,"0,6385","0,6385","0,6385","0,6385","1,22%"
14.05.1986,"0,6354","0,6354","0,6354","0,6354","-0,49%"
15.05.1986,"0,6314","0,6314","0,6314","0,6314","-0,63%"
16.05.1986,"0,6328","0,6328","0,6328","0,6328","0,22%"
19.05.1986,"0,6312","0,6312","0,6312","0,6312","-0,25%"
20.05.1986,"0,6296","0,6296","0,6296","0,6296","-0,25%"
21.05.1986,"0,6221","0,6221","0,6221","0,6221","-1,19%"
22.05.1986,"0,6282","0,6282","0,6282","0,6282","0,98%"
23.05.1986,"0,6301","0,6301","0,6301","0,6301","0,30%"
26.05.1986,"0,6319","0,6319","0,6319","0,6319","0,29%"
27.05.1986,"0,6267","0,6267","0,6267","0,6267","-0,82%"
28.05.1986,"0,6231","0,6231","0,6231","0,6231","-0,57%"
29.05.1986,"0,6201","0,6201","0,6201","0,6201","-0,48%"
30.05.1986,"0,6277","0,6277","0,6277","0,6277","1,23%"
02.06.1986,"0,6392","0,6392","0,6392","0,6392","1,83%"
03.06.1986,"0,6332","0,6332","0,6332","0,6332","-0,94%"
04.06.1986,"0,6443","0,6443","0,6443","0,6443","1,75%"
05.06.1986,"0,6432","0,6432","0,6432","0,6432","-0,17%"
06.06.1986,"0,6354","0,6354","0,6354","0,6354","-1,21%"
09.06.1986,"0,6458","0,6458","0,6458","0,6458","1,64%"
10.06.1986,"0,6390","0,6390","0,6390","0,6390","-1,05%"
11.06.1986,"0,6366","0,6366","0,6366","0,6366","-0,38%"
12.06.1986,"0,6352","0,6352","0,6352","0,6352","-0,22%"
13.06.1986,"0,6381","0,6381","0,6381","0,6381","0,46%"
16.06.1986,"0,6308","0,6308","0,6308","0,6308","-1,14%"
17.06.1986,"0,6351","0,6351","0,6351","0,6351","0,68%"
18.06.1986,"0,6381","0,6381","0,6381","0,6381","0,47%"
19.06.1986,"0,6346","0,6346","0,6346","0,6346","-0,55%"
20.06.1986,"0,6312","0,6312","0,6312","0,6312","-0,54%"
23.06.1986,"0,6428","0,6428","0,6428","0,6428","1,84%"
24.06.1986,"0,6403","0,6403","0,6403","0,6403","-0,39%"
25.06.1986,"0,6357","0,6357","0,6357","0,6357","-0,72%"
26.06.1986,"0,6400","0,6400","0,6400","0,6400","0,68%"
27.06.1986,"0,6383","0,6383","0,6383","0,6383","-0,27%"
30.06.1986,"0,6415","0,6415","0,6415","0,6415","0,50%"
01.07.1986,"0,6337","0,6337","0,6337","0,6337","-1,22%"
02.07.1986,"0,6395","0,6395","0,6395","0,6395","0,92%"
03.07.1986,"0,6380","0,6380","0,6380","0,6380","-0,23%"
04.07.1986,"0,6394","0,6394","0,6394","0,6394","0,22%"
07.07.1986,"0,6396","0,6396","0,6396","0,6396","0,03%"
08.07.1986,"0,6374","0,6374","0,6374","0,6374","-0,34%"
09.07.1986,"0,6437","0,6437","0,6437","0,6437","0,99%"
10.07.1986,"0,6438","0,6438","0,6438","0,6438","0,02%"
11.07.1986,"0,6475","0,6475","0,6475","0,6475","0,57%"
14.07.1986,"0,6612","0,6612","0,6612","0,6612","2,12%"
15.07.1986,"0,6603","0,6603","0,6603","0,6603","-0,14%"
16.07.1986,"0,6547","0,6547","0,6547","0,6547","-0,85%"
17.07.1986,"0,6518","0,6518","0,6518","0,6518","-0,44%"
18.07.1986,"0,6637","0,6637","0,6637","0,6637","1,83%"
21.07.1986,"0,6613","0,6613","0,6613","0,6613","-0,36%"
22.07.1986,"0,6683","0,6683","0,6683","0,6683","1,06%"
23.07.1986,"0,6655","0,6655","0,6655","0,6655","-0,42%"
24.07.1986,"0,6596","0,6596","0,6596","0,6596","-0,89%"
25.07.1986,"0,6715","0,6715","0,6715","0,6715","1,80%"
