Data,Último,Abertura,Máxima,Mínima,Variação
04.03.1988,"1,3984","1,3984","1,4044","1,3972","-0,43%"
07.03.1988,"1,3822","1,3822","1,4019","1,3813","-1,16%"
08.03.1988,"1,3762","1,3762","1,3874","1,3732","-0,43%"
09.03.1988,"1,3801","1,3801","1,3818","1,3750","0,28%"
10.03.1988,"1,3771","1,3771","1,3818","1,3758","-0,22%"
11.03.1988,"1,3685","1,3685","1,3788","1,3655","-0,62%"
14.03.1988,"1,3715","1,3715","1,3736","1,3634","0,22%"
15.03.1988,"1,3801","1,3801","1,3818","1,3698","0,63%"
16.03.1988,"1,3869","1,3869","1,3869","1,3762","0,49%"
17.03.1988,"1,4026","1,4026","1,4091","1,3783","1,13%"
18.03.1988,"1,4026","1,4026","1,4058","1,3963","0,00%"
21.03.1988,"1,3972","1,3972","1,4023","1,3937","-0,39%"
22.03.1988,"1,3972","1,3972","1,4026","1,3920","0,00%"
23.03.1988,"1,3967","1,3967","1,4035","1,3950","-0,04%"
24.03.1988,"1,3851","1,3851","1,3967","1,3848","-0,83%"
25.03.1988,"1,3827","1,3827","1,3916","1,3827","-0,17%"
28.03.1988,"1,3655","1,3655","1,3813","1,3643","-1,24%"
29.03.1988,"1,3766","1,3766","1,3783","1,3655","0,81%"
30.03.1988,"1,3715","1,3715","1,3822","1,3685","-0,37%"
31.03.1988,"1,3652","1,3652","1,3758","1,3596","-0,46%"
01.04.1988,"1,3629","1,3629","1,3664","1,3596","-0,17%"
04.04.1988,"1,3605","1,3605","1,3652","1,3549","-0,18%"
05.04.1988,"1,3766","1,3766","1,3792","1,3608","1,18%"
06.04.1988,"1,3881","1,3881","1,3933","1,3729","0,84%"
07.04.1988,"1,3869","1,3869","1,3907","1,3827","-0,09%"
08.04.1988,"1,3843","1,3843","1,3860","1,3783","-0,19%"
11.04.1988,"1,3920","1,3920","1,3993","1,3830","0,56%"
12.04.1988,"1,3984","1,3984","1,3993","1,3912","0,46%"
