Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"184,65","184,65","184,65","184,65","0,19%"
06.01.1982,"185,06","185,06","185,06","185,06","0,22%"
07.01.1982,"186,88","186,88","186,88","186,88","0,98%"
08.01.1982,"186,58","186,58","186,58","186,58","-0,16%"
11.01.1982,"187,64","187,64","187,64","187,64","0,57%"
12.01.1982,"187,20","187,20","187,20","187,20","-0,23%"
13.01.1982,"188,35","188,35","188,35","188,35","0,61%"
14.01.1982,"187,96","187,96","187,96","187,96","-0,21%"
15.01.1982,"187,88","187,88","187,88","187,88","-0,04%"
18.01.1982,"188,43","188,43","188,43","188,43","0,29%"
19.01.1982,"188,00","188,00","188,00","188,00","-0,23%"
20.01.1982,"188,72","188,72","188,72","188,72","0,38%"
21.01.1982,"189,41","189,41","189,41","189,41","0,37%"
22.01.1982,"190,32","190,32","190,32","190,32","0,48%"
25.01.1982,"191,37","191,37","191,37","191,37","0,55%"
26.01.1982,"190,97","190,97","190,97","190,97","-0,21%"
27.01.1982,"191,78","191,78","191,78","191,78","0,42%"
28.01.1982,"192,77","192,77","192,77","192,77","0,52%"
29.01.1982,"192,77","192,77","192,77","192,77","0,00%"
01.02.1982,"193,53","193,53","193,53","193,53","0,39%"
02.02.1982,"193,25","193,25","193,25","193,25","-0,14%"
03.02.1982,"194,42","194,42","194,42","194,42","0,61%"
04.02.1982,"193,47","193,47","193,47","193,47","-0,49%"
05.02.1982,"193,60","193,60","193,60","193,60","0,07%"
08.02.1982,"194,17","194,17","194,17","194,17","0,29%"
09.02.1982,"194,31","194,31","194,31","194,31","0,07%"
10.02.1982,"194,57","194,57","194,57","194,57","0,13%"
11.02.1982,"194,82","194,82","194,82","194,82","0,13%"
16.02.1982,"197,45","197,45","197,45","197,45","1,35%"
17.02.1982,"197,25","197,25","197,25","197,25","-0,10%"
18.02.1982,"193,84","193,84","193,84","193,84","-1,73%"
19.02.1982,"191,93","191,93","191,93","191,93","-0,99%"
22.02.1982,"190,76","190,76","190,76","190,76","-0,61%"
23.02.1982,"192,38","192,38","192,38","192,38","0,85%"
24.02.1982,"192,07","192,07","192,07","192,07","-0,16%"
25.02.1982,"193,18","193,18","193,18","193,18","0,58%"
26.02.1982,"192,99","192,99","192,99","192,99","-0,10%"
01.03.1982,"194,04","194,04","194,04","194,04","0,54%"
02.03.1982,"193,94","193,94","193,94","193,94","-0,05%"
03.03.1982,"193,11","193,11","193,11","193,11","-0,43%"
04.03.1982,"193,99","193,99","193,99","193,99","0,46%"
05.03.1982,"192,84","192,84","192,84","192,84","-0,59%"
08.03.1982,"193,01","193,01","193,01","193,01","0,09%"
09.03.1982,"195,90","195,90","195,90","195,90","1,50%"
10.03.1982,"195,59","195,59","195,59","195,59","-0,16%"
11.03.1982,"197,51","197,51","197,51","197,51","0,98%"
12.03.1982,"197,48","197,48","197,48","197,48","-0,02%"
15.03.1982,"197,40","197,40","197,40","197,40","-0,04%"
16.03.1982,"198,49","198,49","198,49","198,49","0,55%"
17.03.1982,"198,57","198,57","198,57","198,57","0,04%"
18.03.1982,"199,14","199,14","199,14","199,14","0,29%"
19.03.1982,"199,88","199,88","199,88","199,88","0,37%"
22.03.1982,"200,97","200,97","200,97","200,97","0,55%"
23.03.1982,"200,57","200,57","200,57","200,57","-0,20%"
24.03.1982,"198,99","198,99","198,99","198,99","-0,79%"
25.03.1982,"199,97","199,97","199,97","199,97","0,49%"
26.03.1982,"201,14","201,14","201,14","201,14","0,59%"
29.03.1982,"200,55","200,55","200,55","200,55","-0,29%"
30.03.1982,"199,75","199,75","199,75","199,75","-0,40%"
31.03.1982,"201,70","201,70","201,70","201,70","0,98%"
01.04.1982,"200,65","200,65","200,65","200,65","-0,52%"
02.04.1982,"200,29","200,29","200,29","200,29","-0,18%"
05.04.1982,"202,48","202,48","202,48","202,48","1,09%"
06.04.1982,"202,08","202,08","202,08","202,08","-0,20%"
07.04.1982,"199,45","199,45","199,45","199,45","-1,30%"
08.04.1982,"201,73","201,73","201,73","201,73","1,14%"
09.04.1982,"201,35","201,35","201,35","201,35","-0,19%"
12.04.1982,"201,46","201,46","201,46","201,46","0,05%"
13.04.1982,"201,44","201,44","201,44","201,44","-0,01%"
14.04.1982,"201,98","201,98","201,98","201,98","0,27%"
15.04.1982,"203,26","203,26","203,26","203,26","0,63%"
16.04.1982,"202,95","202,95","202,95","202,95","-0,15%"
19.04.1982,"201,02","201,02","201,02","201,02","-0,95%"
20.04.1982,"198,86","198,86","198,86","198,86","-1,07%"
21.04.1982,"198,87","198,87","198,87","198,87","0,01%"
22.04.1982,"198,15","198,15","198,15","198,15","-0,36%"
23.04.1982,"196,94","196,94","196,94","196,94","-0,61%"
26.04.1982,"194,99","194,99","194,99","194,99","-0,99%"
27.04.1982,"194,19","194,19","194,19","194,19","-0,41%"
28.04.1982,"193,54","193,54","193,54","193,54","-0,33%"
29.04.1982,"192,95","192,95","192,95","192,95","-0,30%"
30.04.1982,"193,32","193,32","193,32","193,32","0,19%"
03.05.1982,"193,17","193,17","193,17","193,17","-0,08%"
04.05.1982,"193,58","193,58","193,58","193,58","0,21%"
05.05.1982,"191,35","191,35","191,35","191,35","-1,15%"
06.05.1982,"191,18","191,18","191,18","191,18","-0,09%"
07.05.1982,"190,38","190,38","190,38","190,38","-0,42%"
10.05.1982,"190,34","190,34","190,34","190,34","-0,02%"
11.05.1982,"188,91","188,91","188,91","188,91","-0,75%"
12.05.1982,"188,56","188,56","188,56","188,56","-0,19%"
13.05.1982,"189,81","189,81","189,81","189,81","0,66%"
14.05.1982,"190,05","190,05","190,05","190,05","0,13%"
17.05.1982,"191,08","191,08","191,08","191,08","0,54%"
18.05.1982,"191,40","191,40","191,40","191,40","0,17%"
19.05.1982,"193,18","193,18","193,18","193,18","0,93%"
20.05.1982,"193,27","193,27","193,27","193,27","0,05%"
21.05.1982,"192,26","192,26","192,26","192,26","-0,52%"
24.05.1982,"192,80","192,80","192,80","192,80","0,28%"
25.05.1982,"194,04","194,04","194,04","194,04","0,64%"
