Data,Último,Abertura,Máxima,Mínima,Variação
08.05.1986,"1,6813","1,6813","1,6813","1,6813","-0,40%"
09.05.1986,"1,6736","1,6736","1,6736","1,6736","-0,46%"
12.05.1986,"1,6557","1,6557","1,6557","1,6557","-1,07%"
13.05.1986,"1,7458","1,7458","1,7458","1,7458","5,44%"
14.05.1986,"1,7346","1,7346","1,7346","1,7346","-0,64%"
15.05.1986,"1,7328","1,7328","1,7328","1,7328","-0,10%"
16.05.1986,"1,7517","1,7517","1,7517","1,7517","1,09%"
19.05.1986,"1,7232","1,7232","1,7232","1,7232","-1,63%"
20.05.1986,"1,7145","1,7145","1,7145","1,7145","-0,50%"
21.05.1986,"1,6998","1,6998","1,6998","1,6998","-0,86%"
22.05.1986,"1,7000","1,7000","1,7000","1,7000","0,01%"
23.05.1986,"1,6996","1,6996","1,6996","1,6996","-0,02%"
27.05.1986,"1,7027","1,7027","1,7027","1,7027","0,18%"
28.05.1986,"1,6845","1,6845","1,6845","1,6845","-1,07%"
29.05.1986,"1,6503","1,6503","1,6503","1,6503","-2,03%"
30.05.1986,"1,6421","1,6421","1,6421","1,6421","-0,50%"
02.06.1986,"1,6747","1,6747","1,6747","1,6747","1,99%"
03.06.1986,"1,6745","1,6745","1,6745","1,6745","-0,01%"
04.06.1986,"1,7090","1,7090","1,7090","1,7090","2,06%"
05.06.1986,"1,7332","1,7332","1,7332","1,7332","1,42%"
06.06.1986,"1,7094","1,7094","1,7094","1,7094","-1,37%"
09.06.1986,"1,7279","1,7279","1,7279","1,7279","1,08%"
10.06.1986,"1,7214","1,7214","1,7214","1,7214","-0,38%"
11.06.1986,"1,7349","1,7349","1,7349","1,7349","0,78%"
12.06.1986,"1,7636","1,7636","1,7636","1,7636","1,65%"
13.06.1986,"1,7857","1,7857","1,7857","1,7857","1,25%"
16.06.1986,"1,7927","1,7927","1,7927","1,7927","0,39%"
17.06.1986,"1,7847","1,7847","1,7847","1,7847","-0,45%"
18.06.1986,"1,7842","1,7842","1,7842","1,7842","-0,03%"
19.06.1986,"1,7955","1,7955","1,7955","1,7955","0,63%"
20.06.1986,"1,7905","1,7905","1,7905","1,7905","-0,28%"
23.06.1986,"1,8132","1,8132","1,8132","1,8132","1,27%"
24.06.1986,"1,8069","1,8069","1,8069","1,8069","-0,35%"
25.06.1986,"1,8263","1,8263","1,8263","1,8263","1,07%"
26.06.1986,"1,8253","1,8253","1,8253","1,8253","-0,05%"
27.06.1986,"1,8033","1,8033","1,8033","1,8033","-1,21%"
30.06.1986,"1,7900","1,7900","1,7900","1,7900","-0,74%"
01.07.1986,"1,8180","1,8180","1,8180","1,8180","1,56%"
02.07.1986,"1,8260","1,8260","1,8260","1,8260","0,44%"
03.07.1986,"1,8569","1,8569","1,8569","1,8569","1,69%"
07.07.1986,"1,8333","1,8333","1,8333","1,8333","-1,27%"
08.07.1986,"1,8516","1,8516","1,8516","1,8516","1,00%"
09.07.1986,"1,8360","1,8360","1,8360","1,8360","-0,84%"
10.07.1986,"1,8306","1,8306","1,8306","1,8306","-0,29%"
11.07.1986,"1,8381","1,8381","1,8381","1,8381","0,41%"
14.07.1986,"1,8411","1,8411","1,8411","1,8411","0,16%"
15.07.1986,"1,8536","1,8536","1,8536","1,8536","0,68%"
16.07.1986,"1,8553","1,8553","1,8553","1,8553","0,09%"
17.07.1986,"1,8466","1,8466","1,8466","1,8466","-0,47%"
18.07.1986,"1,8697","1,8697","1,8697","1,8697","1,25%"
21.07.1986,"1,8340","1,8340","1,8340","1,8340","-1,91%"
22.07.1986,"1,8340","1,8340","1,8340","1,8340","0,00%"
23.07.1986,"1,8467","1,8467","1,8467","1,8467","0,69%"
24.07.1986,"1,8560","1,8560","1,8560","1,8560","0,50%"
25.07.1986,"1,9081","1,9081","1,9081","1,9081","2,81%"
28.07.1986,"1,8981","1,8981","1,8981","1,8981","-0,52%"
29.07.1986,"1,8909","1,8909","1,8909","1,8909","-0,38%"
30.07.1986,"1,9465","1,9465","1,9465","1,9465","2,94%"
31.07.1986,"1,9391","1,9391","1,9391","1,9391","-0,38%"
01.08.1986,"1,9464","1,9464","1,9464","1,9464","0,38%"
04.08.1986,"1,9466","1,9466","1,9466","1,9466","0,01%"
05.08.1986,"1,9622","1,9622","1,9622","1,9622","0,80%"
06.08.1986,"1,9573","1,9573","1,9573","1,9573","-0,25%"
07.08.1986,"1,9574","1,9574","1,9574","1,9574","0,01%"
08.08.1986,"2,0170","2,0170","2,0170","2,0170","3,04%"
11.08.1986,"2,0513","2,0513","2,0513","2,0513","1,70%"
12.08.1986,"2,0503","2,0503","2,0503","2,0503","-0,05%"
13.08.1986,"2,0351","2,0351","2,0351","2,0351","-0,74%"
14.08.1986,"2,0305","2,0305","2,0305","2,0305","-0,23%"
15.08.1986,"2,0523","2,0523","2,0523","2,0523","1,07%"
18.08.1986,"2,0522","2,0522","2,0522","2,0522","-0,00%"
19.08.1986,"2,0313","2,0313","2,0313","2,0313","-1,02%"
20.08.1986,"2,0447","2,0447","2,0447","2,0447","0,66%"
21.08.1986,"2,1139","2,1139","2,1139","2,1139","3,38%"
22.08.1986,"2,1034","2,1034","2,1034","2,1034","-0,50%"
25.08.1986,"2,1071","2,1071","2,1071","2,1071","0,18%"
26.08.1986,"2,0906","2,0906","2,0906","2,0906","-0,78%"
27.08.1986,"2,0698","2,0698","2,0698","2,0698","-0,99%"
28.08.1986,"2,0762","2,0762","2,0762","2,0762","0,31%"
29.08.1986,"2,1231","2,1231","2,1231","2,1231","2,26%"
02.09.1986,"2,1235","2,1235","2,1235","2,1235","0,02%"
03.09.1986,"2,1158","2,1158","2,1158","2,1158","-0,36%"
04.09.1986,"2,1325","2,1325","2,1325","2,1325","0,79%"
05.09.1986,"2,1202","2,1202","2,1202","2,1202","-0,58%"
08.09.1986,"2,1271","2,1271","2,1271","2,1271","0,33%"
09.09.1986,"2,1416","2,1416","2,1416","2,1416","0,68%"
10.09.1986,"2,1423","2,1423","2,1423","2,1423","0,03%"
11.09.1986,"2,1371","2,1371","2,1371","2,1371","-0,24%"
12.09.1986,"2,1243","2,1243","2,1243","2,1243","-0,60%"
