Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"2,0250","2,0250","2,0250","2,0250","1,35%"
28.12.1979,"2,0146","2,0146","2,0146","2,0146","-0,51%"
31.12.1979,"2,0107","2,0107","2,0107","2,0107","-0,19%"
02.01.1980,"2,0144","2,0144","2,0144","2,0144","0,18%"
03.01.1980,"2,0214","2,0214","2,0214","2,0214","0,35%"
04.01.1980,"2,0151","2,0151","2,0151","2,0151","-0,31%"
07.01.1980,"2,0299","2,0299","2,0299","2,0299","0,73%"
08.01.1980,"2,0286","2,0286","2,0286","2,0286","-0,06%"
09.01.1980,"2,0367","2,0367","2,0367","2,0367","0,40%"
10.01.1980,"2,0296","2,0296","2,0296","2,0296","-0,35%"
11.01.1980,"2,0306","2,0306","2,0306","2,0306","0,05%"
14.01.1980,"2,0419","2,0419","2,0419","2,0419","0,56%"
15.01.1980,"2,0495","2,0495","2,0495","2,0495","0,37%"
16.01.1980,"2,0489","2,0489","2,0489","2,0489","-0,03%"
17.01.1980,"2,0453","2,0453","2,0453","2,0453","-0,18%"
18.01.1980,"2,0545","2,0545","2,0545","2,0545","0,45%"
21.01.1980,"2,0622","2,0622","2,0622","2,0622","0,37%"
22.01.1980,"2,0515","2,0515","2,0515","2,0515","-0,52%"
23.01.1980,"2,0481","2,0481","2,0481","2,0481","-0,17%"
24.01.1980,"2,0572","2,0572","2,0572","2,0572","0,44%"
25.01.1980,"2,0508","2,0508","2,0508","2,0508","-0,31%"
28.01.1980,"2,0417","2,0417","2,0417","2,0417","-0,44%"
29.01.1980,"2,0390","2,0390","2,0390","2,0390","-0,13%"
30.01.1980,"2,0476","2,0476","2,0476","2,0476","0,42%"
31.01.1980,"2,0480","2,0480","2,0480","2,0480","0,02%"
01.02.1980,"2,0593","2,0593","2,0593","2,0593","0,55%"
04.02.1980,"2,0585","2,0585","2,0585","2,0585","-0,04%"
05.02.1980,"2,0661","2,0661","2,0661","2,0661","0,37%"
06.02.1980,"2,0818","2,0818","2,0818","2,0818","0,76%"
