Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"2,6313","2,6313","2,6313","2,6313","1,54%"
28.12.1979,"2,6134","2,6134","2,6134","2,6134","-0,68%"
31.12.1979,"2,6055","2,6055","2,6055","2,6055","-0,30%"
02.01.1980,"2,6026","2,6026","2,6026","2,6026","-0,11%"
03.01.1980,"2,6239","2,6239","2,6239","2,6239","0,82%"
04.01.1980,"2,6117","2,6117","2,6117","2,6117","-0,46%"
07.01.1980,"2,6402","2,6402","2,6402","2,6402","1,09%"
08.01.1980,"2,6394","2,6394","2,6394","2,6394","-0,03%"
09.01.1980,"2,6490","2,6490","2,6490","2,6490","0,36%"
10.01.1980,"2,6200","2,6200","2,6200","2,6200","-1,09%"
11.01.1980,"2,6310","2,6310","2,6310","2,6310","0,42%"
14.01.1980,"2,6468","2,6468","2,6468","2,6468","0,60%"
15.01.1980,"2,6592","2,6592","2,6592","2,6592","0,47%"
16.01.1980,"2,6544","2,6544","2,6544","2,6544","-0,18%"
17.01.1980,"2,6358","2,6358","2,6358","2,6358","-0,70%"
18.01.1980,"2,6495","2,6495","2,6495","2,6495","0,52%"
21.01.1980,"2,6590","2,6590","2,6590","2,6590","0,36%"
22.01.1980,"2,6370","2,6370","2,6370","2,6370","-0,83%"
23.01.1980,"2,6230","2,6230","2,6230","2,6230","-0,53%"
24.01.1980,"2,6419","2,6419","2,6419","2,6419","0,72%"
25.01.1980,"2,6401","2,6401","2,6401","2,6401","-0,07%"
28.01.1980,"2,6316","2,6316","2,6316","2,6316","-0,32%"
29.01.1980,"2,6269","2,6269","2,6269","2,6269","-0,18%"
30.01.1980,"2,6321","2,6321","2,6321","2,6321","0,20%"
31.01.1980,"2,6286","2,6286","2,6286","2,6286","-0,13%"
01.02.1980,"2,6319","2,6319","2,6319","2,6319","0,13%"
04.02.1980,"2,6249","2,6249","2,6249","2,6249","-0,27%"
05.02.1980,"2,6587","2,6587","2,6587","2,6587","1,29%"
06.02.1980,"2,6764","2,6764","2,6764","2,6764","0,67%"
07.02.1980,"2,6662","2,6662","2,6662","2,6662","-0,38%"
08.02.1980,"2,6625","2,6625","2,6625","2,6625","-0,14%"
11.02.1980,"2,6714","2,6714","2,6714","2,6714","0,33%"
12.02.1980,"2,6683","2,6683","2,6683","2,6683","-0,12%"
13.02.1980,"2,6789","2,6789","2,6789","2,6789","0,40%"
14.02.1980,"2,6827","2,6827","2,6827","2,6827","0,14%"
15.02.1980,"2,6731","2,6731","2,6731","2,6731","-0,36%"
