Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"2,2777","2,2777","2,2777","2,2777","1,15%"
28.12.1979,"2,2624","2,2624","2,2624","2,2624","-0,67%"
31.12.1979,"2,2635","2,2635","2,2635","2,2635","0,05%"
02.01.1980,"2,2670","2,2670","2,2670","2,2670","0,15%"
03.01.1980,"2,2711","2,2711","2,2711","2,2711","0,18%"
04.01.1980,"2,2688","2,2688","2,2688","2,2688","-0,10%"
07.01.1980,"2,2838","2,2838","2,2838","2,2838","0,66%"
08.01.1980,"2,2797","2,2797","2,2797","2,2797","-0,18%"
09.01.1980,"2,2886","2,2886","2,2886","2,2886","0,39%"
10.01.1980,"2,2837","2,2837","2,2837","2,2837","-0,21%"
11.01.1980,"2,2800","2,2800","2,2800","2,2800","-0,16%"
14.01.1980,"2,2976","2,2976","2,2976","2,2976","0,77%"
15.01.1980,"2,3100","2,3100","2,3100","2,3100","0,54%"
16.01.1980,"2,3078","2,3078","2,3078","2,3078","-0,10%"
17.01.1980,"2,3014","2,3014","2,3014","2,3014","-0,28%"
18.01.1980,"2,3116","2,3116","2,3116","2,3116","0,44%"
21.01.1980,"2,3163","2,3163","2,3163","2,3163","0,20%"
22.01.1980,"2,3064","2,3064","2,3064","2,3064","-0,43%"
23.01.1980,"2,3085","2,3085","2,3085","2,3085","0,09%"
24.01.1980,"2,3142","2,3142","2,3142","2,3142","0,25%"
25.01.1980,"2,3034","2,3034","2,3034","2,3034","-0,47%"
28.01.1980,"2,3011","2,3011","2,3011","2,3011","-0,10%"
29.01.1980,"2,2974","2,2974","2,2974","2,2974","-0,16%"
30.01.1980,"2,3070","2,3070","2,3070","2,3070","0,42%"
31.01.1980,"2,3052","2,3052","2,3052","2,3052","-0,08%"
01.02.1980,"2,3192","2,3192","2,3192","2,3192","0,61%"
04.02.1980,"2,3192","2,3192","2,3192","2,3192","0,00%"
05.02.1980,"2,3237","2,3237","2,3237","2,3237","0,19%"
06.02.1980,"2,3389","2,3389","2,3389","2,3389","0,65%"
07.02.1980,"2,3288","2,3288","2,3288","2,3288","-0,43%"
08.02.1980,"2,3314","2,3314","2,3314","2,3314","0,11%"
11.02.1980,"2,3372","2,3372","2,3372","2,3372","0,25%"
12.02.1980,"2,3322","2,3322","2,3322","2,3322","-0,21%"
13.02.1980,"2,3473","2,3473","2,3473","2,3473","0,65%"
14.02.1980,"2,3516","2,3516","2,3516","2,3516","0,18%"
15.02.1980,"2,3420","2,3420","2,3420","2,3420","-0,41%"
18.02.1980,"2,3359","2,3359","2,3359","2,3359","-0,26%"
19.02.1980,"2,3204","2,3204","2,3204","2,3204","-0,66%"
20.02.1980,"2,3364","2,3364","2,3364","2,3364","0,69%"
21.02.1980,"2,3417","2,3417","2,3417","2,3417","0,23%"
22.02.1980,"2,3351","2,3351","2,3351","2,3351","-0,28%"
25.02.1980,"2,3392","2,3392","2,3392","2,3392","0,18%"
26.02.1980,"2,3416","2,3416","2,3416","2,3416","0,10%"
27.02.1980,"2,3514","2,3514","2,3514","2,3514","0,42%"
28.02.1980,"2,3479","2,3479","2,3479","2,3479","-0,15%"
29.02.1980,"2,3448","2,3448","2,3448","2,3448","-0,13%"
03.03.1980,"2,3251","2,3251","2,3251","2,3251","-0,84%"
04.03.1980,"2,3003","2,3003","2,3003","2,3003","-1,07%"
05.03.1980,"2,3211","2,3211","2,3211","2,3211","0,90%"
06.03.1980,"2,3126","2,3126","2,3126","2,3126","-0,37%"
07.03.1980,"2,3103","2,3103","2,3103","2,3103","-0,10%"
10.03.1980,"2,3084","2,3084","2,3084","2,3084","-0,08%"
11.03.1980,"2,3163","2,3163","2,3163","2,3163","0,34%"
12.03.1980,"2,3204","2,3204","2,3204","2,3204","0,18%"
13.03.1980,"2,3135","2,3135","2,3135","2,3135","-0,30%"
14.03.1980,"2,3111","2,3111","2,3111","2,3111","-0,10%"
17.03.1980,"2,3028","2,3028","2,3028","2,3028","-0,36%"
18.03.1980,"2,3173","2,3173","2,3173","2,3173","0,63%"
19.03.1980,"2,3087","2,3087","2,3087","2,3087","-0,37%"
20.03.1980,"2,3133","2,3133","2,3133","2,3133","0,20%"
21.03.1980,"2,2987","2,2987","2,2987","2,2987","-0,63%"
24.03.1980,"2,3070","2,3070","2,3070","2,3070","0,36%"
25.03.1980,"2,3162","2,3162","2,3162","2,3162","0,40%"
26.03.1980,"2,3203","2,3203","2,3203","2,3203","0,18%"
27.03.1980,"2,3059","2,3059","2,3059","2,3059","-0,62%"
28.03.1980,"2,3089","2,3089","2,3089","2,3089","0,13%"
31.03.1980,"2,3009","2,3009","2,3009","2,3009","-0,35%"
01.04.1980,"2,2912","2,2912","2,2912","2,2912","-0,42%"
02.04.1980,"2,3137","2,3137","2,3137","2,3137","0,98%"
03.04.1980,"2,2983","2,2983","2,2983","2,2983","-0,67%"
08.04.1980,"2,3254","2,3254","2,3254","2,3254","1,18%"
09.04.1980,"2,3051","2,3051","2,3051","2,3051","-0,87%"
