Data,Último,Abertura,Máxima,Mínima,Variação
09.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
09.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
10.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
10.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
13.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
13.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
14.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
14.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
15.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
15.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
16.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
16.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
17.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
17.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
20.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
20.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
21.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
21.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
22.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
22.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
24.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
24.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
27.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
27.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
28.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
28.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
29.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
29.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
30.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
30.11.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
01.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
01.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
04.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
04.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
05.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
05.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
06.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
06.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
07.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
07.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
08.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
08.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
11.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
11.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
12.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
12.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
13.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
13.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
14.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
14.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
15.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
15.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
18.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
18.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
19.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
19.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
20.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
20.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
21.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
21.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
22.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
22.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
27.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
27.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
28.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
28.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
29.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
29.12.1989,"0,0023","0,0023","0,0023","0,0023","0,00%"
02.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
03.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
04.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
05.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
08.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
09.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
10.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
11.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
12.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
16.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
17.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
18.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
19.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
22.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
23.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
24.01.1990,"0,0023","0,0023","0,0023","0,0023","0,00%"
