Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"1,1558","1,1558","1,1558","1,1558","0,41%"
28.12.1979,"1,1550","1,1550","1,1550","1,1550","-0,07%"
31.12.1979,"1,1485","1,1485","1,1485","1,1485","-0,56%"
02.01.1980,"1,1483","1,1483","1,1483","1,1483","-0,02%"
03.01.1980,"1,1563","1,1563","1,1563","1,1563","0,70%"
04.01.1980,"1,1523","1,1523","1,1523","1,1523","-0,35%"
07.01.1980,"1,1577","1,1577","1,1577","1,1577","0,47%"
08.01.1980,"1,1587","1,1587","1,1587","1,1587","0,09%"
09.01.1980,"1,1581","1,1581","1,1581","1,1581","-0,05%"
10.01.1980,"1,1522","1,1522","1,1522","1,1522","-0,51%"
11.01.1980,"1,1534","1,1534","1,1534","1,1534","0,10%"
14.01.1980,"1,1523","1,1523","1,1523","1,1523","-0,10%"
15.01.1980,"1,1506","1,1506","1,1506","1,1506","-0,15%"
16.01.1980,"1,1490","1,1490","1,1490","1,1490","-0,14%"
17.01.1980,"1,1462","1,1462","1,1462","1,1462","-0,24%"
18.01.1980,"1,1466","1,1466","1,1466","1,1466","0,03%"
21.01.1980,"1,1472","1,1472","1,1472","1,1472","0,05%"
22.01.1980,"1,1439","1,1439","1,1439","1,1439","-0,29%"
23.01.1980,"1,1452","1,1452","1,1452","1,1452","0,11%"
24.01.1980,"1,1413","1,1413","1,1413","1,1413","-0,34%"
25.01.1980,"1,1464","1,1464","1,1464","1,1464","0,45%"
28.01.1980,"1,1439","1,1439","1,1439","1,1439","-0,22%"
29.01.1980,"1,1429","1,1429","1,1429","1,1429","-0,09%"
30.01.1980,"1,1408","1,1408","1,1408","1,1408","-0,18%"
31.01.1980,"1,1394","1,1394","1,1394","1,1394","-0,12%"
01.02.1980,"1,1352","1,1352","1,1352","1,1352","-0,37%"
04.02.1980,"1,1385","1,1385","1,1385","1,1385","0,29%"
05.02.1980,"1,1444","1,1444","1,1444","1,1444","0,52%"
06.02.1980,"1,1444","1,1444","1,1444","1,1444","0,00%"
07.02.1980,"1,1454","1,1454","1,1454","1,1454","0,09%"
08.02.1980,"1,1422","1,1422","1,1422","1,1422","-0,28%"
11.02.1980,"1,1427","1,1427","1,1427","1,1427","0,04%"
13.02.1980,"1,1412","1,1412","1,1412","1,1412","-0,13%"
14.02.1980,"1,1409","1,1409","1,1409","1,1409","-0,03%"
15.02.1980,"1,1418","1,1418","1,1418","1,1418","0,08%"
19.02.1980,"1,1348","1,1348","1,1348","1,1348","-0,61%"
20.02.1980,"1,1263","1,1263","1,1263","1,1263","-0,75%"
21.02.1980,"1,1247","1,1247","1,1247","1,1247","-0,14%"
22.02.1980,"1,1241","1,1241","1,1241","1,1241","-0,05%"
25.02.1980,"1,1201","1,1201","1,1201","1,1201","-0,36%"
26.02.1980,"1,1193","1,1193","1,1193","1,1193","-0,07%"
27.02.1980,"1,1144","1,1144","1,1144","1,1144","-0,44%"
28.02.1980,"1,1160","1,1160","1,1160","1,1160","0,14%"
29.02.1980,"1,1107","1,1107","1,1107","1,1107","-0,47%"
03.03.1980,"1,1076","1,1076","1,1076","1,1076","-0,28%"
04.03.1980,"1,1154","1,1154","1,1154","1,1154","0,70%"
05.03.1980,"1,1094","1,1094","1,1094","1,1094","-0,54%"
06.03.1980,"1,1106","1,1106","1,1106","1,1106","0,11%"
07.03.1980,"1,1136","1,1136","1,1136","1,1136","0,27%"
10.03.1980,"1,1189","1,1189","1,1189","1,1189","0,48%"
11.03.1980,"1,1196","1,1196","1,1196","1,1196","0,06%"
12.03.1980,"1,1247","1,1247","1,1247","1,1247","0,46%"
13.03.1980,"1,1227","1,1227","1,1227","1,1227","-0,18%"
14.03.1980,"1,1279","1,1279","1,1279","1,1279","0,46%"
17.03.1980,"1,1249","1,1249","1,1249","1,1249","-0,27%"
18.03.1980,"1,1175","1,1175","1,1175","1,1175","-0,66%"
19.03.1980,"1,1172","1,1172","1,1172","1,1172","-0,03%"
20.03.1980,"1,1200","1,1200","1,1200","1,1200","0,25%"
21.03.1980,"1,1226","1,1226","1,1226","1,1226","0,23%"
24.03.1980,"1,1218","1,1218","1,1218","1,1218","-0,07%"
25.03.1980,"1,1304","1,1304","1,1304","1,1304","0,77%"
26.03.1980,"1,1276","1,1276","1,1276","1,1276","-0,25%"
27.03.1980,"1,1218","1,1218","1,1218","1,1218","-0,51%"
28.03.1980,"1,1180","1,1180","1,1180","1,1180","-0,34%"
31.03.1980,"1,1206","1,1206","1,1206","1,1206","0,23%"
01.04.1980,"1,1182","1,1182","1,1182","1,1182","-0,21%"
02.04.1980,"1,1100","1,1100","1,1100","1,1100","-0,73%"
03.04.1980,"1,1107","1,1107","1,1107","1,1107","0,06%"
08.04.1980,"1,0991","1,0991","1,0991","1,0991","-1,04%"
09.04.1980,"1,1157","1,1157","1,1157","1,1157","1,51%"
10.04.1980,"1,1115","1,1115","1,1115","1,1115","-0,38%"
11.04.1980,"1,1123","1,1123","1,1123","1,1123","0,07%"
14.04.1980,"1,1203","1,1203","1,1203","1,1203","0,72%"
15.04.1980,"1,1228","1,1228","1,1228","1,1228","0,22%"
16.04.1980,"1,1265","1,1265","1,1265","1,1265","0,33%"
17.04.1980,"1,1253","1,1253","1,1253","1,1253","-0,11%"
18.04.1980,"1,1271","1,1271","1,1271","1,1271","0,16%"
21.04.1980,"1,1278","1,1278","1,1278","1,1278","0,06%"
22.04.1980,"1,1260","1,1260","1,1260","1,1260","-0,16%"
23.04.1980,"1,1297","1,1297","1,1297","1,1297","0,33%"
24.04.1980,"1,1340","1,1340","1,1340","1,1340","0,38%"
25.04.1980,"1,1405","1,1405","1,1405","1,1405","0,57%"
28.04.1980,"1,1468","1,1468","1,1468","1,1468","0,55%"
29.04.1980,"1,1512","1,1512","1,1512","1,1512","0,38%"
30.04.1980,"1,1483","1,1483","1,1483","1,1483","-0,25%"
01.05.1980,"1,1479","1,1479","1,1479","1,1479","-0,03%"
02.05.1980,"1,1491","1,1491","1,1491","1,1491","0,10%"
06.05.1980,"1,1531","1,1531","1,1531","1,1531","0,35%"
07.05.1980,"1,1522","1,1522","1,1522","1,1522","-0,08%"
08.05.1980,"1,1459","1,1459","1,1459","1,1459","-0,55%"
09.05.1980,"1,1488","1,1488","1,1488","1,1488","0,25%"
12.05.1980,"1,1486","1,1486","1,1486","1,1486","-0,02%"
13.05.1980,"1,1476","1,1476","1,1476","1,1476","-0,09%"
14.05.1980,"1,1473","1,1473","1,1473","1,1473","-0,03%"
15.05.1980,"1,1497","1,1497","1,1497","1,1497","0,21%"
16.05.1980,"1,1429","1,1429","1,1429","1,1429","-0,59%"
19.05.1980,"1,1461","1,1461","1,1461","1,1461","0,28%"
20.05.1980,"1,1457","1,1457","1,1457","1,1457","-0,03%"
21.05.1980,"1,1363","1,1363","1,1363","1,1363","-0,82%"
22.05.1980,"1,1406","1,1406","1,1406","1,1406","0,38%"
23.05.1980,"1,1415","1,1415","1,1415","1,1415","0,08%"
27.05.1980,"1,1504","1,1504","1,1504","1,1504","0,78%"
28.05.1980,"1,1477","1,1477","1,1477","1,1477","-0,23%"
29.05.1980,"1,1444","1,1444","1,1444","1,1444","-0,29%"
30.05.1980,"1,1391","1,1391","1,1391","1,1391","-0,46%"
02.06.1980,"1,1443","1,1443","1,1443","1,1443","0,46%"
03.06.1980,"1,1394","1,1394","1,1394","1,1394","-0,43%"
04.06.1980,"1,1370","1,1370","1,1370","1,1370","-0,21%"
05.06.1980,"1,1408","1,1408","1,1408","1,1408","0,33%"
06.06.1980,"1,1363","1,1363","1,1363","1,1363","-0,39%"
09.06.1980,"1,1400","1,1400","1,1400","1,1400","0,33%"
10.06.1980,"1,1367","1,1367","1,1367","1,1367","-0,29%"
11.06.1980,"1,1344","1,1344","1,1344","1,1344","-0,20%"
12.06.1980,"1,1350","1,1350","1,1350","1,1350","0,05%"
13.06.1980,"1,1358","1,1358","1,1358","1,1358","0,07%"
16.06.1980,"1,1368","1,1368","1,1368","1,1368","0,09%"
17.06.1980,"1,1394","1,1394","1,1394","1,1394","0,23%"
18.06.1980,"1,1374","1,1374","1,1374","1,1374","-0,18%"
19.06.1980,"1,1358","1,1358","1,1358","1,1358","-0,14%"
20.06.1980,"1,1341","1,1341","1,1341","1,1341","-0,15%"
23.06.1980,"1,1365","1,1365","1,1365","1,1365","0,21%"
24.06.1980,"1,1344","1,1344","1,1344","1,1344","-0,18%"
25.06.1980,"1,1369","1,1369","1,1369","1,1369","0,22%"
26.06.1980,"1,1353","1,1353","1,1353","1,1353","-0,14%"
27.06.1980,"1,1338","1,1338","1,1338","1,1338","-0,13%"
30.06.1980,"1,1362","1,1362","1,1362","1,1362","0,21%"
01.07.1980,"1,1358","1,1358","1,1358","1,1358","-0,04%"
02.07.1980,"1,1327","1,1327","1,1327","1,1327","-0,27%"
03.07.1980,"1,1264","1,1264","1,1264","1,1264","-0,56%"
07.07.1980,"1,1320","1,1320","1,1320","1,1320","0,50%"
08.07.1980,"1,1308","1,1308","1,1308","1,1308","-0,11%"
09.07.1980,"1,1333","1,1333","1,1333","1,1333","0,22%"
10.07.1980,"1,1349","1,1349","1,1349","1,1349","0,14%"
11.07.1980,"1,1386","1,1386","1,1386","1,1386","0,33%"
14.07.1980,"1,1384","1,1384","1,1384","1,1384","-0,02%"
15.07.1980,"1,1387","1,1387","1,1387","1,1387","0,03%"
16.07.1980,"1,1367","1,1367","1,1367","1,1367","-0,18%"
17.07.1980,"1,1366","1,1366","1,1366","1,1366","-0,01%"
18.07.1980,"1,1364","1,1364","1,1364","1,1364","-0,02%"
21.07.1980,"1,1397","1,1397","1,1397","1,1397","0,29%"
22.07.1980,"1,1375","1,1375","1,1375","1,1375","-0,19%"
23.07.1980,"1,1379","1,1379","1,1379","1,1379","0,04%"
24.07.1980,"1,1365","1,1365","1,1365","1,1365","-0,12%"
25.07.1980,"1,1400","1,1400","1,1400","1,1400","0,31%"
28.07.1980,"1,1456","1,1456","1,1456","1,1456","0,49%"
29.07.1980,"1,1430","1,1430","1,1430","1,1430","-0,23%"
30.07.1980,"1,1425","1,1425","1,1425","1,1425","-0,04%"
31.07.1980,"1,1326","1,1326","1,1326","1,1326","-0,87%"
01.08.1980,"1,1269","1,1269","1,1269","1,1269","-0,50%"
04.08.1980,"1,1295","1,1295","1,1295","1,1295","0,23%"
05.08.1980,"1,1302","1,1302","1,1302","1,1302","0,06%"
06.08.1980,"1,1315","1,1315","1,1315","1,1315","0,12%"
07.08.1980,"1,1328","1,1328","1,1328","1,1328","0,11%"
08.08.1980,"1,1306","1,1306","1,1306","1,1306","-0,19%"
11.08.1980,"1,1337","1,1337","1,1337","1,1337","0,27%"
12.08.1980,"1,1360","1,1360","1,1360","1,1360","0,20%"
13.08.1980,"1,1370","1,1370","1,1370","1,1370","0,09%"
14.08.1980,"1,1347","1,1347","1,1347","1,1347","-0,20%"
15.08.1980,"1,1347","1,1347","1,1347","1,1347","0,00%"
18.08.1980,"1,1357","1,1357","1,1357","1,1357","0,09%"
19.08.1980,"1,1361","1,1361","1,1361","1,1361","0,04%"
20.08.1980,"1,1331","1,1331","1,1331","1,1331","-0,26%"
21.08.1980,"1,1317","1,1317","1,1317","1,1317","-0,12%"
22.08.1980,"1,1305","1,1305","1,1305","1,1305","-0,11%"
26.08.1980,"1,1336","1,1336","1,1336","1,1336","0,27%"
27.08.1980,"1,1350","1,1350","1,1350","1,1350","0,12%"
28.08.1980,"1,1335","1,1335","1,1335","1,1335","-0,13%"
29.08.1980,"1,1355","1,1355","1,1355","1,1355","0,18%"
02.09.1980,"1,1341","1,1341","1,1341","1,1341","-0,12%"
03.09.1980,"1,1413","1,1413","1,1413","1,1413","0,63%"
04.09.1980,"1,1464","1,1464","1,1464","1,1464","0,45%"
05.09.1980,"1,1437","1,1437","1,1437","1,1437","-0,24%"
08.09.1980,"1,1473","1,1473","1,1473","1,1473","0,31%"
09.09.1980,"1,1457","1,1457","1,1457","1,1457","-0,14%"
10.09.1980,"1,1434","1,1434","1,1434","1,1434","-0,20%"
11.09.1980,"1,1473","1,1473","1,1473","1,1473","0,34%"
12.09.1980,"1,1454","1,1454","1,1454","1,1454","-0,17%"
15.09.1980,"1,1465","1,1465","1,1465","1,1465","0,10%"
16.09.1980,"1,1469","1,1469","1,1469","1,1469","0,03%"
17.09.1980,"1,1533","1,1533","1,1533","1,1533","0,56%"
18.09.1980,"1,1483","1,1483","1,1483","1,1483","-0,43%"
19.09.1980,"1,1459","1,1459","1,1459","1,1459","-0,21%"
22.09.1980,"1,1459","1,1459","1,1459","1,1459","0,00%"
23.09.1980,"1,1382","1,1382","1,1382","1,1382","-0,67%"
