Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"1,5225","1,5225","1,5225","1,5225","0,84%"
06.01.1982,"1,5262","1,5262","1,5262","1,5262","0,24%"
07.01.1982,"1,5397","1,5397","1,5397","1,5397","0,88%"
08.01.1982,"1,5401","1,5401","1,5401","1,5401","0,03%"
11.01.1982,"1,5592","1,5592","1,5592","1,5592","1,24%"
12.01.1982,"1,5598","1,5598","1,5598","1,5598","0,04%"
13.01.1982,"1,5620","1,5620","1,5620","1,5620","0,14%"
14.01.1982,"1,5531","1,5531","1,5531","1,5531","-0,57%"
15.01.1982,"1,5537","1,5537","1,5537","1,5537","0,04%"
18.01.1982,"1,5465","1,5465","1,5465","1,5465","-0,46%"
19.01.1982,"1,5472","1,5472","1,5472","1,5472","0,05%"
20.01.1982,"1,5574","1,5574","1,5574","1,5574","0,66%"
21.01.1982,"1,5479","1,5479","1,5479","1,5479","-0,61%"
22.01.1982,"1,5513","1,5513","1,5513","1,5513","0,22%"
25.01.1982,"1,5600","1,5600","1,5600","1,5600","0,56%"
26.01.1982,"1,5491","1,5491","1,5491","1,5491","-0,70%"
27.01.1982,"1,5503","1,5503","1,5503","1,5503","0,08%"
28.01.1982,"1,5505","1,5505","1,5505","1,5505","0,01%"
29.01.1982,"1,5505","1,5505","1,5505","1,5505","0,00%"
01.02.1982,"1,5604","1,5604","1,5604","1,5604","0,64%"
02.02.1982,"1,5605","1,5605","1,5605","1,5605","0,01%"
03.02.1982,"1,5711","1,5711","1,5711","1,5711","0,68%"
04.02.1982,"1,5579","1,5579","1,5579","1,5579","-0,84%"
05.02.1982,"1,5633","1,5633","1,5633","1,5633","0,35%"
08.02.1982,"1,5678","1,5678","1,5678","1,5678","0,29%"
09.02.1982,"1,5709","1,5709","1,5709","1,5709","0,20%"
10.02.1982,"1,5679","1,5679","1,5679","1,5679","-0,19%"
11.02.1982,"1,5683","1,5683","1,5683","1,5683","0,03%"
16.02.1982,"1,5683","1,5683","1,5683","1,5683","0,00%"
17.02.1982,"1,5716","1,5716","1,5716","1,5716","0,21%"
18.02.1982,"1,5602","1,5602","1,5602","1,5602","-0,73%"
19.02.1982,"1,5483","1,5483","1,5483","1,5483","-0,76%"
