Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"1,5587","1,5587","1,5587","1,5587","-0,33%"
28.12.1979,"1,5691","1,5691","1,5691","1,5691","0,67%"
31.12.1979,"1,5689","1,5689","1,5689","1,5689","-0,01%"
02.01.1980,"1,5563","1,5563","1,5563","1,5563","-0,80%"
03.01.1980,"1,5533","1,5533","1,5533","1,5533","-0,19%"
04.01.1980,"1,5581","1,5581","1,5581","1,5581","0,31%"
07.01.1980,"1,5578","1,5578","1,5578","1,5578","-0,02%"
08.01.1980,"1,5627","1,5627","1,5627","1,5627","0,31%"
09.01.1980,"1,5611","1,5611","1,5611","1,5611","-0,10%"
10.01.1980,"1,5590","1,5590","1,5590","1,5590","-0,13%"
11.01.1980,"1,5632","1,5632","1,5632","1,5632","0,27%"
14.01.1980,"1,5620","1,5620","1,5620","1,5620","-0,08%"
15.01.1980,"1,5735","1,5735","1,5735","1,5735","0,74%"
16.01.1980,"1,5658","1,5658","1,5658","1,5658","-0,49%"
17.01.1980,"1,5688","1,5688","1,5688","1,5688","0,19%"
18.01.1980,"1,5680","1,5680","1,5680","1,5680","-0,05%"
21.01.1980,"1,5774","1,5774","1,5774","1,5774","0,60%"
22.01.1980,"1,5853","1,5853","1,5853","1,5853","0,50%"
23.01.1980,"1,5827","1,5827","1,5827","1,5827","-0,16%"
24.01.1980,"1,5840","1,5840","1,5840","1,5840","0,08%"
25.01.1980,"1,5920","1,5920","1,5920","1,5920","0,51%"
28.01.1980,"1,5863","1,5863","1,5863","1,5863","-0,36%"
29.01.1980,"1,5861","1,5861","1,5861","1,5861","-0,01%"
30.01.1980,"1,5915","1,5915","1,5915","1,5915","0,34%"
31.01.1980,"1,6030","1,6030","1,6030","1,6030","0,72%"
01.02.1980,"1,6018","1,6018","1,6018","1,6018","-0,07%"
04.02.1980,"1,6032","1,6032","1,6032","1,6032","0,09%"
05.02.1980,"1,5969","1,5969","1,5969","1,5969","-0,39%"
06.02.1980,"1,5899","1,5899","1,5899","1,5899","-0,44%"
07.02.1980,"1,5949","1,5949","1,5949","1,5949","0,31%"
08.02.1980,"1,5981","1,5981","1,5981","1,5981","0,20%"
11.02.1980,"1,5934","1,5934","1,5934","1,5934","-0,29%"
12.02.1980,"1,5964","1,5964","1,5964","1,5964","0,19%"
13.02.1980,"1,5830","1,5830","1,5830","1,5830","-0,84%"
14.02.1980,"1,5896","1,5896","1,5896","1,5896","0,42%"
15.02.1980,"1,5975","1,5975","1,5975","1,5975","0,50%"
18.02.1980,"1,6009","1,6009","1,6009","1,6009","0,21%"
19.02.1980,"1,6052","1,6052","1,6052","1,6052","0,27%"
20.02.1980,"1,5958","1,5958","1,5958","1,5958","-0,59%"
21.02.1980,"1,6025","1,6025","1,6025","1,6025","0,42%"
22.02.1980,"1,6177","1,6177","1,6177","1,6177","0,95%"
25.02.1980,"1,6266","1,6266","1,6266","1,6266","0,55%"
26.02.1980,"1,6230","1,6230","1,6230","1,6230","-0,22%"
27.02.1980,"1,6223","1,6223","1,6223","1,6223","-0,04%"
28.02.1980,"1,6248","1,6248","1,6248","1,6248","0,15%"
29.02.1980,"1,6519","1,6519","1,6519","1,6519","1,67%"
03.03.1980,"1,6604","1,6604","1,6604","1,6604","0,51%"
04.03.1980,"1,6609","1,6609","1,6609","1,6609","0,03%"
05.03.1980,"1,6515","1,6515","1,6515","1,6515","-0,57%"
06.03.1980,"1,6522","1,6522","1,6522","1,6522","0,04%"
07.03.1980,"1,6524","1,6524","1,6524","1,6524","0,01%"
10.03.1980,"1,6629","1,6629","1,6629","1,6629","0,64%"
11.03.1980,"1,6635","1,6635","1,6635","1,6635","0,04%"
12.03.1980,"1,6659","1,6659","1,6659","1,6659","0,14%"
