Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"235,72","235,72","235,72","235,72","0,26%"
28.12.1979,"236,94","236,94","236,94","236,94","0,52%"
31.12.1979,"236,21","236,21","236,21","236,21","-0,31%"
02.01.1980,"234,87","234,87","234,87","234,87","-0,57%"
03.01.1980,"235,49","235,49","235,49","235,49","0,26%"
04.01.1980,"231,51","231,51","231,51","231,51","-1,69%"
07.01.1980,"229,23","229,23","229,23","229,23","-0,98%"
08.01.1980,"232,52","232,52","232,52","232,52","1,44%"
09.01.1980,"232,84","232,84","232,84","232,84","0,14%"
10.01.1980,"233,21","233,21","233,21","233,21","0,16%"
11.01.1980,"233,69","233,69","233,69","233,69","0,21%"
14.01.1980,"233,37","233,37","233,37","233,37","-0,14%"
15.01.1980,"236,53","236,53","236,53","236,53","1,35%"
16.01.1980,"235,01","235,01","235,01","235,01","-0,64%"
17.01.1980,"236,78","236,78","236,78","236,78","0,75%"
18.01.1980,"236,53","236,53","236,53","236,53","-0,11%"
21.01.1980,"238,11","238,11","238,11","238,11","0,67%"
22.01.1980,"236,58","236,58","236,58","236,58","-0,64%"
23.01.1980,"234,17","234,17","234,17","234,17","-1,02%"
24.01.1980,"236,12","236,12","236,12","236,12","0,83%"
25.01.1980,"236,61","236,61","236,61","236,61","0,21%"
28.01.1980,"236,14","236,14","236,14","236,14","-0,20%"
29.01.1980,"235,04","235,04","235,04","235,04","-0,47%"
30.01.1980,"235,19","235,19","235,19","235,19","0,06%"
31.01.1980,"235,38","235,38","235,38","235,38","0,08%"
01.02.1980,"236,12","236,12","236,12","236,12","0,31%"
04.02.1980,"236,08","236,08","236,08","236,08","-0,02%"
05.02.1980,"236,50","236,50","236,50","236,50","0,18%"
06.02.1980,"236,93","236,93","236,93","236,93","0,18%"
07.02.1980,"237,33","237,33","237,33","237,33","0,17%"
08.02.1980,"238,15","238,15","238,15","238,15","0,35%"
11.02.1980,"238,02","238,02","238,02","238,02","-0,05%"
13.02.1980,"237,86","237,86","237,86","237,86","-0,07%"
14.02.1980,"239,42","239,42","239,42","239,42","0,66%"
15.02.1980,"238,94","238,94","238,94","238,94","-0,20%"
19.02.1980,"240,08","240,08","240,08","240,08","0,48%"
20.02.1980,"239,90","239,90","239,90","239,90","-0,07%"
21.02.1980,"240,43","240,43","240,43","240,43","0,22%"
22.02.1980,"241,26","241,26","241,26","241,26","0,35%"
25.02.1980,"241,64","241,64","241,64","241,64","0,16%"
26.02.1980,"241,38","241,38","241,38","241,38","-0,11%"
27.02.1980,"241,62","241,62","241,62","241,62","0,10%"
28.02.1980,"241,82","241,82","241,82","241,82","0,08%"
29.02.1980,"244,10","244,10","244,10","244,10","0,94%"
03.03.1980,"240,17","240,17","240,17","240,17","-1,61%"
04.03.1980,"238,39","238,39","238,39","238,39","-0,74%"
05.03.1980,"238,73","238,73","238,73","238,73","0,14%"
06.03.1980,"238,92","238,92","238,92","238,92","0,08%"
07.03.1980,"238,43","238,43","238,43","238,43","-0,21%"
10.03.1980,"238,38","238,38","238,38","238,38","-0,02%"
11.03.1980,"237,66","237,66","237,66","237,66","-0,30%"
12.03.1980,"238,47","238,47","238,47","238,47","0,34%"
13.03.1980,"238,18","238,18","238,18","238,18","-0,12%"
14.03.1980,"238,34","238,34","238,34","238,34","0,07%"
17.03.1980,"236,33","236,33","236,33","236,33","-0,84%"
18.03.1980,"235,90","235,90","235,90","235,90","-0,18%"
19.03.1980,"235,97","235,97","235,97","235,97","0,03%"
20.03.1980,"236,27","236,27","236,27","236,27","0,13%"
21.03.1980,"236,23","236,23","236,23","236,23","-0,02%"
24.03.1980,"235,57","235,57","235,57","235,57","-0,28%"
25.03.1980,"235,87","235,87","235,87","235,87","0,13%"
26.03.1980,"236,40","236,40","236,40","236,40","0,22%"
27.03.1980,"236,08","236,08","236,08","236,08","-0,14%"
28.03.1980,"235,17","235,17","235,17","235,17","-0,39%"
31.03.1980,"235,08","235,08","235,08","235,08","-0,04%"
01.04.1980,"237,84","237,84","237,84","237,84","1,17%"
02.04.1980,"239,79","239,79","239,79","239,79","0,82%"
