Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"4,9600","4,9600","4,9600","4,9600","-0,85%"
28.12.1979,"4,9280","4,9280","4,9280","4,9280","-0,65%"
31.12.1979,"4,9275","4,9275","4,9275","4,9275","-0,01%"
02.01.1980,"4,9197","4,9197","4,9197","4,9197","-0,16%"
03.01.1980,"4,9112","4,9112","4,9112","4,9112","-0,17%"
04.01.1980,"4,9220","4,9220","4,9220","4,9220","0,22%"
07.01.1980,"4,9082","4,9082","4,9082","4,9082","-0,28%"
08.01.1980,"4,9247","4,9247","4,9247","4,9247","0,34%"
09.01.1980,"4,9145","4,9145","4,9145","4,9145","-0,21%"
10.01.1980,"4,9102","4,9102","4,9102","4,9102","-0,09%"
11.01.1980,"4,9062","4,9062","4,9062","4,9062","-0,08%"
14.01.1980,"4,9092","4,9092","4,9092","4,9092","0,06%"
15.01.1980,"4,9125","4,9125","4,9125","4,9125","0,07%"
16.01.1980,"4,9175","4,9175","4,9175","4,9175","0,10%"
17.01.1980,"4,9075","4,9075","4,9075","4,9075","-0,20%"
18.01.1980,"4,9112","4,9112","4,9112","4,9112","0,08%"
21.01.1980,"4,9170","4,9170","4,9170","4,9170","0,12%"
22.01.1980,"4,9197","4,9197","4,9197","4,9197","0,05%"
23.01.1980,"4,9212","4,9212","4,9212","4,9212","0,03%"
24.01.1980,"4,8875","4,8875","4,8875","4,8875","-0,68%"
25.01.1980,"4,8995","4,8995","4,8995","4,8995","0,25%"
28.01.1980,"4,9005","4,9005","4,9005","4,9005","0,02%"
29.01.1980,"4,9067","4,9067","4,9067","4,9067","0,13%"
30.01.1980,"4,8920","4,8920","4,8920","4,8920","-0,30%"
31.01.1980,"4,8665","4,8665","4,8665","4,8665","-0,52%"
01.02.1980,"4,8925","4,8925","4,8925","4,8925","0,53%"
04.02.1980,"4,8912","4,8912","4,8912","4,8912","-0,03%"
05.02.1980,"4,8770","4,8770","4,8770","4,8770","-0,29%"
06.02.1980,"4,8647","4,8647","4,8647","4,8647","-0,25%"
07.02.1980,"4,8650","4,8650","4,8650","4,8650","0,01%"
08.02.1980,"4,8717","4,8717","4,8717","4,8717","0,14%"
11.02.1980,"4,8687","4,8687","4,8687","4,8687","-0,06%"
12.02.1980,"4,8727","4,8727","4,8727","4,8727","0,08%"
13.02.1980,"4,8622","4,8622","4,8622","4,8622","-0,22%"
14.02.1980,"4,8573","4,8573","4,8573","4,8573","-0,10%"
15.02.1980,"4,8690","4,8690","4,8690","4,8690","0,24%"
18.02.1980,"4,8727","4,8727","4,8727","4,8727","0,08%"
19.02.1980,"4,8857","4,8857","4,8857","4,8857","0,27%"
20.02.1980,"4,8747","4,8747","4,8747","4,8747","-0,23%"
21.02.1980,"4,8732","4,8732","4,8732","4,8732","-0,03%"
22.02.1980,"4,8885","4,8885","4,8885","4,8885","0,31%"
25.02.1980,"4,9102","4,9102","4,9102","4,9102","0,44%"
26.02.1980,"4,9012","4,9012","4,9012","4,9012","-0,18%"
27.02.1980,"4,9012","4,9012","4,9012","4,9012","0,00%"
28.02.1980,"4,8872","4,8872","4,8872","4,8872","-0,29%"
29.02.1980,"4,9117","4,9117","4,9117","4,9117","0,50%"
03.03.1980,"4,9307","4,9307","4,9307","4,9307","0,39%"
04.03.1980,"4,9507","4,9507","4,9507","4,9507","0,41%"
05.03.1980,"4,9560","4,9560","4,9560","4,9560","0,11%"
06.03.1980,"4,9882","4,9882","4,9882","4,9882","0,65%"
07.03.1980,"4,9895","4,9895","4,9895","4,9895","0,03%"
10.03.1980,"5,0087","5,0087","5,0087","5,0087","0,38%"
11.03.1980,"5,0070","5,0070","5,0070","5,0070","-0,03%"
12.03.1980,"4,9952","4,9952","4,9952","4,9952","-0,24%"
13.03.1980,"5,0225","5,0225","5,0225","5,0225","0,55%"
14.03.1980,"5,0280","5,0280","5,0280","5,0280","0,11%"
17.03.1980,"5,0865","5,0865","5,0865","5,0865","1,16%"
18.03.1980,"5,0725","5,0725","5,0725","5,0725","-0,28%"
19.03.1980,"5,0617","5,0617","5,0617","5,0617","-0,21%"
20.03.1980,"5,0625","5,0625","5,0625","5,0625","0,02%"
21.03.1980,"5,0770","5,0770","5,0770","5,0770","0,29%"
24.03.1980,"5,0995","5,0995","5,0995","5,0995","0,44%"
25.03.1980,"5,0890","5,0890","5,0890","5,0890","-0,21%"
26.03.1980,"5,0810","5,0810","5,0810","5,0810","-0,16%"
27.03.1980,"5,1372","5,1372","5,1372","5,1372","1,11%"
28.03.1980,"5,1412","5,1412","5,1412","5,1412","0,08%"
31.03.1980,"5,1770","5,1770","5,1770","5,1770","0,70%"
01.04.1980,"5,2010","5,2010","5,2010","5,2010","0,46%"
02.04.1980,"5,1855","5,1855","5,1855","5,1855","-0,30%"
03.04.1980,"5,1865","5,1865","5,1865","5,1865","0,02%"
08.04.1980,"5,1845","5,1845","5,1845","5,1845","-0,04%"
09.04.1980,"5,0775","5,0775","5,0775","5,0775","-2,06%"
10.04.1980,"5,1010","5,1010","5,1010","5,1010","0,46%"
11.04.1980,"5,0775","5,0775","5,0775","5,0775","-0,46%"
14.04.1980,"5,0620","5,0620","5,0620","5,0620","-0,31%"
