Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1981,"5,0181","5,0181","5,0181","5,0181","0,75%"
06.01.1981,"5,0400","5,0400","5,0400","5,0400","0,44%"
07.01.1981,"5,0265","5,0265","5,0265","5,0265","-0,27%"
08.01.1981,"5,0000","5,0000","5,0000","5,0000","-0,53%"
09.01.1981,"5,0072","5,0072","5,0072","5,0072","0,14%"
12.01.1981,"5,0012","5,0012","5,0012","5,0012","-0,12%"
13.01.1981,"5,0000","5,0000","5,0000","5,0000","-0,02%"
14.01.1981,"5,0012","5,0012","5,0012","5,0012","0,02%"
15.01.1981,"5,0109","5,0109","5,0109","5,0109","0,19%"
16.01.1981,"4,9869","4,9869","4,9869","4,9869","-0,48%"
19.01.1981,"5,0060","5,0060","5,0060","5,0060","0,38%"
20.01.1981,"5,0012","5,0012","5,0012","5,0012","-0,10%"
21.01.1981,"5,0158","5,0158","5,0158","5,0158","0,29%"
22.01.1981,"5,0145","5,0145","5,0145","5,0145","-0,03%"
23.01.1981,"5,0120","5,0120","5,0120","5,0120","-0,05%"
26.01.1981,"5,0217","5,0217","5,0217","5,0217","0,19%"
27.01.1981,"5,0145","5,0145","5,0145","5,0145","-0,14%"
28.01.1981,"4,9989","4,9989","4,9989","4,9989","-0,31%"
29.01.1981,"4,9749","4,9749","4,9749","4,9749","-0,48%"
30.01.1981,"4,9596","4,9596","4,9596","4,9596","-0,31%"
02.02.1981,"4,8884","4,8884","4,8884","4,8884","-1,44%"
03.02.1981,"4,8576","4,8576","4,8576","4,8576","-0,63%"
04.02.1981,"4,8717","4,8717","4,8717","4,8717","0,29%"
05.02.1981,"4,8628","4,8628","4,8628","4,8628","-0,18%"
06.02.1981,"4,8415","4,8415","4,8415","4,8415","-0,44%"
09.02.1981,"4,8538","4,8538","4,8538","4,8538","0,25%"
10.02.1981,"4,8643","4,8643","4,8643","4,8643","0,22%"
11.02.1981,"4,8495","4,8495","4,8495","4,8495","-0,30%"
13.02.1981,"4,7963","4,7963","4,7963","4,7963","-1,10%"
17.02.1981,"4,7454","4,7454","4,7454","4,7454","-1,06%"
18.02.1981,"4,7757","4,7757","4,7757","4,7757","0,64%"
19.02.1981,"4,7643","4,7643","4,7643","4,7643","-0,24%"
20.02.1981,"4,8476","4,8476","4,8476","4,8476","1,75%"
23.02.1981,"4,7233","4,7233","4,7233","4,7233","-2,56%"
24.02.1981,"4,6776","4,6776","4,6776","4,6776","-0,97%"
25.02.1981,"4,6748","4,6748","4,6748","4,6748","-0,06%"
26.02.1981,"4,6682","4,6682","4,6682","4,6682","-0,14%"
27.02.1981,"4,6331","4,6331","4,6331","4,6331","-0,75%"
02.03.1981,"4,5986","4,5986","4,5986","4,5986","-0,74%"
03.03.1981,"4,6395","4,6395","4,6395","4,6395","0,89%"
04.03.1981,"4,6276","4,6276","4,6276","4,6276","-0,26%"
05.03.1981,"4,6467","4,6467","4,6467","4,6467","0,41%"
06.03.1981,"4,6261","4,6261","4,6261","4,6261","-0,44%"
09.03.1981,"4,6559","4,6559","4,6559","4,6559","0,64%"
10.03.1981,"4,6544","4,6544","4,6544","4,6544","-0,03%"
11.03.1981,"4,6616","4,6616","4,6616","4,6616","0,15%"
12.03.1981,"4,6839","4,6839","4,6839","4,6839","0,48%"
13.03.1981,"4,6768","4,6768","4,6768","4,6768","-0,15%"
16.03.1981,"4,7075","4,7075","4,7075","4,7075","0,66%"
17.03.1981,"4,7319","4,7319","4,7319","4,7319","0,52%"
18.03.1981,"4,7295","4,7295","4,7295","4,7295","-0,05%"
19.03.1981,"4,7528","4,7528","4,7528","4,7528","0,49%"
20.03.1981,"4,7412","4,7412","4,7412","4,7412","-0,24%"
23.03.1981,"4,7243","4,7243","4,7243","4,7243","-0,36%"
24.03.1981,"4,7487","4,7487","4,7487","4,7487","0,52%"
25.03.1981,"4,7244","4,7244","4,7244","4,7244","-0,51%"
26.03.1981,"4,7334","4,7334","4,7334","4,7334","0,19%"
27.03.1981,"4,6623","4,6623","4,6623","4,6623","-1,50%"
30.03.1981,"4,6677","4,6677","4,6677","4,6677","0,12%"
31.03.1981,"4,6884","4,6884","4,6884","4,6884","0,44%"
01.04.1981,"4,6839","4,6839","4,6839","4,6839","-0,10%"
02.04.1981,"4,6749","4,6749","4,6749","4,6749","-0,19%"
03.04.1981,"4,6187","4,6187","4,6187","4,6187","-1,20%"
06.04.1981,"4,5670","4,5670","4,5670","4,5670","-1,12%"
07.04.1981,"4,5949","4,5949","4,5949","4,5949","0,61%"
08.04.1981,"4,6473","4,6473","4,6473","4,6473","1,14%"
09.04.1981,"4,5982","4,5982","4,5982","4,5982","-1,06%"
10.04.1981,"4,5967","4,5967","4,5967","4,5967","-0,03%"
13.04.1981,"4,5604","4,5604","4,5604","4,5604","-0,79%"
14.04.1981,"4,6037","4,6037","4,6037","4,6037","0,95%"
15.04.1981,"4,5760","4,5760","4,5760","4,5760","-0,60%"
16.04.1981,"4,5461","4,5461","4,5461","4,5461","-0,65%"
21.04.1981,"4,5866","4,5866","4,5866","4,5866","0,89%"
22.04.1981,"4,6240","4,6240","4,6240","4,6240","0,82%"
23.04.1981,"4,6288","4,6288","4,6288","4,6288","0,10%"
24.04.1981,"4,5998","4,5998","4,5998","4,5998","-0,63%"
27.04.1981,"4,5733","4,5733","4,5733","4,5733","-0,58%"
28.04.1981,"4,5521","4,5521","4,5521","4,5521","-0,46%"
29.04.1981,"4,5506","4,5506","4,5506","4,5506","-0,03%"
30.04.1981,"4,5474","4,5474","4,5474","4,5474","-0,07%"
01.05.1981,"4,5511","4,5511","4,5511","4,5511","0,08%"
05.05.1981,"4,5158","4,5158","4,5158","4,5158","-0,78%"
06.05.1981,"4,5259","4,5259","4,5259","4,5259","0,22%"
07.05.1981,"4,5266","4,5266","4,5266","4,5266","0,02%"
08.05.1981,"4,5102","4,5102","4,5102","4,5102","-0,36%"
11.05.1981,"4,5155","4,5155","4,5155","4,5155","0,12%"
12.05.1981,"4,5072","4,5072","4,5072","4,5072","-0,18%"
13.05.1981,"4,4913","4,4913","4,4913","4,4913","-0,35%"
14.05.1981,"4,4701","4,4701","4,4701","4,4701","-0,47%"
15.05.1981,"4,4835","4,4835","4,4835","4,4835","0,30%"
18.05.1981,"4,5109","4,5109","4,5109","4,5109","0,61%"
19.05.1981,"4,4999","4,4999","4,4999","4,4999","-0,24%"
20.05.1981,"4,4643","4,4643","4,4643","4,4643","-0,79%"
21.05.1981,"4,4602","4,4602","4,4602","4,4602","-0,09%"
22.05.1981,"4,4731","4,4731","4,4731","4,4731","0,29%"
26.05.1981,"4,4743","4,4743","4,4743","4,4743","0,03%"
27.05.1981,"4,4505","4,4505","4,4505","4,4505","-0,53%"
28.05.1981,"4,4623","4,4623","4,4623","4,4623","0,27%"
29.05.1981,"4,4638","4,4638","4,4638","4,4638","0,03%"
01.06.1981,"4,4394","4,4394","4,4394","4,4394","-0,55%"
02.06.1981,"4,3974","4,3974","4,3974","4,3974","-0,95%"
03.06.1981,"4,3450","4,3450","4,3450","4,3450","-1,19%"
04.06.1981,"4,2358","4,2358","4,2358","4,2358","-2,51%"
05.06.1981,"4,1555","4,1555","4,1555","4,1555","-1,90%"
08.06.1981,"4,1984","4,1984","4,1984","4,1984","1,03%"
09.06.1981,"4,2055","4,2055","4,2055","4,2055","0,17%"
10.06.1981,"4,2335","4,2335","4,2335","4,2335","0,67%"
11.06.1981,"4,2083","4,2083","4,2083","4,2083","-0,60%"
12.06.1981,"4,2131","4,2131","4,2131","4,2131","0,11%"
15.06.1981,"4,2432","4,2432","4,2432","4,2432","0,71%"
16.06.1981,"4,2452","4,2452","4,2452","4,2452","0,05%"
17.06.1981,"4,2611","4,2611","4,2611","4,2611","0,37%"
18.06.1981,"4,2118","4,2118","4,2118","4,2118","-1,16%"
19.06.1981,"4,1834","4,1834","4,1834","4,1834","-0,67%"
