Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"6,2783","6,2783","6,2783","6,2783","0,39%"
28.12.1979,"6,2565","6,2565","6,2565","6,2565","-0,35%"
31.12.1979,"6,2609","6,2609","6,2609","6,2609","0,07%"
02.01.1980,"6,2732","6,2732","6,2732","6,2732","0,20%"
03.01.1980,"6,2616","6,2616","6,2616","6,2616","-0,18%"
04.01.1980,"6,2687","6,2687","6,2687","6,2687","0,11%"
07.01.1980,"6,2617","6,2617","6,2617","6,2617","-0,11%"
08.01.1980,"6,2633","6,2633","6,2633","6,2633","0,03%"
09.01.1980,"6,2663","6,2663","6,2663","6,2663","0,05%"
10.01.1980,"6,2608","6,2608","6,2608","6,2608","-0,09%"
11.01.1980,"6,2505","6,2505","6,2505","6,2505","-0,16%"
14.01.1980,"6,2531","6,2531","6,2531","6,2531","0,04%"
15.01.1980,"6,2340","6,2340","6,2340","6,2340","-0,31%"
16.01.1980,"6,2507","6,2507","6,2507","6,2507","0,27%"
17.01.1980,"6,2455","6,2455","6,2455","6,2455","-0,08%"
18.01.1980,"6,2552","6,2552","6,2552","6,2552","0,16%"
21.01.1980,"6,2443","6,2443","6,2443","6,2443","-0,17%"
22.01.1980,"6,2380","6,2380","6,2380","6,2380","-0,10%"
23.01.1980,"6,2496","6,2496","6,2496","6,2496","0,19%"
24.01.1980,"6,2448","6,2448","6,2448","6,2448","-0,08%"
25.01.1980,"6,2300","6,2300","6,2300","6,2300","-0,24%"
28.01.1980,"6,2393","6,2393","6,2393","6,2393","0,15%"
29.01.1980,"6,2413","6,2413","6,2413","6,2413","0,03%"
30.01.1980,"6,2379","6,2379","6,2379","6,2379","-0,05%"
31.01.1980,"6,2264","6,2264","6,2264","6,2264","-0,18%"
01.02.1980,"6,2103","6,2103","6,2103","6,2103","-0,26%"
04.02.1980,"6,2199","6,2199","6,2199","6,2199","0,15%"
05.02.1980,"6,2166","6,2166","6,2166","6,2166","-0,05%"
06.02.1980,"6,2191","6,2191","6,2191","6,2191","0,04%"
07.02.1980,"6,2105","6,2105","6,2105","6,2105","-0,14%"
08.02.1980,"6,2034","6,2034","6,2034","6,2034","-0,11%"
11.02.1980,"6,2140","6,2140","6,2140","6,2140","0,17%"
12.02.1980,"6,2209","6,2209","6,2209","6,2209","0,11%"
13.02.1980,"6,2240","6,2240","6,2240","6,2240","0,05%"
14.02.1980,"6,2254","6,2254","6,2254","6,2254","0,02%"
15.02.1980,"6,2218","6,2218","6,2218","6,2218","-0,06%"
18.02.1980,"6,2269","6,2269","6,2269","6,2269","0,08%"
19.02.1980,"6,2255","6,2255","6,2255","6,2255","-0,02%"
20.02.1980,"6,2215","6,2215","6,2215","6,2215","-0,06%"
21.02.1980,"6,2141","6,2141","6,2141","6,2141","-0,12%"
22.02.1980,"6,2055","6,2055","6,2055","6,2055","-0,14%"
25.02.1980,"6,2073","6,2073","6,2073","6,2073","0,03%"
26.02.1980,"6,2125","6,2125","6,2125","6,2125","0,08%"
27.02.1980,"6,2073","6,2073","6,2073","6,2073","-0,08%"
28.02.1980,"6,2070","6,2070","6,2070","6,2070","-0,00%"
29.02.1980,"6,1902","6,1902","6,1902","6,1902","-0,27%"
03.03.1980,"6,1953","6,1953","6,1953","6,1953","0,08%"
04.03.1980,"6,1999","6,1999","6,1999","6,1999","0,07%"
05.03.1980,"6,1960","6,1960","6,1960","6,1960","-0,06%"
06.03.1980,"6,1946","6,1946","6,1946","6,1946","-0,02%"
07.03.1980,"6,2112","6,2112","6,2112","6,2112","0,27%"
10.03.1980,"6,1922","6,1922","6,1922","6,1922","-0,31%"
11.03.1980,"6,1736","6,1736","6,1736","6,1736","-0,30%"
12.03.1980,"6,1811","6,1811","6,1811","6,1811","0,12%"
13.03.1980,"6,1676","6,1676","6,1676","6,1676","-0,22%"
14.03.1980,"6,1540","6,1540","6,1540","6,1540","-0,22%"
17.03.1980,"6,1258","6,1258","6,1258","6,1258","-0,46%"
18.03.1980,"6,1203","6,1203","6,1203","6,1203","-0,09%"
19.03.1980,"6,1185","6,1185","6,1185","6,1185","-0,03%"
20.03.1980,"6,1246","6,1246","6,1246","6,1246","0,10%"
21.03.1980,"6,1128","6,1128","6,1128","6,1128","-0,19%"
24.03.1980,"6,1108","6,1108","6,1108","6,1108","-0,03%"
25.03.1980,"6,0754","6,0754","6,0754","6,0754","-0,58%"
26.03.1980,"6,0865","6,0865","6,0865","6,0865","0,18%"
27.03.1980,"6,0783","6,0783","6,0783","6,0783","-0,13%"
28.03.1980,"6,0659","6,0659","6,0659","6,0659","-0,20%"
31.03.1980,"6,0420","6,0420","6,0420","6,0420","-0,39%"
01.04.1980,"6,0012","6,0012","6,0012","6,0012","-0,68%"
02.04.1980,"6,0422","6,0422","6,0422","6,0422","0,68%"
03.04.1980,"6,0419","6,0419","6,0419","6,0419","-0,00%"
08.04.1980,"6,0440","6,0440","6,0440","6,0440","0,03%"
09.04.1980,"6,0530","6,0530","6,0530","6,0530","0,15%"
10.04.1980,"6,0777","6,0777","6,0777","6,0777","0,41%"
11.04.1980,"6,0880","6,0880","6,0880","6,0880","0,17%"
14.04.1980,"6,1098","6,1098","6,1098","6,1098","0,36%"
15.04.1980,"6,0761","6,0761","6,0761","6,0761","-0,55%"
16.04.1980,"6,1346","6,1346","6,1346","6,1346","0,96%"
17.04.1980,"6,0871","6,0871","6,0871","6,0871","-0,77%"
18.04.1980,"6,1233","6,1233","6,1233","6,1233","0,59%"
21.04.1980,"6,1115","6,1115","6,1115","6,1115","-0,19%"
22.04.1980,"6,1140","6,1140","6,1140","6,1140","0,04%"
23.04.1980,"6,1338","6,1338","6,1338","6,1338","0,32%"
24.04.1980,"6,1408","6,1408","6,1408","6,1408","0,11%"
25.04.1980,"6,1309","6,1309","6,1309","6,1309","-0,16%"
28.04.1980,"6,1401","6,1401","6,1401","6,1401","0,15%"
29.04.1980,"6,1011","6,1011","6,1011","6,1011","-0,64%"
30.04.1980,"6,0842","6,0842","6,0842","6,0842","-0,28%"
01.05.1980,"6,0750","6,0750","6,0750","6,0750","-0,15%"
02.05.1980,"6,0853","6,0853","6,0853","6,0853","0,17%"
06.05.1980,"6,1046","6,1046","6,1046","6,1046","0,32%"
07.05.1980,"6,1240","6,1240","6,1240","6,1240","0,32%"
08.05.1980,"6,1077","6,1077","6,1077","6,1077","-0,27%"
09.05.1980,"6,0687","6,0687","6,0687","6,0687","-0,64%"
12.05.1980,"6,1285","6,1285","6,1285","6,1285","0,99%"
13.05.1980,"6,1034","6,1034","6,1034","6,1034","-0,41%"
14.05.1980,"6,1169","6,1169","6,1169","6,1169","0,22%"
15.05.1980,"6,1176","6,1176","6,1176","6,1176","0,01%"
16.05.1980,"6,1121","6,1121","6,1121","6,1121","-0,09%"
19.05.1980,"6,1116","6,1116","6,1116","6,1116","-0,01%"
20.05.1980,"6,1141","6,1141","6,1141","6,1141","0,04%"
21.05.1980,"6,1178","6,1178","6,1178","6,1178","0,06%"
22.05.1980,"6,1187","6,1187","6,1187","6,1187","0,01%"
23.05.1980,"6,1062","6,1062","6,1062","6,1062","-0,20%"
27.05.1980,"6,1227","6,1227","6,1227","6,1227","0,27%"
28.05.1980,"6,1316","6,1316","6,1316","6,1316","0,15%"
29.05.1980,"6,1328","6,1328","6,1328","6,1328","0,02%"
30.05.1980,"6,1286","6,1286","6,1286","6,1286","-0,07%"
02.06.1980,"6,1275","6,1275","6,1275","6,1275","-0,02%"
03.06.1980,"6,1417","6,1417","6,1417","6,1417","0,23%"
04.06.1980,"6,1507","6,1507","6,1507","6,1507","0,15%"
05.06.1980,"6,1257","6,1257","6,1257","6,1257","-0,41%"
06.06.1980,"6,1228","6,1228","6,1228","6,1228","-0,05%"
