Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"0,0053","0,0053","0,0053","0,0053","0,00%"
28.12.1979,"0,0053","0,0053","0,0053","0,0053","0,00%"
31.12.1979,"0,0053","0,0053","0,0053","0,0053","0,00%"
02.01.1980,"0,0053","0,0053","0,0053","0,0053","0,00%"
03.01.1980,"0,0055","0,0055","0,0055","0,0055","3,77%"
04.01.1980,"0,0054","0,0054","0,0054","0,0054","-1,82%"
07.01.1980,"0,0055","0,0055","0,0055","0,0055","1,85%"
08.01.1980,"0,0054","0,0054","0,0054","0,0054","-1,82%"
09.01.1980,"0,0055","0,0055","0,0055","0,0055","1,85%"
10.01.1980,"0,0054","0,0054","0,0054","0,0054","-1,82%"
11.01.1980,"0,0054","0,0054","0,0054","0,0054","0,00%"
14.01.1980,"0,0054","0,0054","0,0054","0,0054","0,00%"
15.01.1980,"0,0054","0,0054","0,0054","0,0054","0,00%"
16.01.1980,"0,0054","0,0054","0,0054","0,0054","0,00%"
17.01.1980,"0,0054","0,0054","0,0054","0,0054","0,00%"
18.01.1980,"0,0056","0,0056","0,0056","0,0056","3,70%"
21.01.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
22.01.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
23.01.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
24.01.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
25.01.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
28.01.1980,"0,0055","0,0055","0,0055","0,0055","-1,79%"
29.01.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
30.01.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
31.01.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
01.02.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
04.02.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
05.02.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
06.02.1980,"0,0055","0,0055","0,0055","0,0055","0,00%"
07.02.1980,"0,0057","0,0057","0,0057","0,0057","3,64%"
08.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
11.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
12.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
13.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
14.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
15.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
18.02.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
19.02.1980,"0,0058","0,0058","0,0058","0,0058","1,75%"
20.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
21.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
22.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
25.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
26.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
27.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
28.02.1980,"0,0058","0,0058","0,0058","0,0058","0,00%"
29.02.1980,"0,0057","0,0057","0,0057","0,0057","-1,72%"
04.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
05.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
06.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
07.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
10.03.1980,"0,0056","0,0056","0,0056","0,0056","-1,75%"
11.03.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
12.03.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
13.03.1980,"0,0057","0,0057","0,0057","0,0057","1,79%"
14.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
17.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
18.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
19.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
20.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
21.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
24.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
25.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
26.03.1980,"0,0057","0,0057","0,0057","0,0057","0,00%"
27.03.1980,"0,0056","0,0056","0,0056","0,0056","-1,75%"
28.03.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
31.03.1980,"0,0055","0,0055","0,0055","0,0055","-1,79%"
02.04.1980,"0,0057","0,0057","0,0057","0,0057","3,64%"
03.04.1980,"0,0056","0,0056","0,0056","0,0056","-1,75%"
08.04.1980,"0,0056","0,0056","0,0056","0,0056","0,00%"
09.04.1980,"0,0058","0,0058","0,0058","0,0058","3,57%"
10.04.1980,"0,0059","0,0059","0,0059","0,0059","1,72%"
