Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"0,0078","0,0078","0,0078","0,0078","1,30%"
28.12.1979,"0,0078","0,0078","0,0078","0,0078","0,00%"
31.12.1979,"0,0078","0,0078","0,0078","0,0078","0,00%"
02.01.1980,"0,0078","0,0078","0,0078","0,0078","0,00%"
03.01.1980,"0,0081","0,0081","0,0081","0,0081","3,85%"
04.01.1980,"0,0081","0,0081","0,0081","0,0081","0,00%"
07.01.1980,"0,0081","0,0081","0,0081","0,0081","0,00%"
08.01.1980,"0,0081","0,0081","0,0081","0,0081","0,00%"
09.01.1980,"0,0082","0,0082","0,0082","0,0082","1,23%"
10.01.1980,"0,0081","0,0081","0,0081","0,0081","-1,22%"
11.01.1980,"0,0081","0,0081","0,0081","0,0081","0,00%"
14.01.1980,"0,0082","0,0082","0,0082","0,0082","1,23%"
15.01.1980,"0,0082","0,0082","0,0082","0,0082","0,00%"
16.01.1980,"0,0082","0,0082","0,0082","0,0082","0,00%"
17.01.1980,"0,0082","0,0082","0,0082","0,0082","0,00%"
18.01.1980,"0,0084","0,0084","0,0084","0,0084","2,44%"
21.01.1980,"0,0085","0,0085","0,0085","0,0085","1,19%"
22.01.1980,"0,0084","0,0084","0,0084","0,0084","-1,18%"
23.01.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
24.01.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
25.01.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
28.01.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
29.01.1980,"0,0083","0,0083","0,0083","0,0083","-1,19%"
30.01.1980,"0,0084","0,0084","0,0084","0,0084","1,20%"
31.01.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
01.02.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
04.02.1980,"0,0084","0,0084","0,0084","0,0084","0,00%"
05.02.1980,"0,0085","0,0085","0,0085","0,0085","1,19%"
06.02.1980,"0,0085","0,0085","0,0085","0,0085","0,00%"
07.02.1980,"0,0087","0,0087","0,0087","0,0087","2,35%"
08.02.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
11.02.1980,"0,0088","0,0088","0,0088","0,0088","1,15%"
12.02.1980,"0,0087","0,0087","0,0087","0,0087","-1,14%"
13.02.1980,"0,0088","0,0088","0,0088","0,0088","1,15%"
14.02.1980,"0,0088","0,0088","0,0088","0,0088","0,00%"
15.02.1980,"0,0087","0,0087","0,0087","0,0087","-1,14%"
18.02.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
19.02.1980,"0,0089","0,0089","0,0089","0,0089","2,30%"
20.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
21.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
22.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
25.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
26.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
27.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
28.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
29.02.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
04.03.1980,"0,0087","0,0087","0,0087","0,0087","-2,25%"
05.03.1980,"0,0088","0,0088","0,0088","0,0088","1,15%"
06.03.1980,"0,0087","0,0087","0,0087","0,0087","-1,14%"
07.03.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
10.03.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
11.03.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
12.03.1980,"0,0087","0,0087","0,0087","0,0087","0,00%"
13.03.1980,"0,0089","0,0089","0,0089","0,0089","2,30%"
14.03.1980,"0,0088","0,0088","0,0088","0,0088","-1,12%"
17.03.1980,"0,0090","0,0090","0,0090","0,0090","2,27%"
18.03.1980,"0,0090","0,0090","0,0090","0,0090","0,00%"
19.03.1980,"0,0090","0,0090","0,0090","0,0090","0,00%"
20.03.1980,"0,0090","0,0090","0,0090","0,0090","0,00%"
21.03.1980,"0,0089","0,0089","0,0089","0,0089","-1,11%"
24.03.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
25.03.1980,"0,0090","0,0090","0,0090","0,0090","1,12%"
26.03.1980,"0,0090","0,0090","0,0090","0,0090","0,00%"
27.03.1980,"0,0089","0,0089","0,0089","0,0089","-1,11%"
28.03.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
31.03.1980,"0,0089","0,0089","0,0089","0,0089","0,00%"
02.04.1980,"0,0091","0,0091","0,0091","0,0091","2,25%"
03.04.1980,"0,0090","0,0090","0,0090","0,0090","-1,10%"
08.04.1980,"0,0091","0,0091","0,0091","0,0091","1,11%"
09.04.1980,"0,0091","0,0091","0,0091","0,0091","0,00%"
10.04.1980,"0,0094","0,0094","0,0094","0,0094","3,30%"
11.04.1980,"0,0094","0,0094","0,0094","0,0094","0,00%"
14.04.1980,"0,0095","0,0095","0,0095","0,0095","1,06%"
15.04.1980,"0,0094","0,0094","0,0094","0,0094","-1,05%"
16.04.1980,"0,0095","0,0095","0,0095","0,0095","1,06%"
17.04.1980,"0,0096","0,0096","0,0096","0,0096","1,05%"
18.04.1980,"0,0096","0,0096","0,0096","0,0096","0,00%"
22.04.1980,"0,0096","0,0096","0,0096","0,0096","0,00%"
23.04.1980,"0,0097","0,0097","0,0097","0,0097","1,04%"
24.04.1980,"0,0097","0,0097","0,0097","0,0097","0,00%"
25.04.1980,"0,0098","0,0098","0,0098","0,0098","1,03%"
28.04.1980,"0,0098","0,0098","0,0098","0,0098","0,00%"
29.04.1980,"0,0098","0,0098","0,0098","0,0098","0,00%"
30.04.1980,"0,0097","0,0097","0,0097","0,0097","-1,02%"
01.05.1980,"0,0097","0,0097","0,0097","0,0097","0,00%"
02.05.1980,"0,0097","0,0097","0,0097","0,0097","0,00%"
06.05.1980,"0,0101","0,0101","0,0101","0,0101","4,12%"
07.05.1980,"0,0100","0,0100","0,0100","0,0100","-0,99%"
08.05.1980,"0,0100","0,0100","0,0100","0,0100","0,00%"
09.05.1980,"0,0100","0,0100","0,0100","0,0100","0,00%"
12.05.1980,"0,0100","0,0100","0,0100","0,0100","0,00%"
13.05.1980,"0,0100","0,0100","0,0100","0,0100","0,00%"
14.05.1980,"0,0101","0,0101","0,0101","0,0101","1,00%"
15.05.1980,"0,0104","0,0104","0,0104","0,0104","2,97%"
16.05.1980,"0,0103","0,0103","0,0103","0,0103","-0,96%"
19.05.1980,"0,0105","0,0105","0,0105","0,0105","1,94%"
20.05.1980,"0,0103","0,0103","0,0103","0,0103","-1,90%"
22.05.1980,"0,0105","0,0105","0,0105","0,0105","1,94%"
23.05.1980,"0,0108","0,0108","0,0108","0,0108","2,86%"
27.05.1980,"0,0109","0,0109","0,0109","0,0109","0,93%"
28.05.1980,"0,0108","0,0108","0,0108","0,0108","-0,92%"
29.05.1980,"0,0108","0,0108","0,0108","0,0108","0,00%"
30.05.1980,"0,0108","0,0108","0,0108","0,0108","0,00%"
02.06.1980,"0,0108","0,0108","0,0108","0,0108","0,00%"
03.06.1980,"0,0106","0,0106","0,0106","0,0106","-1,85%"
04.06.1980,"0,0107","0,0107","0,0107","0,0107","0,94%"
05.06.1980,"0,0107","0,0107","0,0107","0,0107","0,00%"
06.06.1980,"0,0110","0,0110","0,0110","0,0110","2,80%"
09.06.1980,"0,0110","0,0110","0,0110","0,0110","0,00%"
10.06.1980,"0,0110","0,0110","0,0110","0,0110","0,00%"
11.06.1980,"0,0110","0,0110","0,0110","0,0110","0,00%"
12.06.1980,"0,0112","0,0112","0,0112","0,0112","1,82%"
13.06.1980,"0,0110","0,0110","0,0110","0,0110","-1,79%"
16.06.1980,"0,0113","0,0113","0,0113","0,0113","2,73%"
17.06.1980,"0,0112","0,0112","0,0112","0,0112","-0,88%"
18.06.1980,"0,0112","0,0112","0,0112","0,0112","0,00%"
19.06.1980,"0,0112","0,0112","0,0112","0,0112","0,00%"
20.06.1980,"0,0112","0,0112","0,0112","0,0112","0,00%"
23.06.1980,"0,0115","0,0115","0,0115","0,0115","2,68%"
24.06.1980,"0,0114","0,0114","0,0114","0,0114","-0,87%"
25.06.1980,"0,0114","0,0114","0,0114","0,0114","0,00%"
26.06.1980,"0,0115","0,0115","0,0115","0,0115","0,88%"
27.06.1980,"0,0115","0,0115","0,0115","0,0115","0,00%"
30.06.1980,"0,0115","0,0115","0,0115","0,0115","0,00%"
01.07.1980,"0,0116","0,0116","0,0116","0,0116","0,87%"
02.07.1980,"0,0116","0,0116","0,0116","0,0116","0,00%"
03.07.1980,"0,0117","0,0117","0,0117","0,0117","0,86%"
04.07.1980,"0,0118","0,0118","0,0118","0,0118","0,85%"
07.07.1980,"0,0119","0,0119","0,0119","0,0119","0,85%"
08.07.1980,"0,0120","0,0120","0,0120","0,0120","0,84%"
09.07.1980,"0,0120","0,0120","0,0120","0,0120","0,00%"
10.07.1980,"0,0120","0,0120","0,0120","0,0120","0,00%"
11.07.1980,"0,0121","0,0121","0,0121","0,0121","0,83%"
14.07.1980,"0,0121","0,0121","0,0121","0,0121","0,00%"
15.07.1980,"0,0121","0,0121","0,0121","0,0121","0,00%"
16.07.1980,"0,0121","0,0121","0,0121","0,0121","0,00%"
17.07.1980,"0,0122","0,0122","0,0122","0,0122","0,83%"
18.07.1980,"0,0123","0,0123","0,0123","0,0123","0,82%"
21.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
23.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
24.07.1980,"0,0124","0,0124","0,0124","0,0124","0,81%"
25.07.1980,"0,0123","0,0123","0,0123","0,0123","-0,81%"
28.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
29.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
30.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
31.07.1980,"0,0123","0,0123","0,0123","0,0123","0,00%"
01.08.1980,"0,0122","0,0122","0,0122","0,0122","-0,81%"
04.08.1980,"0,0123","0,0123","0,0123","0,0123","0,82%"
05.08.1980,"0,0124","0,0124","0,0124","0,0124","0,81%"
06.08.1980,"0,0125","0,0125","0,0125","0,0125","0,81%"
07.08.1980,"0,0126","0,0126","0,0126","0,0126","0,80%"
08.08.1980,"0,0126","0,0126","0,0126","0,0126","0,00%"
11.08.1980,"0,0126","0,0126","0,0126","0,0126","0,00%"
12.08.1980,"0,0126","0,0126","0,0126","0,0126","0,00%"
13.08.1980,"0,0127","0,0127","0,0127","0,0127","0,79%"
14.08.1980,"0,0127","0,0127","0,0127","0,0127","0,00%"
15.08.1980,"0,0127","0,0127","0,0127","0,0127","0,00%"
18.08.1980,"0,0127","0,0127","0,0127","0,0127","0,00%"
19.08.1980,"0,0128","0,0128","0,0128","0,0128","0,79%"
20.08.1980,"0,0130","0,0130","0,0130","0,0130","1,56%"
21.08.1980,"0,0130","0,0130","0,0130","0,0130","0,00%"
22.08.1980,"0,0131","0,0131","0,0131","0,0131","0,77%"
26.08.1980,"0,0132","0,0132","0,0132","0,0132","0,76%"
27.08.1980,"0,0134","0,0134","0,0134","0,0134","1,52%"
28.08.1980,"0,0133","0,0133","0,0133","0,0133","-0,75%"
29.08.1980,"0,0134","0,0134","0,0134","0,0134","0,75%"
01.09.1980,"0,0135","0,0135","0,0135","0,0135","0,75%"
02.09.1980,"0,0135","0,0135","0,0135","0,0135","0,00%"
03.09.1980,"0,0135","0,0135","0,0135","0,0135","0,00%"
04.09.1980,"0,0135","0,0135","0,0135","0,0135","0,00%"
05.09.1980,"0,0135","0,0135","0,0135","0,0135","0,00%"
08.09.1980,"0,0137","0,0137","0,0137","0,0137","1,48%"
09.09.1980,"0,0136","0,0136","0,0136","0,0136","-0,73%"
10.09.1980,"0,0137","0,0137","0,0137","0,0137","0,74%"
15.09.1980,"0,0137","0,0137","0,0137","0,0137","0,00%"
16.09.1980,"0,0137","0,0137","0,0137","0,0137","0,00%"
17.09.1980,"0,0138","0,0138","0,0138","0,0138","0,73%"
18.09.1980,"0,0138","0,0138","0,0138","0,0138","0,00%"
19.09.1980,"0,0139","0,0139","0,0139","0,0139","0,72%"
22.09.1980,"0,0140","0,0140","0,0140","0,0140","0,72%"
23.09.1980,"0,0141","0,0141","0,0141","0,0141","0,71%"
24.09.1980,"0,0141","0,0141","0,0141","0,0141","0,00%"
26.09.1980,"0,0141","0,0141","0,0141","0,0141","0,00%"
29.09.1980,"0,0141","0,0141","0,0141","0,0141","0,00%"
03.10.1980,"0,0142","0,0142","0,0142","0,0142","0,71%"
06.10.1980,"0,0142","0,0142","0,0142","0,0142","0,00%"
