Data,Último,Abertura,Máxima,Mínima,Variação
19.02.1988,"2,0860","2,0860","2,0947","2,0773","0,29%"
22.02.1988,"2,0752","2,0752","2,0899","2,0752","-0,52%"
23.02.1988,"2,0843","2,0843","2,0843","2,0722","0,44%"
24.02.1988,"2,0860","2,0860","2,0904","2,0760","0,08%"
25.02.1988,"2,0882","2,0882","2,1044","2,0882","0,11%"
26.02.1988,"2,0864","2,0864","2,0899","2,0851","-0,09%"
29.02.1988,"2,0934","2,0934","2,0991","2,0882","0,34%"
01.03.1988,"2,1066","2,1066","2,1111","2,0908","0,63%"
02.03.1988,"2,1264","2,1264","2,1264","2,1035","0,94%"
03.03.1988,"2,1386","2,1386","2,1446","2,1205","0,57%"
04.03.1988,"2,1455","2,1455","2,1599","2,1304","0,32%"
07.03.1988,"2,1487","2,1487","2,1562","2,1428","0,15%"
09.03.1988,"2,1395","2,1395","2,1543","2,1327","-0,43%"
10.03.1988,"2,1196","2,1196","2,1478","2,1165","-0,93%"
11.03.1988,"2,1102","2,1102","2,1196","2,1000","-0,44%"
14.03.1988,"2,1165","2,1165","2,1173","2,1120","0,30%"
15.03.1988,"2,1327","2,1327","2,1345","2,1205","0,77%"
16.03.1988,"2,1273","2,1273","2,1441","2,1156","-0,25%"
17.03.1988,"2,1492","2,1492","2,1557","2,1205","1,03%"
18.03.1988,"2,1428","2,1428","2,1562","2,1304","-0,30%"
21.03.1988,"2,1405","2,1405","2,1460","2,1386","-0,11%"
22.03.1988,"2,1350","2,1350","2,1497","2,1304","-0,26%"
23.03.1988,"2,1441","2,1441","2,1497","2,1386","0,43%"
24.03.1988,"2,1336","2,1336","2,1386","2,1327","-0,49%"
25.03.1988,"2,1386","2,1386","2,1428","2,1309","0,23%"
28.03.1988,"2,1196","2,1196","2,1373","2,1196","-0,89%"
29.03.1988,"2,1142","2,1142","2,1295","2,1102","-0,25%"
30.03.1988,"2,1273","2,1273","2,1359","2,1173","0,62%"
31.03.1988,"2,1187","2,1187","2,1291","2,1169","-0,40%"
05.04.1988,"2,1250","2,1250","2,1254","2,1205","0,30%"
07.04.1988,"2,1428","2,1428","2,1492","2,1405","0,84%"
08.04.1988,"2,1363","2,1363","2,1497","2,1345","-0,30%"
