Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"1,7724","1,7724","1,7724","1,7724","0,56%"
28.12.1979,"1,7678","1,7678","1,7678","1,7678","-0,26%"
31.12.1979,"1,7621","1,7621","1,7621","1,7621","-0,32%"
02.01.1980,"1,7661","1,7661","1,7661","1,7661","0,23%"
03.01.1980,"1,7762","1,7762","1,7762","1,7762","0,57%"
04.01.1980,"1,7681","1,7681","1,7681","1,7681","-0,46%"
07.01.1980,"1,7737","1,7737","1,7737","1,7737","0,32%"
08.01.1980,"1,7673","1,7673","1,7673","1,7673","-0,36%"
09.01.1980,"1,7717","1,7717","1,7717","1,7717","0,25%"
10.01.1980,"1,7630","1,7630","1,7630","1,7630","-0,49%"
11.01.1980,"1,7601","1,7601","1,7601","1,7601","-0,16%"
14.01.1980,"1,7623","1,7623","1,7623","1,7623","0,12%"
15.01.1980,"1,7542","1,7542","1,7542","1,7542","-0,46%"
16.01.1980,"1,7552","1,7552","1,7552","1,7552","0,06%"
17.01.1980,"1,7505","1,7505","1,7505","1,7505","-0,27%"
18.01.1980,"1,7522","1,7522","1,7522","1,7522","0,10%"
21.01.1980,"1,7478","1,7478","1,7478","1,7478","-0,25%"
22.01.1980,"1,7392","1,7392","1,7392","1,7392","-0,49%"
23.01.1980,"1,7445","1,7445","1,7445","1,7445","0,30%"
24.01.1980,"1,7384","1,7384","1,7384","1,7384","-0,35%"
25.01.1980,"1,7418","1,7418","1,7418","1,7418","0,20%"
28.01.1980,"1,7447","1,7447","1,7447","1,7447","0,17%"
29.01.1980,"1,7433","1,7433","1,7433","1,7433","-0,08%"
30.01.1980,"1,7409","1,7409","1,7409","1,7409","-0,14%"
31.01.1980,"1,7314","1,7314","1,7314","1,7314","-0,55%"
01.02.1980,"1,7246","1,7246","1,7246","1,7246","-0,39%"
04.02.1980,"1,7293","1,7293","1,7293","1,7293","0,27%"
05.02.1980,"1,7371","1,7371","1,7371","1,7371","0,45%"
06.02.1980,"1,7387","1,7387","1,7387","1,7387","0,09%"
07.02.1980,"1,7354","1,7354","1,7354","1,7354","-0,19%"
08.02.1980,"1,7325","1,7325","1,7325","1,7325","-0,17%"
11.02.1980,"1,7359","1,7359","1,7359","1,7359","0,20%"
13.02.1980,"1,7427","1,7427","1,7427","1,7427","0,39%"
14.02.1980,"1,7410","1,7410","1,7410","1,7410","-0,10%"
15.02.1980,"1,7397","1,7397","1,7397","1,7397","-0,07%"
19.02.1980,"1,7278","1,7278","1,7278","1,7278","-0,68%"
20.02.1980,"1,7224","1,7224","1,7224","1,7224","-0,31%"
21.02.1980,"1,7156","1,7156","1,7156","1,7156","-0,39%"
22.02.1980,"1,7078","1,7078","1,7078","1,7078","-0,45%"
25.02.1980,"1,7027","1,7027","1,7027","1,7027","-0,30%"
26.02.1980,"1,7016","1,7016","1,7016","1,7016","-0,06%"
27.02.1980,"1,6939","1,6939","1,6939","1,6939","-0,45%"
28.02.1980,"1,6966","1,6966","1,6966","1,6966","0,16%"
29.02.1980,"1,6819","1,6819","1,6819","1,6819","-0,87%"
03.03.1980,"1,6720","1,6720","1,6720","1,6720","-0,59%"
04.03.1980,"1,6819","1,6819","1,6819","1,6819","0,59%"
05.03.1980,"1,6746","1,6746","1,6746","1,6746","-0,43%"
06.03.1980,"1,6734","1,6734","1,6734","1,6734","-0,07%"
07.03.1980,"1,6793","1,6793","1,6793","1,6793","0,35%"
10.03.1980,"1,6804","1,6804","1,6804","1,6804","0,07%"
11.03.1980,"1,6802","1,6802","1,6802","1,6802","-0,01%"
12.03.1980,"1,6851","1,6851","1,6851","1,6851","0,29%"
13.03.1980,"1,6772","1,6772","1,6772","1,6772","-0,47%"
14.03.1980,"1,6759","1,6759","1,6759","1,6759","-0,08%"
17.03.1980,"1,6509","1,6509","1,6509","1,6509","-1,49%"
18.03.1980,"1,6441","1,6441","1,6441","1,6441","-0,41%"
19.03.1980,"1,6433","1,6433","1,6433","1,6433","-0,05%"
20.03.1980,"1,6514","1,6514","1,6514","1,6514","0,49%"
21.03.1980,"1,6478","1,6478","1,6478","1,6478","-0,22%"
24.03.1980,"1,6440","1,6440","1,6440","1,6440","-0,23%"
25.03.1980,"1,6495","1,6495","1,6495","1,6495","0,33%"
26.03.1980,"1,6451","1,6451","1,6451","1,6451","-0,27%"
27.03.1980,"1,6225","1,6225","1,6225","1,6225","-1,37%"
28.03.1980,"1,6164","1,6164","1,6164","1,6164","-0,38%"
31.03.1980,"1,6076","1,6076","1,6076","1,6076","-0,54%"
01.04.1980,"1,5969","1,5969","1,5969","1,5969","-0,67%"
02.04.1980,"1,6026","1,6026","1,6026","1,6026","0,36%"
03.04.1980,"1,5992","1,5992","1,5992","1,5992","-0,21%"
08.04.1980,"1,5925","1,5925","1,5925","1,5925","-0,42%"
09.04.1980,"1,6354","1,6354","1,6354","1,6354","2,69%"
10.04.1980,"1,6329","1,6329","1,6329","1,6329","-0,15%"
11.04.1980,"1,6402","1,6402","1,6402","1,6402","0,45%"
14.04.1980,"1,6518","1,6518","1,6518","1,6518","0,71%"
15.04.1980,"1,6379","1,6379","1,6379","1,6379","-0,84%"
16.04.1980,"1,6616","1,6616","1,6616","1,6616","1,45%"
17.04.1980,"1,6637","1,6637","1,6637","1,6637","0,13%"
18.04.1980,"1,6706","1,6706","1,6706","1,6706","0,41%"
