Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"53,7417","53,6979","53,7417","53,6979","0,57%"
17.10.1989,"53,7417","53,6979","53,7417","53,6979","0,57%"
18.10.1989,"53,4262","53,3700","53,4262","53,3700","-0,59%"
18.10.1989,"53,4262","53,3700","53,4262","53,3700","-0,59%"
19.10.1989,"53,5726","53,4210","53,5726","53,4210","0,27%"
19.10.1989,"53,5726","53,4210","53,5726","53,4210","0,27%"
20.10.1989,"53,5971","53,5395","53,5971","53,5395","0,05%"
20.10.1989,"53,5971","53,5395","53,5971","53,5395","0,05%"
23.10.1989,"53,3774","53,3420","53,3774","53,3420","-0,41%"
23.10.1989,"53,3774","53,3420","53,3774","53,3420","-0,41%"
24.10.1989,"53,6038","53,5692","53,6038","53,5692","0,42%"
24.10.1989,"53,6038","53,5692","53,6038","53,5692","0,42%"
25.10.1989,"53,7487","53,7085","53,7487","53,7085","0,27%"
25.10.1989,"53,7487","53,7085","53,7487","53,7085","0,27%"
26.10.1989,"53,6963","53,6470","53,6963","53,6470","-0,10%"
26.10.1989,"53,6963","53,6470","53,6963","53,6470","-0,10%"
27.10.1989,"53,6135","53,5641","53,6135","53,5641","-0,15%"
27.10.1989,"53,6135","53,5641","53,6135","53,5641","-0,15%"
30.10.1989,"53,9951","53,9454","53,9951","53,9454","0,71%"
30.10.1989,"53,9951","53,9454","53,9951","53,9454","0,71%"
31.10.1989,"54,1612","54,1114","54,1612","54,1114","0,31%"
31.10.1989,"54,1612","54,1114","54,1612","54,1114","0,31%"
01.11.1989,"54,6191","54,5689","54,6191","54,5689","0,85%"
01.11.1989,"54,6191","54,5689","54,6191","54,5689","0,85%"
02.11.1989,"54,2874","54,2376","54,2874","54,2376","-0,61%"
02.11.1989,"54,2874","54,2376","54,2874","54,2376","-0,61%"
03.11.1989,"54,4690","54,4284","54,4690","54,4284","0,33%"
03.11.1989,"54,4690","54,4284","54,4690","54,4284","0,33%"
06.11.1989,"54,5422","54,5017","54,5422","54,5017","0,13%"
06.11.1989,"54,5422","54,5017","54,5422","54,5017","0,13%"
07.11.1989,"54,3017","54,2575","54,3017","54,2575","-0,44%"
07.11.1989,"54,3017","54,2575","54,3017","54,2575","-0,44%"
08.11.1989,"54,4246","54,3746","54,4246","54,3746","0,23%"
08.11.1989,"54,4246","54,3746","54,4246","54,3746","0,23%"
09.11.1989,"54,3289","54,2884","54,3289","54,2884","-0,18%"
09.11.1989,"54,3289","54,2884","54,3289","54,2884","-0,18%"
10.11.1989,"54,2242","54,1745","54,2242","54,1745","-0,19%"
10.11.1989,"54,2242","54,1745","54,2242","54,1745","-0,19%"
13.11.1989,"54,2580","54,2141","54,2580","54,2141","0,06%"
13.11.1989,"54,2580","54,2141","54,2580","54,2141","0,06%"
14.11.1989,"54,3384","54,2884","54,3384","54,2884","0,15%"
14.11.1989,"54,3384","54,2884","54,3384","54,2884","0,15%"
15.11.1989,"54,7905","54,7392","54,7905","54,7392","0,83%"
15.11.1989,"54,7905","54,7392","54,7905","54,7392","0,83%"
16.11.1989,"54,8734","54,8326","54,8734","54,8326","0,15%"
16.11.1989,"54,8734","54,8326","54,8734","54,8326","0,15%"
17.11.1989,"54,8546","54,8044","54,8546","54,8044","-0,03%"
17.11.1989,"54,8546","54,8044","54,8546","54,8044","-0,03%"
21.11.1989,"54,9742","54,9369","54,9742","54,9369","0,22%"
21.11.1989,"54,9742","54,9369","54,9742","54,9369","0,22%"
22.11.1989,"54,7286","54,6781","54,7286","54,6781","-0,45%"
22.11.1989,"54,7286","54,6781","54,7286","54,6781","-0,45%"
23.11.1989,"55,0717","55,0315","55,0717","55,0315","0,63%"
23.11.1989,"55,0717","55,0315","55,0717","55,0315","0,63%"
24.11.1989,"54,9876","54,9369","54,9876","54,9369","-0,15%"
24.11.1989,"54,9876","54,9369","54,9876","54,9369","-0,15%"
27.11.1989,"54,9588","54,9080","54,9588","54,9080","-0,05%"
27.11.1989,"54,9588","54,9080","54,9588","54,9080","-0,05%"
28.11.1989,"54,8869","54,8362","54,8869","54,8362","-0,13%"
28.11.1989,"54,8869","54,8362","54,8869","54,8362","-0,13%"
29.11.1989,"54,9164","54,8656","54,9164","54,8656","0,05%"
29.11.1989,"54,9164","54,8656","54,9164","54,8656","0,05%"
30.11.1989,"54,8167","54,7756","54,8167","54,7756","-0,18%"
30.11.1989,"54,8167","54,7756","54,8167","54,7756","-0,18%"
01.12.1989,"55,0374","54,9962","55,0374","54,9962","0,40%"
01.12.1989,"55,0374","54,9962","55,0374","54,9962","0,40%"
04.12.1989,"55,2528","55,2114","55,2528","55,2114","0,39%"
04.12.1989,"55,2528","55,2114","55,2528","55,2114","0,39%"
05.12.1989,"55,4913","55,4437","55,4913","55,4437","0,43%"
05.12.1989,"55,4913","55,4437","55,4913","55,4437","0,43%"
06.12.1989,"55,8539","55,8117","55,8539","55,8117","0,65%"
06.12.1989,"55,8539","55,8117","55,8539","55,8117","0,65%"
07.12.1989,"55,7330","55,6911","55,7330","55,6911","-0,22%"
07.12.1989,"55,7330","55,6911","55,7330","55,6911","-0,22%"
08.12.1989,"55,6435","55,5705","55,6435","55,5705","-0,16%"
08.12.1989,"55,6435","55,5705","55,6435","55,5705","-0,16%"
11.12.1989,"55,7447","55,7027","55,7447","55,7027","0,18%"
11.12.1989,"55,7447","55,7027","55,7447","55,7027","0,18%"
12.12.1989,"56,0705","56,0280","56,0705","56,0280","0,58%"
12.12.1989,"56,0705","56,0280","56,0705","56,0280","0,58%"
13.12.1989,"56,1710","56,1284","56,1710","56,1284","0,18%"
13.12.1989,"56,1710","56,1284","56,1710","56,1284","0,18%"
14.12.1989,"56,0622","56,0264","56,0622","56,0264","-0,19%"
14.12.1989,"56,0622","56,0264","56,0622","56,0264","-0,19%"
15.12.1989,"56,4350","56,3601","56,4350","56,3601","0,66%"
15.12.1989,"56,4350","56,3601","56,4350","56,3601","0,66%"
18.12.1989,"56,2194","56,1448","56,2194","56,1448","-0,38%"
18.12.1989,"56,2194","56,1448","56,2194","56,1448","-0,38%"
19.12.1989,"56,0316","56,0055","56,0316","56,0055","-0,33%"
19.12.1989,"56,0316","56,0055","56,0316","56,0055","-0,33%"
20.12.1989,"55,8474","55,8052","55,8474","55,8052","-0,33%"
20.12.1989,"55,8474","55,8052","55,8474","55,8052","-0,33%"
21.12.1989,"56,0926","56,0500","56,0926","56,0500","0,44%"
21.12.1989,"56,0926","56,0500","56,0926","56,0500","0,44%"
22.12.1989,"55,6950","55,5664","55,6950","55,5664","-0,71%"
22.12.1989,"55,6950","55,5664","55,6950","55,5664","-0,71%"
27.12.1989,"55,9614","55,9252","55,9614","55,9252","0,48%"
27.12.1989,"55,9614","55,9252","55,9614","55,9252","0,48%"
28.12.1989,"56,4218","56,2912","56,4218","56,2912","0,82%"
28.12.1989,"56,4218","56,2912","56,4218","56,2912","0,82%"
29.12.1989,"56,3595","56,3234","56,3595","56,3234","-0,11%"
29.12.1989,"56,3595","56,3234","56,3595","56,3234","-0,11%"
02.01.1990,"57,3890","57,3357","57,3890","57,3357","1,83%"
03.01.1990,"56,5092","56,4569","56,5092","56,4569","-1,53%"
04.01.1990,"56,0568","55,9883","56,0568","55,9883","-0,80%"
05.01.1990,"56,7419","56,7000","56,7419","56,7000","1,22%"
08.01.1990,"56,8640","56,7882","56,8640","56,7882","0,22%"
09.01.1990,"57,1424","57,0665","57,1424","57,0665","0,49%"
10.01.1990,"57,1934","57,1176","57,1934","57,1176","0,09%"
11.01.1990,"57,1051","57,0392","57,1051","57,0392","-0,15%"
12.01.1990,"57,2157","57,1793","57,2157","57,1793","0,19%"
15.01.1990,"57,2248","57,1490","57,2248","57,1490","0,02%"
16.01.1990,"56,9061","56,8407","56,9061","56,8407","-0,56%"
17.01.1990,"56,9100","56,8779","56,9100","56,8779","0,01%"
18.01.1990,"57,0469","56,9926","57,0469","56,9926","0,24%"
19.01.1990,"56,8589","56,7899","56,8589","56,7899","-0,33%"
22.01.1990,"57,0570","57,0267","57,0570","57,0267","0,35%"
23.01.1990,"57,1723","57,1289","57,1723","57,1289","0,20%"
24.01.1990,"57,1051","57,0729","57,1051","57,0729","-0,12%"
25.01.1990,"56,2052","56,1366","56,2052","56,1366","-1,58%"
26.01.1990,"55,7989","55,7346","55,7989","55,7346","-0,72%"
29.01.1990,"56,1107","56,0844","56,1107","56,0844","0,56%"
30.01.1990,"56,9492","56,8959","56,9492","56,8959","1,49%"
31.01.1990,"56,4057","56,3409","56,4057","56,3409","-0,95%"
01.02.1990,"56,6855","56,6536","56,6855","56,6536","0,50%"
02.02.1990,"57,0812","57,0449","57,0812","57,0449","0,70%"
05.02.1990,"57,0417","56,9658","57,0417","56,9658","-0,07%"
06.02.1990,"57,4205","57,3992","57,4205","57,3992","0,66%"
07.02.1990,"57,6078","57,5752","57,6078","57,5752","0,33%"
08.02.1990,"57,1934","57,1400","57,1934","57,1400","-0,72%"
09.02.1990,"56,8205","56,7674","56,8205","56,7674","-0,65%"
12.02.1990,"56,8690","56,8255","56,8690","56,8255","0,09%"
13.02.1990,"56,7999","56,7467","56,7999","56,7467","-0,12%"
14.02.1990,"56,8325","56,7892","56,8325","56,7892","0,06%"
15.02.1990,"56,9047","56,8741","56,9047","56,8741","0,13%"
16.02.1990,"56,5039","56,4289","56,5039","56,4289","-0,70%"
19.02.1990,"56,9370","56,9067","56,9370","56,9067","0,77%"
20.02.1990,"57,2456","57,2132","57,2456","57,2132","0,54%"
21.02.1990,"57,4465","57,4196","57,4465","57,4196","0,35%"
22.02.1990,"57,6484","57,6216","57,6484","57,6216","0,35%"
23.02.1990,"57,8735","57,8368","57,8735","57,8368","0,39%"
26.02.1990,"58,3718","58,3350","58,3718","58,3350","0,86%"
27.02.1990,"58,3082","58,2641","58,3082","58,2641","-0,11%"
28.02.1990,"58,3064","58,2796","58,3064","58,2796","-0,00%"
01.03.1990,"58,1136","58,0814","58,1136","58,0814","-0,33%"
02.03.1990,"58,2189","58,1431","58,2189","58,1431","0,18%"
05.03.1990,"57,8050","57,7296","57,8050","57,7296","-0,71%"
06.03.1990,"58,2662","58,2298","58,2662","58,2298","0,80%"
07.03.1990,"58,0704","58,0232","58,0704","58,0232","-0,34%"
08.03.1990,"58,3832","58,3398","58,3832","58,3398","0,54%"
09.03.1990,"58,4017","58,3751","58,4017","58,3751","0,03%"
12.03.1990,"58,7447","58,7012","58,7447","58,7012","0,59%"
13.03.1990,"57,9372","57,8907","57,9372","57,8907","-1,37%"
14.03.1990,"58,1407","58,0978","58,1407","58,0978","0,35%"
15.03.1990,"58,1469","58,1040","58,1469","58,1040","0,01%"
16.03.1990,"58,6437","58,5906","58,6437","58,5906","0,85%"
19.03.1990,"58,9161","58,8686","58,9161","58,8686","0,46%"
20.03.1990,"59,0925","59,0394","59,0925","59,0394","0,30%"
21.03.1990,"58,8207","58,7944","58,8207","58,7944","-0,46%"
22.03.1990,"58,9427","58,9163","58,9427","58,9163","0,21%"
23.03.1990,"58,7977","58,7619","58,7977","58,7619","-0,25%"
26.03.1990,"58,7755","58,7331","58,7755","58,7331","-0,04%"
27.03.1990,"59,5229","59,4798","59,5229","59,4798","1,27%"
28.03.1990,"59,6784","59,6353","59,6784","59,6353","0,26%"
29.03.1990,"58,8777","58,8517","58,8777","58,8517","-1,34%"
