Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"2,3903","2,3903","2,3903","2,3903","-0,18%"
28.12.1979,"2,4016","2,4016","2,4016","2,4016","0,47%"
31.12.1979,"2,4069","2,4069","2,4069","2,4069","0,22%"
02.01.1980,"2,3935","2,3935","2,3935","2,3935","-0,56%"
03.01.1980,"2,3861","2,3861","2,3861","2,3861","-0,31%"
04.01.1980,"2,3907","2,3907","2,3907","2,3907","0,19%"
07.01.1980,"2,3867","2,3867","2,3867","2,3867","-0,17%"
08.01.1980,"2,3836","2,3836","2,3836","2,3836","-0,13%"
09.01.1980,"2,3883","2,3883","2,3883","2,3883","0,20%"
10.01.1980,"2,3854","2,3854","2,3854","2,3854","-0,12%"
11.01.1980,"2,3856","2,3856","2,3856","2,3856","0,01%"
14.01.1980,"2,3889","2,3889","2,3889","2,3889","0,14%"
15.01.1980,"2,3988","2,3988","2,3988","2,3988","0,41%"
16.01.1980,"2,3918","2,3918","2,3918","2,3918","-0,29%"
17.01.1980,"2,3960","2,3960","2,3960","2,3960","0,18%"
18.01.1980,"2,3962","2,3962","2,3962","2,3962","0,01%"
21.01.1980,"2,4034","2,4034","2,4034","2,4034","0,30%"
22.01.1980,"2,4103","2,4103","2,4103","2,4103","0,29%"
23.01.1980,"2,4109","2,4109","2,4109","2,4109","0,02%"
24.01.1980,"2,4127","2,4127","2,4127","2,4127","0,07%"
25.01.1980,"2,4189","2,4189","2,4189","2,4189","0,26%"
28.01.1980,"2,4194","2,4194","2,4194","2,4194","0,02%"
29.01.1980,"2,4194","2,4194","2,4194","2,4194","0,00%"
30.01.1980,"2,4288","2,4288","2,4288","2,4288","0,39%"
31.01.1980,"2,4359","2,4359","2,4359","2,4359","0,29%"
01.02.1980,"2,4336","2,4336","2,4336","2,4336","-0,09%"
04.02.1980,"2,4351","2,4351","2,4351","2,4351","0,06%"
05.02.1980,"2,4240","2,4240","2,4240","2,4240","-0,46%"
06.02.1980,"2,4157","2,4157","2,4157","2,4157","-0,34%"
07.02.1980,"2,4165","2,4165","2,4165","2,4165","0,03%"
08.02.1980,"2,4240","2,4240","2,4240","2,4240","0,31%"
11.02.1980,"2,4206","2,4206","2,4206","2,4206","-0,14%"
12.02.1980,"2,4231","2,4231","2,4231","2,4231","0,10%"
13.02.1980,"2,4174","2,4174","2,4174","2,4174","-0,24%"
14.02.1980,"2,4256","2,4256","2,4256","2,4256","0,34%"
15.02.1980,"2,4341","2,4341","2,4341","2,4341","0,35%"
18.02.1980,"2,4371","2,4371","2,4371","2,4371","0,12%"
19.02.1980,"2,4442","2,4442","2,4442","2,4442","0,29%"
20.02.1980,"2,4403","2,4403","2,4403","2,4403","-0,16%"
21.02.1980,"2,4444","2,4444","2,4444","2,4444","0,17%"
22.02.1980,"2,4578","2,4578","2,4578","2,4578","0,55%"
25.02.1980,"2,4726","2,4726","2,4726","2,4726","0,60%"
26.02.1980,"2,4671","2,4671","2,4671","2,4671","-0,22%"
27.02.1980,"2,4659","2,4659","2,4659","2,4659","-0,05%"
28.02.1980,"2,4700","2,4700","2,4700","2,4700","0,17%"
29.02.1980,"2,5015","2,5015","2,5015","2,5015","1,28%"
03.03.1980,"2,5065","2,5065","2,5065","2,5065","0,20%"
04.03.1980,"2,5043","2,5043","2,5043","2,5043","-0,09%"
05.03.1980,"2,4929","2,4929","2,4929","2,4929","-0,46%"
06.03.1980,"2,4895","2,4895","2,4895","2,4895","-0,14%"
07.03.1980,"2,4919","2,4919","2,4919","2,4919","0,10%"
10.03.1980,"2,4974","2,4974","2,4974","2,4974","0,22%"
