Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"1,0530","1,0527","1,0530","1,0527","1,07%"
17.10.1989,"1,0530","1,0527","1,0530","1,0527","1,07%"
18.10.1989,"1,0422","1,0412","1,0422","1,0412","-1,03%"
18.10.1989,"1,0422","1,0412","1,0422","1,0412","-1,03%"
19.10.1989,"1,0440","1,0433","1,0440","1,0433","0,17%"
19.10.1989,"1,0440","1,0433","1,0440","1,0433","0,17%"
20.10.1989,"1,0453","1,0449","1,0453","1,0449","0,12%"
20.10.1989,"1,0453","1,0449","1,0453","1,0449","0,12%"
23.10.1989,"1,0435","1,0427","1,0435","1,0427","-0,17%"
23.10.1989,"1,0435","1,0427","1,0435","1,0427","-0,17%"
24.10.1989,"1,0388","1,0380","1,0388","1,0380","-0,45%"
24.10.1989,"1,0388","1,0380","1,0388","1,0380","-0,45%"
25.10.1989,"1,0423","1,0416","1,0423","1,0416","0,34%"
25.10.1989,"1,0423","1,0416","1,0423","1,0416","0,34%"
26.10.1989,"1,0409","1,0407","1,0409","1,0407","-0,13%"
26.10.1989,"1,0409","1,0407","1,0409","1,0407","-0,13%"
27.10.1989,"1,0350","1,0344","1,0350","1,0344","-0,57%"
27.10.1989,"1,0350","1,0344","1,0350","1,0344","-0,57%"
30.10.1989,"1,0358","1,0353","1,0358","1,0353","0,08%"
30.10.1989,"1,0358","1,0353","1,0358","1,0353","0,08%"
31.10.1989,"1,0393","1,0391","1,0393","1,0391","0,34%"
31.10.1989,"1,0393","1,0391","1,0393","1,0391","0,34%"
01.11.1989,"1,0362","1,0357","1,0362","1,0357","-0,30%"
01.11.1989,"1,0362","1,0357","1,0362","1,0357","-0,30%"
02.11.1989,"1,0360","1,0351","1,0360","1,0351","-0,02%"
02.11.1989,"1,0360","1,0351","1,0360","1,0351","-0,02%"
03.11.1989,"1,0367","1,0357","1,0367","1,0357","0,07%"
03.11.1989,"1,0367","1,0357","1,0367","1,0357","0,07%"
06.11.1989,"1,0354","1,0349","1,0354","1,0349","-0,13%"
06.11.1989,"1,0354","1,0349","1,0354","1,0349","-0,13%"
07.11.1989,"1,0334","1,0329","1,0334","1,0329","-0,19%"
07.11.1989,"1,0334","1,0329","1,0334","1,0329","-0,19%"
08.11.1989,"1,0365","1,0360","1,0365","1,0360","0,30%"
08.11.1989,"1,0365","1,0360","1,0365","1,0360","0,30%"
09.11.1989,"1,0364","1,0358","1,0364","1,0358","-0,01%"
09.11.1989,"1,0364","1,0358","1,0364","1,0358","-0,01%"
