Data,Último,Abertura,Máxima,Mínima,Variação
08.05.1986,"1,3217","1,3217","1,3217","1,3217","-1,00%"
09.05.1986,"1,3240","1,3240","1,3240","1,3240","0,17%"
12.05.1986,"1,3061","1,3061","1,3061","1,3061","-1,35%"
13.05.1986,"1,3404","1,3404","1,3404","1,3404","2,63%"
14.05.1986,"1,3736","1,3736","1,3736","1,3736","2,48%"
15.05.1986,"1,3563","1,3563","1,3563","1,3563","-1,26%"
16.05.1986,"1,3378","1,3378","1,3378","1,3378","-1,36%"
19.05.1986,"1,3193","1,3193","1,3193","1,3193","-1,38%"
20.05.1986,"1,3229","1,3229","1,3229","1,3229","0,27%"
21.05.1986,"1,3097","1,3097","1,3097","1,3097","-1,00%"
22.05.1986,"1,3170","1,3170","1,3170","1,3170","0,56%"
23.05.1986,"1,3127","1,3127","1,3127","1,3127","-0,33%"
27.05.1986,"1,3071","1,3071","1,3071","1,3071","-0,43%"
28.05.1986,"1,3129","1,3129","1,3129","1,3129","0,44%"
29.05.1986,"1,2847","1,2847","1,2847","1,2847","-2,15%"
30.05.1986,"1,2934","1,2934","1,2934","1,2934","0,68%"
02.06.1986,"1,3324","1,3324","1,3324","1,3324","3,02%"
03.06.1986,"1,3480","1,3480","1,3480","1,3480","1,17%"
04.06.1986,"1,3654","1,3654","1,3654","1,3654","1,29%"
05.06.1986,"1,3896","1,3896","1,3896","1,3896","1,77%"
06.06.1986,"1,3707","1,3707","1,3707","1,3707","-1,36%"
09.06.1986,"1,3888","1,3888","1,3888","1,3888","1,32%"
10.06.1986,"1,3957","1,3957","1,3957","1,3957","0,50%"
11.06.1986,"1,4199","1,4199","1,4199","1,4199","1,73%"
12.06.1986,"1,4052","1,4052","1,4052","1,4052","-1,04%"
13.06.1986,"1,4023","1,4023","1,4023","1,4023","-0,21%"
16.06.1986,"1,3811","1,3811","1,3811","1,3811","-1,51%"
17.06.1986,"1,3776","1,3776","1,3776","1,3776","-0,25%"
18.06.1986,"1,3845","1,3845","1,3845","1,3845","0,50%"
