Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"1,2276","1,2276","1,2276","1,2276","-0,99%"
28.12.1979,"1,2484","1,2484","1,2484","1,2484","1,69%"
31.12.1979,"1,2508","1,2508","1,2508","1,2508","0,19%"
02.01.1980,"1,2477","1,2477","1,2477","1,2477","-0,25%"
03.01.1980,"1,2516","1,2516","1,2516","1,2516","0,31%"
04.01.1980,"1,2487","1,2487","1,2487","1,2487","-0,23%"
07.01.1980,"1,2529","1,2529","1,2529","1,2529","0,34%"
08.01.1980,"1,2508","1,2508","1,2508","1,2508","-0,17%"
09.01.1980,"1,2450","1,2450","1,2450","1,2450","-0,46%"
10.01.1980,"1,2429","1,2429","1,2429","1,2429","-0,17%"
11.01.1980,"1,2416","1,2416","1,2416","1,2416","-0,10%"
14.01.1980,"1,2436","1,2436","1,2436","1,2436","0,16%"
15.01.1980,"1,2327","1,2327","1,2327","1,2327","-0,88%"
16.01.1980,"1,2300","1,2300","1,2300","1,2300","-0,22%"
17.01.1980,"1,2385","1,2385","1,2385","1,2385","0,69%"
18.01.1980,"1,2365","1,2365","1,2365","1,2365","-0,16%"
21.01.1980,"1,2289","1,2289","1,2289","1,2289","-0,61%"
22.01.1980,"1,2275","1,2275","1,2275","1,2275","-0,11%"
23.01.1980,"1,2296","1,2296","1,2296","1,2296","0,17%"
24.01.1980,"1,2063","1,2063","1,2063","1,2063","-1,89%"
25.01.1980,"1,2206","1,2206","1,2206","1,2206","1,19%"
28.01.1980,"1,2176","1,2176","1,2176","1,2176","-0,25%"
29.01.1980,"1,2227","1,2227","1,2227","1,2227","0,42%"
30.01.1980,"1,2230","1,2230","1,2230","1,2230","0,02%"
31.01.1980,"1,2215","1,2215","1,2215","1,2215","-0,12%"
01.02.1980,"1,2186","1,2186","1,2186","1,2186","-0,24%"
04.02.1980,"1,2249","1,2249","1,2249","1,2249","0,52%"
05.02.1980,"1,2244","1,2244","1,2244","1,2244","-0,04%"
06.02.1980,"1,2300","1,2300","1,2300","1,2300","0,46%"
07.02.1980,"1,2233","1,2233","1,2233","1,2233","-0,54%"
08.02.1980,"1,2224","1,2224","1,2224","1,2224","-0,07%"
11.02.1980,"1,2241","1,2241","1,2241","1,2241","0,14%"
12.02.1980,"1,2208","1,2208","1,2208","1,2208","-0,27%"
13.02.1980,"1,2233","1,2233","1,2233","1,2233","0,20%"
14.02.1980,"1,2220","1,2220","1,2220","1,2220","-0,11%"
15.02.1980,"1,2151","1,2151","1,2151","1,2151","-0,56%"
18.02.1980,"1,2171","1,2171","1,2171","1,2171","0,16%"
19.02.1980,"1,2099","1,2099","1,2099","1,2099","-0,59%"
20.02.1980,"1,2119","1,2119","1,2119","1,2119","0,17%"
21.02.1980,"1,2076","1,2076","1,2076","1,2076","-0,35%"
22.02.1980,"1,1997","1,1997","1,1997","1,1997","-0,65%"
25.02.1980,"1,1970","1,1970","1,1970","1,1970","-0,23%"
26.02.1980,"1,1951","1,1951","1,1951","1,1951","-0,16%"
27.02.1980,"1,1959","1,1959","1,1959","1,1959","0,07%"
28.02.1980,"1,1978","1,1978","1,1978","1,1978","0,16%"
29.02.1980,"1,1854","1,1854","1,1854","1,1854","-1,04%"
03.03.1980,"1,1742","1,1742","1,1742","1,1742","-0,94%"
04.03.1980,"1,1834","1,1834","1,1834","1,1834","0,78%"
05.03.1980,"1,1763","1,1763","1,1763","1,1763","-0,60%"
06.03.1980,"1,1760","1,1760","1,1760","1,1760","-0,03%"
07.03.1980,"1,1755","1,1755","1,1755","1,1755","-0,04%"
10.03.1980,"1,1662","1,1662","1,1662","1,1662","-0,79%"
11.03.1980,"1,1662","1,1662","1,1662","1,1662","0,00%"
12.03.1980,"1,1656","1,1656","1,1656","1,1656","-0,05%"
13.03.1980,"1,1593","1,1593","1,1593","1,1593","-0,54%"
14.03.1980,"1,1526","1,1526","1,1526","1,1526","-0,58%"
17.03.1980,"1,1283","1,1283","1,1283","1,1283","-2,11%"
18.03.1980,"1,1279","1,1279","1,1279","1,1279","-0,04%"
19.03.1980,"1,1325","1,1325","1,1325","1,1325","0,41%"
20.03.1980,"1,1330","1,1330","1,1330","1,1330","0,04%"
21.03.1980,"1,1261","1,1261","1,1261","1,1261","-0,61%"
24.03.1980,"1,1226","1,1226","1,1226","1,1226","-0,31%"
25.03.1980,"1,1173","1,1173","1,1173","1,1173","-0,47%"
26.03.1980,"1,1166","1,1166","1,1166","1,1166","-0,06%"
27.03.1980,"1,1042","1,1042","1,1042","1,1042","-1,11%"
28.03.1980,"1,1024","1,1024","1,1024","1,1024","-0,16%"
31.03.1980,"1,0926","1,0926","1,0926","1,0926","-0,89%"
01.04.1980,"1,0814","1,0814","1,0814","1,0814","-1,03%"
02.04.1980,"1,0764","1,0764","1,0764","1,0764","-0,46%"
03.04.1980,"1,0851","1,0851","1,0851","1,0851","0,81%"
08.04.1980,"1,0932","1,0932","1,0932","1,0932","0,75%"
09.04.1980,"1,1208","1,1208","1,1208","1,1208","2,52%"
10.04.1980,"1,1175","1,1175","1,1175","1,1175","-0,29%"
11.04.1980,"1,1237","1,1237","1,1237","1,1237","0,55%"
14.04.1980,"1,1189","1,1189","1,1189","1,1189","-0,43%"
15.04.1980,"1,1109","1,1109","1,1109","1,1109","-0,71%"
16.04.1980,"1,1281","1,1281","1,1281","1,1281","1,55%"
17.04.1980,"1,1297","1,1297","1,1297","1,1297","0,14%"
18.04.1980,"1,1333","1,1333","1,1333","1,1333","0,32%"
21.04.1980,"1,1358","1,1358","1,1358","1,1358","0,22%"
22.04.1980,"1,1313","1,1313","1,1313","1,1313","-0,40%"
23.04.1980,"1,1519","1,1519","1,1519","1,1519","1,82%"
24.04.1980,"1,1524","1,1524","1,1524","1,1524","0,04%"
25.04.1980,"1,1524","1,1524","1,1524","1,1524","0,00%"
28.04.1980,"1,1560","1,1560","1,1560","1,1560","0,31%"
29.04.1980,"1,1545","1,1545","1,1545","1,1545","-0,13%"
30.04.1980,"1,1552","1,1552","1,1552","1,1552","0,06%"
01.05.1980,"1,1528","1,1528","1,1528","1,1528","-0,21%"
02.05.1980,"1,1398","1,1398","1,1398","1,1398","-1,13%"
06.05.1980,"1,1429","1,1429","1,1429","1,1429","0,27%"
07.05.1980,"1,1475","1,1475","1,1475","1,1475","0,40%"
08.05.1980,"1,1473","1,1473","1,1473","1,1473","-0,02%"
09.05.1980,"1,1373","1,1373","1,1373","1,1373","-0,87%"
12.05.1980,"1,1404","1,1404","1,1404","1,1404","0,27%"
13.05.1980,"1,1431","1,1431","1,1431","1,1431","0,24%"
14.05.1980,"1,1454","1,1454","1,1454","1,1454","0,20%"
15.05.1980,"1,1363","1,1363","1,1363","1,1363","-0,79%"
16.05.1980,"1,1431","1,1431","1,1431","1,1431","0,60%"
19.05.1980,"1,1409","1,1409","1,1409","1,1409","-0,19%"
20.05.1980,"1,1390","1,1390","1,1390","1,1390","-0,17%"
21.05.1980,"1,1472","1,1472","1,1472","1,1472","0,72%"
22.05.1980,"1,1449","1,1449","1,1449","1,1449","-0,20%"
23.05.1980,"1,1452","1,1452","1,1452","1,1452","0,03%"
27.05.1980,"1,1430","1,1430","1,1430","1,1430","-0,19%"
28.05.1980,"1,1505","1,1505","1,1505","1,1505","0,66%"
29.05.1980,"1,1532","1,1532","1,1532","1,1532","0,23%"
30.05.1980,"1,1471","1,1471","1,1471","1,1471","-0,53%"
02.06.1980,"1,1393","1,1393","1,1393","1,1393","-0,68%"
03.06.1980,"1,1445","1,1445","1,1445","1,1445","0,46%"
04.06.1980,"1,1437","1,1437","1,1437","1,1437","-0,07%"
05.06.1980,"1,1386","1,1386","1,1386","1,1386","-0,45%"
06.06.1980,"1,1385","1,1385","1,1385","1,1385","-0,01%"
09.06.1980,"1,1456","1,1456","1,1456","1,1456","0,62%"
10.06.1980,"1,1536","1,1536","1,1536","1,1536","0,70%"
11.06.1980,"1,1506","1,1506","1,1506","1,1506","-0,26%"
12.06.1980,"1,1434","1,1434","1,1434","1,1434","-0,63%"
13.06.1980,"1,1469","1,1469","1,1469","1,1469","0,31%"
16.06.1980,"1,1375","1,1375","1,1375","1,1375","-0,82%"
17.06.1980,"1,1371","1,1371","1,1371","1,1371","-0,04%"
18.06.1980,"1,1411","1,1411","1,1411","1,1411","0,35%"
19.06.1980,"1,1402","1,1402","1,1402","1,1402","-0,08%"
20.06.1980,"1,1363","1,1363","1,1363","1,1363","-0,34%"
23.06.1980,"1,1391","1,1391","1,1391","1,1391","0,25%"
24.06.1980,"1,1356","1,1356","1,1356","1,1356","-0,31%"
25.06.1980,"1,1363","1,1363","1,1363","1,1363","0,06%"
26.06.1980,"1,1376","1,1376","1,1376","1,1376","0,11%"
27.06.1980,"1,1332","1,1332","1,1332","1,1332","-0,39%"
30.06.1980,"1,1340","1,1340","1,1340","1,1340","0,07%"
01.07.1980,"1,1330","1,1330","1,1330","1,1330","-0,09%"
02.07.1980,"1,1359","1,1359","1,1359","1,1359","0,26%"
03.07.1980,"1,1410","1,1410","1,1410","1,1410","0,45%"
04.07.1980,"1,1401","1,1401","1,1401","1,1401","-0,08%"
07.07.1980,"1,1483","1,1483","1,1483","1,1483","0,72%"
08.07.1980,"1,1427","1,1427","1,1427","1,1427","-0,49%"
09.07.1980,"1,1415","1,1415","1,1415","1,1415","-0,11%"
10.07.1980,"1,1401","1,1401","1,1401","1,1401","-0,12%"
11.07.1980,"1,1399","1,1399","1,1399","1,1399","-0,02%"
14.07.1980,"1,1387","1,1387","1,1387","1,1387","-0,11%"
15.07.1980,"1,1363","1,1363","1,1363","1,1363","-0,21%"
16.07.1980,"1,1384","1,1384","1,1384","1,1384","0,18%"
17.07.1980,"1,1401","1,1401","1,1401","1,1401","0,15%"
18.07.1980,"1,1345","1,1345","1,1345","1,1345","-0,49%"
21.07.1980,"1,1373","1,1373","1,1373","1,1373","0,25%"
22.07.1980,"1,1405","1,1405","1,1405","1,1405","0,28%"
23.07.1980,"1,1373","1,1373","1,1373","1,1373","-0,28%"
