Data,Último,Abertura,Máxima,Mínima,Variação
09.11.1989,"2,9163","2,9163","2,9163","2,9163","-0,33%"
09.11.1989,"2,9163","2,9163","2,9163","2,9163","-0,33%"
10.11.1989,"2,8964","2,8964","2,8964","2,8964","-0,68%"
10.11.1989,"2,8964","2,8964","2,8964","2,8964","-0,68%"
13.11.1989,"2,9058","2,9058","2,9058","2,9058","0,32%"
13.11.1989,"2,9058","2,9058","2,9058","2,9058","0,32%"
14.11.1989,"2,9434","2,9434","2,9434","2,9434","1,29%"
14.11.1989,"2,9434","2,9434","2,9434","2,9434","1,29%"
15.11.1989,"2,9340","2,9340","2,9340","2,9340","-0,32%"
15.11.1989,"2,9340","2,9340","2,9340","2,9340","-0,32%"
16.11.1989,"2,9299","2,9299","2,9299","2,9299","-0,14%"
16.11.1989,"2,9299","2,9299","2,9299","2,9299","-0,14%"
17.11.1989,"2,9302","2,9302","2,9302","2,9302","0,01%"
17.11.1989,"2,9302","2,9302","2,9302","2,9302","0,01%"
20.11.1989,"2,9231","2,9231","2,9231","2,9231","-0,24%"
20.11.1989,"2,9231","2,9231","2,9231","2,9231","-0,24%"
21.11.1989,"2,9666","2,9666","2,9666","2,9666","1,49%"
21.11.1989,"2,9666","2,9666","2,9666","2,9666","1,49%"
22.11.1989,"2,9743","2,9743","2,9743","2,9743","0,26%"
22.11.1989,"2,9743","2,9743","2,9743","2,9743","0,26%"
24.11.1989,"2,9900","2,9900","2,9900","2,9900","0,53%"
24.11.1989,"2,9900","2,9900","2,9900","2,9900","0,53%"
27.11.1989,"3,0068","3,0068","3,0068","3,0068","0,56%"
27.11.1989,"3,0068","3,0068","3,0068","3,0068","0,56%"
28.11.1989,"3,0298","3,0298","3,0298","3,0298","0,76%"
28.11.1989,"3,0298","3,0298","3,0298","3,0298","0,76%"
29.11.1989,"3,0155","3,0155","3,0155","3,0155","-0,47%"
29.11.1989,"3,0155","3,0155","3,0155","3,0155","-0,47%"
30.11.1989,"3,0273","3,0273","3,0273","3,0273","0,39%"
30.11.1989,"3,0273","3,0273","3,0273","3,0273","0,39%"
01.12.1989,"3,0022","3,0022","3,0022","3,0022","-0,83%"
01.12.1989,"3,0022","3,0022","3,0022","3,0022","-0,83%"
04.12.1989,"3,0203","3,0203","3,0203","3,0203","0,60%"
04.12.1989,"3,0203","3,0203","3,0203","3,0203","0,60%"
05.12.1989,"3,0391","3,0391","3,0391","3,0391","0,62%"
05.12.1989,"3,0391","3,0391","3,0391","3,0391","0,62%"
06.12.1989,"3,0567","3,0567","3,0567","3,0567","0,58%"
06.12.1989,"3,0567","3,0567","3,0567","3,0567","0,58%"
07.12.1989,"3,0486","3,0486","3,0486","3,0486","-0,26%"
07.12.1989,"3,0486","3,0486","3,0486","3,0486","-0,26%"
08.12.1989,"3,0563","3,0563","3,0563","3,0563","0,25%"
08.12.1989,"3,0563","3,0563","3,0563","3,0563","0,25%"
11.12.1989,"3,0748","3,0748","3,0748","3,0748","0,61%"
11.12.1989,"3,0748","3,0748","3,0748","3,0748","0,61%"
12.12.1989,"3,1200","3,1200","3,1200","3,1200","1,47%"
12.12.1989,"3,1200","3,1200","3,1200","3,1200","1,47%"
13.12.1989,"3,1216","3,1216","3,1216","3,1216","0,05%"
13.12.1989,"3,1216","3,1216","3,1216","3,1216","0,05%"
14.12.1989,"3,1176","3,1176","3,1176","3,1176","-0,13%"
14.12.1989,"3,1176","3,1176","3,1176","3,1176","-0,13%"
15.12.1989,"3,1423","3,1423","3,1423","3,1423","0,79%"
15.12.1989,"3,1423","3,1423","3,1423","3,1423","0,79%"
18.12.1989,"3,1276","3,1276","3,1276","3,1276","-0,47%"
18.12.1989,"3,1276","3,1276","3,1276","3,1276","-0,47%"
19.12.1989,"3,1095","3,1095","3,1095","3,1095","-0,58%"
19.12.1989,"3,1095","3,1095","3,1095","3,1095","-0,58%"
