Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1981,"2,7848","2,7848","2,7848","2,7848","1,15%"
06.01.1981,"2,7945","2,7945","2,7945","2,7945","0,35%"
07.01.1981,"2,7870","2,7870","2,7870","2,7870","-0,27%"
08.01.1981,"2,7569","2,7569","2,7569","2,7569","-1,08%"
09.01.1981,"2,7552","2,7552","2,7552","2,7552","-0,06%"
12.01.1981,"2,7406","2,7406","2,7406","2,7406","-0,53%"
13.01.1981,"2,7237","2,7237","2,7237","2,7237","-0,62%"
14.01.1981,"2,7263","2,7263","2,7263","2,7263","0,10%"
15.01.1981,"2,7138","2,7138","2,7138","2,7138","-0,46%"
16.01.1981,"2,6829","2,6829","2,6829","2,6829","-1,14%"
19.01.1981,"2,6961","2,6961","2,6961","2,6961","0,49%"
20.01.1981,"2,6870","2,6870","2,6870","2,6870","-0,34%"
21.01.1981,"2,7033","2,7033","2,7033","2,7033","0,61%"
22.01.1981,"2,6823","2,6823","2,6823","2,6823","-0,78%"
23.01.1981,"2,6758","2,6758","2,6758","2,6758","-0,24%"
26.01.1981,"2,6467","2,6467","2,6467","2,6467","-1,09%"
27.01.1981,"2,6281","2,6281","2,6281","2,6281","-0,70%"
28.01.1981,"2,6014","2,6014","2,6014","2,6014","-1,02%"
29.01.1981,"2,5886","2,5886","2,5886","2,5886","-0,49%"
30.01.1981,"2,5785","2,5785","2,5785","2,5785","-0,39%"
02.02.1981,"2,5621","2,5621","2,5621","2,5621","-0,64%"
03.02.1981,"2,5276","2,5276","2,5276","2,5276","-1,35%"
04.02.1981,"2,5492","2,5492","2,5492","2,5492","0,85%"
05.02.1981,"2,5345","2,5345","2,5345","2,5345","-0,58%"
06.02.1981,"2,5292","2,5292","2,5292","2,5292","-0,21%"
09.02.1981,"2,5321","2,5321","2,5321","2,5321","0,11%"
10.02.1981,"2,5301","2,5301","2,5301","2,5301","-0,08%"
11.02.1981,"2,5209","2,5209","2,5209","2,5209","-0,36%"
13.02.1981,"2,4840","2,4840","2,4840","2,4840","-1,46%"
17.02.1981,"2,4864","2,4864","2,4864","2,4864","0,10%"
18.02.1981,"2,5246","2,5246","2,5246","2,5246","1,54%"
19.02.1981,"2,5327","2,5327","2,5327","2,5327","0,32%"
20.02.1981,"2,5904","2,5904","2,5904","2,5904","2,28%"
23.02.1981,"2,5650","2,5650","2,5650","2,5650","-0,98%"
24.02.1981,"2,5592","2,5592","2,5592","2,5592","-0,23%"
25.02.1981,"2,5705","2,5705","2,5705","2,5705","0,44%"
26.02.1981,"2,5607","2,5607","2,5607","2,5607","-0,38%"
27.02.1981,"2,5482","2,5482","2,5482","2,5482","-0,49%"
02.03.1981,"2,5233","2,5233","2,5233","2,5233","-0,98%"
03.03.1981,"2,5162","2,5162","2,5162","2,5162","-0,28%"
04.03.1981,"2,5438","2,5438","2,5438","2,5438","1,10%"
05.03.1981,"2,5461","2,5461","2,5461","2,5461","0,09%"
06.03.1981,"2,5416","2,5416","2,5416","2,5416","-0,18%"
09.03.1981,"2,5509","2,5509","2,5509","2,5509","0,37%"
10.03.1981,"2,5729","2,5729","2,5729","2,5729","0,86%"
11.03.1981,"2,5540","2,5540","2,5540","2,5540","-0,73%"
12.03.1981,"2,5731","2,5731","2,5731","2,5731","0,75%"
13.03.1981,"2,5700","2,5700","2,5700","2,5700","-0,12%"
16.03.1981,"2,5840","2,5840","2,5840","2,5840","0,54%"
17.03.1981,"2,5914","2,5914","2,5914","2,5914","0,29%"
18.03.1981,"2,5915","2,5915","2,5915","2,5915","0,00%"
19.03.1981,"2,6165","2,6165","2,6165","2,6165","0,96%"
20.03.1981,"2,6002","2,6002","2,6002","2,6002","-0,62%"
23.03.1981,"2,5776","2,5776","2,5776","2,5776","-0,87%"
24.03.1981,"2,5797","2,5797","2,5797","2,5797","0,08%"
25.03.1981,"2,5631","2,5631","2,5631","2,5631","-0,64%"
26.03.1981,"2,5614","2,5614","2,5614","2,5614","-0,07%"
27.03.1981,"2,5232","2,5232","2,5232","2,5232","-1,49%"
30.03.1981,"2,5236","2,5236","2,5236","2,5236","0,02%"
31.03.1981,"2,5583","2,5583","2,5583","2,5583","1,38%"
01.04.1981,"2,5534","2,5534","2,5534","2,5534","-0,19%"
02.04.1981,"2,5503","2,5503","2,5503","2,5503","-0,12%"
03.04.1981,"2,5232","2,5232","2,5232","2,5232","-1,06%"
06.04.1981,"2,5075","2,5075","2,5075","2,5075","-0,62%"
07.04.1981,"2,5176","2,5176","2,5176","2,5176","0,40%"
08.04.1981,"2,5445","2,5445","2,5445","2,5445","1,07%"
09.04.1981,"2,5101","2,5101","2,5101","2,5101","-1,35%"
10.04.1981,"2,5122","2,5122","2,5122","2,5122","0,08%"
13.04.1981,"2,4902","2,4902","2,4902","2,4902","-0,88%"
14.04.1981,"2,5057","2,5057","2,5057","2,5057","0,62%"
15.04.1981,"2,4985","2,4985","2,4985","2,4985","-0,29%"
16.04.1981,"2,4775","2,4775","2,4775","2,4775","-0,84%"
21.04.1981,"2,4942","2,4942","2,4942","2,4942","0,67%"
22.04.1981,"2,5045","2,5045","2,5045","2,5045","0,41%"
23.04.1981,"2,5086","2,5086","2,5086","2,5086","0,16%"
24.04.1981,"2,4961","2,4961","2,4961","2,4961","-0,50%"
27.04.1981,"2,4850","2,4850","2,4850","2,4850","-0,44%"
28.04.1981,"2,4755","2,4755","2,4755","2,4755","-0,38%"
29.04.1981,"2,4646","2,4646","2,4646","2,4646","-0,44%"
30.04.1981,"2,4634","2,4634","2,4634","2,4634","-0,05%"
01.05.1981,"2,4683","2,4683","2,4683","2,4683","0,20%"
05.05.1981,"2,4179","2,4179","2,4179","2,4179","-2,04%"
06.05.1981,"2,4326","2,4326","2,4326","2,4326","0,61%"
07.05.1981,"2,4284","2,4284","2,4284","2,4284","-0,17%"
08.05.1981,"2,4256","2,4256","2,4256","2,4256","-0,12%"
11.05.1981,"2,4042","2,4042","2,4042","2,4042","-0,88%"
12.05.1981,"2,4062","2,4062","2,4062","2,4062","0,08%"
13.05.1981,"2,4081","2,4081","2,4081","2,4081","0,08%"
14.05.1981,"2,3952","2,3952","2,3952","2,3952","-0,54%"
15.05.1981,"2,3984","2,3984","2,3984","2,3984","0,13%"
18.05.1981,"2,4012","2,4012","2,4012","2,4012","0,12%"
19.05.1981,"2,3992","2,3992","2,3992","2,3992","-0,08%"
20.05.1981,"2,3928","2,3928","2,3928","2,3928","-0,27%"
21.05.1981,"2,3777","2,3777","2,3777","2,3777","-0,63%"
22.05.1981,"2,3850","2,3850","2,3850","2,3850","0,31%"
26.05.1981,"2,3830","2,3830","2,3830","2,3830","-0,08%"
27.05.1981,"2,3691","2,3691","2,3691","2,3691","-0,58%"
28.05.1981,"2,3852","2,3852","2,3852","2,3852","0,68%"
