Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"6,1955","6,1926","6,1955","6,1926","0,32%"
17.10.1989,"6,1955","6,1926","6,1955","6,1926","0,32%"
18.10.1989,"6,1462","6,1415","6,1462","6,1415","-0,80%"
18.10.1989,"6,1462","6,1415","6,1462","6,1415","-0,80%"
19.10.1989,"6,1452","6,1426","6,1452","6,1426","-0,02%"
19.10.1989,"6,1452","6,1426","6,1452","6,1426","-0,02%"
20.10.1989,"6,1619","6,1584","6,1619","6,1584","0,27%"
20.10.1989,"6,1619","6,1584","6,1619","6,1584","0,27%"
23.10.1989,"6,1728","6,1688","6,1728","6,1688","0,18%"
23.10.1989,"6,1728","6,1688","6,1728","6,1688","0,18%"
24.10.1989,"6,0943","6,0902","6,0943","6,0902","-1,27%"
24.10.1989,"6,0943","6,0902","6,0943","6,0902","-1,27%"
25.10.1989,"6,1021","6,0978","6,1021","6,0978","0,13%"
25.10.1989,"6,1021","6,0978","6,1021","6,0978","0,13%"
26.10.1989,"6,0934","6,0910","6,0934","6,0910","-0,14%"
26.10.1989,"6,0934","6,0910","6,0934","6,0910","-0,14%"
27.10.1989,"6,0641","6,0618","6,0641","6,0618","-0,48%"
27.10.1989,"6,0641","6,0618","6,0641","6,0618","-0,48%"
30.10.1989,"6,0781","6,0757","6,0781","6,0757","0,23%"
30.10.1989,"6,0781","6,0757","6,0781","6,0757","0,23%"
31.10.1989,"6,1023","6,0999","6,1023","6,0999","0,40%"
31.10.1989,"6,1023","6,0999","6,1023","6,0999","0,40%"
01.11.1989,"6,0923","6,0900","6,0923","6,0900","-0,16%"
01.11.1989,"6,0923","6,0900","6,0923","6,0900","-0,16%"
02.11.1989,"6,1170","6,1147","6,1170","6,1147","0,41%"
02.11.1989,"6,1170","6,1147","6,1170","6,1147","0,41%"
03.11.1989,"6,1223","6,1199","6,1223","6,1199","0,09%"
03.11.1989,"6,1223","6,1199","6,1223","6,1199","0,09%"
06.11.1989,"6,1303","6,1280","6,1303","6,1280","0,13%"
06.11.1989,"6,1303","6,1280","6,1303","6,1280","0,13%"
07.11.1989,"6,1008","6,0984","6,1008","6,0984","-0,48%"
07.11.1989,"6,1008","6,0984","6,1008","6,0984","-0,48%"
08.11.1989,"6,1192","6,1172","6,1192","6,1172","0,30%"
08.11.1989,"6,1192","6,1172","6,1192","6,1172","0,30%"
09.11.1989,"6,1378","6,1354","6,1378","6,1354","0,30%"
09.11.1989,"6,1378","6,1354","6,1378","6,1354","0,30%"
10.11.1989,"6,1690","6,1666","6,1690","6,1666","0,51%"
10.11.1989,"6,1690","6,1666","6,1690","6,1666","0,51%"
13.11.1989,"6,1780","6,1757","6,1780","6,1757","0,15%"
13.11.1989,"6,1780","6,1757","6,1780","6,1757","0,15%"
14.11.1989,"6,0960","6,0936","6,0960","6,0936","-1,33%"
14.11.1989,"6,0960","6,0936","6,0960","6,0936","-1,33%"
15.11.1989,"6,1150","6,1126","6,1150","6,1126","0,31%"
15.11.1989,"6,1150","6,1126","6,1150","6,1126","0,31%"
16.11.1989,"6,1301","6,1279","6,1301","6,1279","0,25%"
16.11.1989,"6,1301","6,1279","6,1301","6,1279","0,25%"
17.11.1989,"6,1117","6,1095","6,1117","6,1095","-0,30%"
17.11.1989,"6,1117","6,1095","6,1117","6,1095","-0,30%"
20.11.1989,"6,0852","6,0828","6,0852","6,0828","-0,43%"
20.11.1989,"6,0852","6,0828","6,0852","6,0828","-0,43%"
21.11.1989,"6,0319","6,0295","6,0319","6,0295","-0,88%"
21.11.1989,"6,0319","6,0295","6,0319","6,0295","-0,88%"
22.11.1989,"6,0229","6,0205","6,0229","6,0205","-0,15%"
22.11.1989,"6,0229","6,0205","6,0229","6,0205","-0,15%"
23.11.1989,"6,0320","6,0296","6,0320","6,0296","0,15%"
23.11.1989,"6,0320","6,0296","6,0320","6,0296","0,15%"
24.11.1989,"6,0076","6,0053","6,0076","6,0053","-0,40%"
24.11.1989,"6,0076","6,0053","6,0076","6,0053","-0,40%"
27.11.1989,"5,9385","5,9362","5,9385","5,9362","-1,15%"
27.11.1989,"5,9385","5,9362","5,9385","5,9362","-1,15%"
28.11.1989,"5,9154","5,9128","5,9154","5,9128","-0,39%"
28.11.1989,"5,9154","5,9128","5,9154","5,9128","-0,39%"
29.11.1989,"5,9318","5,9294","5,9318","5,9294","0,28%"
29.11.1989,"5,9318","5,9294","5,9318","5,9294","0,28%"
30.11.1989,"5,9344","5,9310","5,9344","5,9310","0,04%"
30.11.1989,"5,9344","5,9310","5,9344","5,9310","0,04%"
01.12.1989,"5,9439","5,9416","5,9439","5,9416","0,16%"
01.12.1989,"5,9439","5,9416","5,9439","5,9416","0,16%"
04.12.1989,"5,9366","5,9342","5,9366","5,9342","-0,12%"
04.12.1989,"5,9366","5,9342","5,9366","5,9342","-0,12%"
05.12.1989,"5,9310","5,9287","5,9310","5,9287","-0,09%"
05.12.1989,"5,9310","5,9287","5,9310","5,9287","-0,09%"
06.12.1989,"5,9042","5,9017","5,9042","5,9017","-0,45%"
06.12.1989,"5,9042","5,9017","5,9042","5,9017","-0,45%"
07.12.1989,"5,9188","5,9165","5,9188","5,9165","0,25%"
07.12.1989,"5,9188","5,9165","5,9188","5,9165","0,25%"
08.12.1989,"5,9188","5,9164","5,9188","5,9164","0,00%"
08.12.1989,"5,9188","5,9164","5,9188","5,9164","0,00%"
11.12.1989,"5,8993","5,8969","5,8993","5,8969","-0,33%"
11.12.1989,"5,8993","5,8969","5,8993","5,8969","-0,33%"
12.12.1989,"5,8318","5,8295","5,8318","5,8295","-1,14%"
12.12.1989,"5,8318","5,8295","5,8318","5,8295","-1,14%"
13.12.1989,"5,8122","5,8101","5,8122","5,8101","-0,34%"
13.12.1989,"5,8122","5,8101","5,8122","5,8101","-0,34%"
14.12.1989,"5,8116","5,8092","5,8116","5,8092","-0,01%"
14.12.1989,"5,8116","5,8092","5,8116","5,8092","-0,01%"
15.12.1989,"5,7775","5,7752","5,7775","5,7752","-0,59%"
15.12.1989,"5,7775","5,7752","5,7775","5,7752","-0,59%"
18.12.1989,"5,7715","5,7697","5,7715","5,7697","-0,10%"
18.12.1989,"5,7715","5,7697","5,7715","5,7697","-0,10%"
19.12.1989,"5,8003","5,7980","5,8003","5,7980","0,50%"
19.12.1989,"5,8003","5,7980","5,8003","5,7980","0,50%"
20.12.1989,"5,8416","5,8393","5,8416","5,8393","0,71%"
20.12.1989,"5,8416","5,8393","5,8416","5,8393","0,71%"
21.12.1989,"5,7830","5,7807","5,7830","5,7807","-1,00%"
21.12.1989,"5,7830","5,7807","5,7830","5,7807","-1,00%"
22.12.1989,"5,7231","5,7208","5,7231","5,7208","-1,04%"
22.12.1989,"5,7231","5,7208","5,7231","5,7208","-1,04%"
25.12.1989,"5,7259","5,7198","5,7259","5,7198","0,05%"
25.12.1989,"5,7259","5,7198","5,7259","5,7198","0,05%"
26.12.1989,"5,7207","5,7183","5,7207","5,7183","-0,09%"
26.12.1989,"5,7207","5,7183","5,7207","5,7183","-0,09%"
27.12.1989,"5,6896","5,6873","5,6896","5,6873","-0,54%"
27.12.1989,"5,6896","5,6873","5,6896","5,6873","-0,54%"
28.12.1989,"5,6840","5,6817","5,6840","5,6817","-0,10%"
28.12.1989,"5,6840","5,6817","5,6840","5,6817","-0,10%"
29.12.1989,"5,6894","5,6871","5,6894","5,6871","0,10%"
29.12.1989,"5,6894","5,6871","5,6894","5,6871","0,10%"
02.01.1990,"5,7395","5,7372","5,7395","5,7372","0,88%"
03.01.1990,"5,7542","5,7518","5,7542","5,7518","0,26%"
04.01.1990,"5,6243","5,6220","5,6243","5,6220","-2,26%"
05.01.1990,"5,6504","5,6481","5,6504","5,6481","0,46%"
08.01.1990,"5,5819","5,5796","5,5819","5,5796","-1,21%"
09.01.1990,"5,5941","5,5918","5,5941","5,5918","0,22%"
10.01.1990,"5,6243","5,6220","5,6243","5,6220","0,54%"
11.01.1990,"5,6415","5,6392","5,6415","5,6392","0,31%"
12.01.1990,"5,6170","5,6147","5,6170","5,6147","-0,43%"
15.01.1990,"5,6274","5,6252","5,6274","5,6252","0,19%"
16.01.1990,"5,6414","5,6392","5,6414","5,6392","0,25%"
17.01.1990,"5,5976","5,5954","5,5976","5,5954","-0,78%"
18.01.1990,"5,6524","5,6502","5,6524","5,6502","0,98%"
19.01.1990,"5,5835","5,5812","5,5835","5,5812","-1,22%"
22.01.1990,"5,6363","5,6340","5,6363","5,6340","0,95%"
23.01.1990,"5,5766","5,5744","5,5766","5,5744","-1,06%"
24.01.1990,"5,5195","5,5175","5,5195","5,5175","-1,02%"
25.01.1990,"5,4883","5,4850","5,4883","5,4850","-0,57%"
26.01.1990,"5,4750","5,4728","5,4750","5,4728","-0,24%"
29.01.1990,"5,4556","5,4534","5,4556","5,4534","-0,35%"
30.01.1990,"5,4534","5,4512","5,4534","5,4512","-0,04%"
31.01.1990,"5,4824","5,4804","5,4824","5,4804","0,53%"
01.02.1990,"5,4611","5,4589","5,4611","5,4589","-0,39%"
02.02.1990,"5,4679","5,4657","5,4679","5,4657","0,12%"
05.02.1990,"5,4295","5,4273","5,4295","5,4273","-0,70%"
06.02.1990,"5,3971","5,3949","5,3971","5,3949","-0,60%"
07.02.1990,"5,3581","5,3559","5,3581","5,3559","-0,72%"
08.02.1990,"5,3847","5,3825","5,3847","5,3825","0,50%"
09.02.1990,"5,3668","5,3647","5,3668","5,3647","-0,33%"
12.02.1990,"5,3696","5,3664","5,3696","5,3664","0,05%"
13.02.1990,"5,3986","5,3965","5,3986","5,3965","0,54%"
14.02.1990,"5,3476","5,3455","5,3476","5,3455","-0,94%"
15.02.1990,"5,3880","5,3859","5,3880","5,3859","0,76%"
16.02.1990,"5,4139","5,4117","5,4139","5,4117","0,48%"
19.02.1990,"5,3883","5,3862","5,3883","5,3862","-0,47%"
