Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"1,1317","1,1317","1,1317","1,1317","-0,86%"
06.01.1982,"1,1290","1,1290","1,1290","1,1290","-0,24%"
07.01.1982,"1,1184","1,1184","1,1184","1,1184","-0,94%"
08.01.1982,"1,1193","1,1193","1,1193","1,1193","0,08%"
11.01.1982,"1,1040","1,1040","1,1040","1,1040","-1,37%"
12.01.1982,"1,1044","1,1044","1,1044","1,1044","0,04%"
13.01.1982,"1,1024","1,1024","1,1024","1,1024","-0,18%"
14.01.1982,"1,1092","1,1092","1,1092","1,1092","0,62%"
15.01.1982,"1,1131","1,1131","1,1131","1,1131","0,35%"
18.01.1982,"1,1184","1,1184","1,1184","1,1184","0,48%"
19.01.1982,"1,1148","1,1148","1,1148","1,1148","-0,32%"
20.01.1982,"1,1123","1,1123","1,1123","1,1123","-0,22%"
21.01.1982,"1,1229","1,1229","1,1229","1,1229","0,95%"
22.01.1982,"1,1160","1,1160","1,1160","1,1160","-0,61%"
25.01.1982,"1,1115","1,1115","1,1115","1,1115","-0,40%"
26.01.1982,"1,1178","1,1178","1,1178","1,1178","0,57%"
27.01.1982,"1,1183","1,1183","1,1183","1,1183","0,04%"
28.01.1982,"1,1187","1,1187","1,1187","1,1187","0,04%"
29.01.1982,"1,1187","1,1187","1,1187","1,1187","0,00%"
01.02.1982,"1,1131","1,1131","1,1131","1,1131","-0,50%"
02.02.1982,"1,1131","1,1131","1,1131","1,1131","0,00%"
03.02.1982,"1,1073","1,1073","1,1073","1,1073","-0,52%"
04.02.1982,"1,1193","1,1193","1,1193","1,1193","1,08%"
05.02.1982,"1,1151","1,1151","1,1151","1,1151","-0,38%"
08.02.1982,"1,1132","1,1132","1,1132","1,1132","-0,17%"
09.02.1982,"1,1088","1,1088","1,1088","1,1088","-0,40%"
10.02.1982,"1,1129","1,1129","1,1129","1,1129","0,37%"
11.02.1982,"1,1161","1,1161","1,1161","1,1161","0,29%"
16.02.1982,"1,1141","1,1141","1,1141","1,1141","-0,18%"
17.02.1982,"1,1115","1,1115","1,1115","1,1115","-0,23%"
18.02.1982,"1,1187","1,1187","1,1187","1,1187","0,65%"
19.02.1982,"1,1194","1,1194","1,1194","1,1194","0,06%"
22.02.1982,"1,1229","1,1229","1,1229","1,1229","0,31%"
23.02.1982,"1,1197","1,1197","1,1197","1,1197","-0,28%"
24.02.1982,"1,1215","1,1215","1,1215","1,1215","0,16%"
25.02.1982,"1,1215","1,1215","1,1215","1,1215","0,00%"
26.02.1982,"1,1132","1,1132","1,1132","1,1132","-0,74%"
01.03.1982,"1,1180","1,1180","1,1180","1,1180","0,43%"
02.03.1982,"1,1260","1,1260","1,1260","1,1260","0,72%"
03.03.1982,"1,1242","1,1242","1,1242","1,1242","-0,16%"
04.03.1982,"1,1302","1,1302","1,1302","1,1302","0,53%"
05.03.1982,"1,1351","1,1351","1,1351","1,1351","0,43%"
08.03.1982,"1,1417","1,1417","1,1417","1,1417","0,58%"
09.03.1982,"1,1375","1,1375","1,1375","1,1375","-0,37%"
10.03.1982,"1,1382","1,1382","1,1382","1,1382","0,06%"
11.03.1982,"1,1356","1,1356","1,1356","1,1356","-0,23%"
12.03.1982,"1,1319","1,1319","1,1319","1,1319","-0,33%"
15.03.1982,"1,1270","1,1270","1,1270","1,1270","-0,43%"
16.03.1982,"1,1281","1,1281","1,1281","1,1281","0,10%"
17.03.1982,"1,1281","1,1281","1,1281","1,1281","0,00%"
18.03.1982,"1,1246","1,1246","1,1246","1,1246","-0,31%"
19.03.1982,"1,1209","1,1209","1,1209","1,1209","-0,33%"
22.03.1982,"1,1168","1,1168","1,1168","1,1168","-0,37%"
23.03.1982,"1,1213","1,1213","1,1213","1,1213","0,40%"
24.03.1982,"1,1185","1,1185","1,1185","1,1185","-0,25%"
25.03.1982,"1,1167","1,1167","1,1167","1,1167","-0,16%"
26.03.1982,"1,1129","1,1129","1,1129","1,1129","-0,34%"
29.03.1982,"1,1007","1,1007","1,1007","1,1007","-1,10%"
30.03.1982,"1,1055","1,1055","1,1055","1,1055","0,44%"
31.03.1982,"1,0990","1,0990","1,0990","1,0990","-0,59%"
01.04.1982,"1,0963","1,0963","1,0963","1,0963","-0,25%"
02.04.1982,"1,0972","1,0972","1,0972","1,0972","0,08%"
05.04.1982,"1,0926","1,0926","1,0926","1,0926","-0,42%"
06.04.1982,"1,0874","1,0874","1,0874","1,0874","-0,48%"
07.04.1982,"1,0886","1,0886","1,0886","1,0886","0,11%"
08.04.1982,"1,0806","1,0806","1,0806","1,0806","-0,73%"
09.04.1982,"1,0822","1,0822","1,0822","1,0822","0,15%"
12.04.1982,"1,0834","1,0834","1,0834","1,0834","0,11%"
13.04.1982,"1,0961","1,0961","1,0961","1,0961","1,17%"
14.04.1982,"1,0886","1,0886","1,0886","1,0886","-0,68%"
15.04.1982,"1,0864","1,0864","1,0864","1,0864","-0,20%"
16.04.1982,"1,0890","1,0890","1,0890","1,0890","0,24%"
19.04.1982,"1,0968","1,0968","1,0968","1,0968","0,72%"
20.04.1982,"1,0942","1,0942","1,0942","1,0942","-0,24%"
21.04.1982,"1,0886","1,0886","1,0886","1,0886","-0,51%"
22.04.1982,"1,0844","1,0844","1,0844","1,0844","-0,39%"
23.04.1982,"1,0827","1,0827","1,0827","1,0827","-0,16%"
26.04.1982,"1,0815","1,0815","1,0815","1,0815","-0,11%"
27.04.1982,"1,0838","1,0838","1,0838","1,0838","0,21%"
28.04.1982,"1,0825","1,0825","1,0825","1,0825","-0,12%"
29.04.1982,"1,0745","1,0745","1,0745","1,0745","-0,74%"
30.04.1982,"1,0741","1,0741","1,0741","1,0741","-0,04%"
03.05.1982,"1,0808","1,0808","1,0808","1,0808","0,62%"
04.05.1982,"1,0748","1,0748","1,0748","1,0748","-0,56%"
05.05.1982,"1,0818","1,0818","1,0818","1,0818","0,65%"
06.05.1982,"1,0881","1,0881","1,0881","1,0881","0,58%"
07.05.1982,"1,1017","1,1017","1,1017","1,1017","1,25%"
10.05.1982,"1,0961","1,0961","1,0961","1,0961","-0,51%"
11.05.1982,"1,0900","1,0900","1,0900","1,0900","-0,56%"
12.05.1982,"1,0794","1,0794","1,0794","1,0794","-0,97%"
13.05.1982,"1,0800","1,0800","1,0800","1,0800","0,06%"
14.05.1982,"1,0761","1,0761","1,0761","1,0761","-0,36%"
17.05.1982,"1,0669","1,0669","1,0669","1,0669","-0,85%"
18.05.1982,"1,0605","1,0605","1,0605","1,0605","-0,60%"
19.05.1982,"1,0577","1,0577","1,0577","1,0577","-0,26%"
20.05.1982,"1,0563","1,0563","1,0563","1,0563","-0,13%"
21.05.1982,"1,0563","1,0563","1,0563","1,0563","0,00%"
24.05.1982,"1,0639","1,0639","1,0639","1,0639","0,72%"
25.05.1982,"1,0642","1,0642","1,0642","1,0642","0,03%"
26.05.1982,"1,0593","1,0593","1,0593","1,0593","-0,46%"
27.05.1982,"1,0458","1,0458","1,0458","1,0458","-1,27%"
28.05.1982,"1,0463","1,0463","1,0463","1,0463","0,05%"
01.06.1982,"1,0390","1,0390","1,0390","1,0390","-0,70%"
02.06.1982,"1,0441","1,0441","1,0441","1,0441","0,49%"
03.06.1982,"1,0383","1,0383","1,0383","1,0383","-0,56%"
04.06.1982,"1,0365","1,0365","1,0365","1,0365","-0,17%"
07.06.1982,"1,0404","1,0404","1,0404","1,0404","0,38%"
08.06.1982,"1,0350","1,0350","1,0350","1,0350","-0,52%"
09.06.1982,"1,0306","1,0306","1,0306","1,0306","-0,43%"
10.06.1982,"1,0310","1,0310","1,0310","1,0310","0,04%"
11.06.1982,"1,0337","1,0337","1,0337","1,0337","0,26%"
14.06.1982,"1,0278","1,0278","1,0278","1,0278","-0,57%"
15.06.1982,"1,0265","1,0265","1,0265","1,0265","-0,13%"
16.06.1982,"1,0224","1,0224","1,0224","1,0224","-0,40%"
17.06.1982,"1,0177","1,0177","1,0177","1,0177","-0,46%"
18.06.1982,"1,0174","1,0174","1,0174","1,0174","-0,03%"
21.06.1982,"1,0211","1,0211","1,0211","1,0211","0,36%"
22.06.1982,"1,0347","1,0347","1,0347","1,0347","1,33%"
23.06.1982,"1,0260","1,0260","1,0260","1,0260","-0,84%"
24.06.1982,"1,0259","1,0259","1,0259","1,0259","-0,01%"
25.06.1982,"1,0174","1,0174","1,0174","1,0174","-0,83%"
28.06.1982,"1,0124","1,0124","1,0124","1,0124","-0,49%"
29.06.1982,"1,0237","1,0237","1,0237","1,0237","1,12%"
30.06.1982,"1,0260","1,0260","1,0260","1,0260","0,22%"
01.07.1982,"1,0254","1,0254","1,0254","1,0254","-0,06%"
02.07.1982,"1,0228","1,0228","1,0228","1,0228","-0,25%"
06.07.1982,"1,0158","1,0158","1,0158","1,0158","-0,68%"
07.07.1982,"1,0075","1,0075","1,0075","1,0075","-0,82%"
08.07.1982,"1,0070","1,0070","1,0070","1,0070","-0,05%"
09.07.1982,"1,0155","1,0155","1,0155","1,0155","0,84%"
12.07.1982,"1,0190","1,0190","1,0190","1,0190","0,34%"
13.07.1982,"1,0108","1,0108","1,0108","1,0108","-0,80%"
14.07.1982,"1,0108","1,0108","1,0108","1,0108","0,00%"
15.07.1982,"1,0144","1,0144","1,0144","1,0144","0,36%"
16.07.1982,"1,0223","1,0223","1,0223","1,0223","0,78%"
19.07.1982,"1,0219","1,0219","1,0219","1,0219","-0,04%"
20.07.1982,"1,0273","1,0273","1,0273","1,0273","0,53%"
21.07.1982,"1,0359","1,0359","1,0359","1,0359","0,84%"
22.07.1982,"1,0342","1,0342","1,0342","1,0342","-0,16%"
23.07.1982,"1,0510","1,0510","1,0510","1,0510","1,62%"
26.07.1982,"1,0451","1,0451","1,0451","1,0451","-0,56%"
27.07.1982,"1,0464","1,0464","1,0464","1,0464","0,12%"
28.07.1982,"1,0328","1,0328","1,0328","1,0328","-1,30%"
29.07.1982,"1,0210","1,0210","1,0210","1,0210","-1,14%"
30.07.1982,"1,0224","1,0224","1,0224","1,0224","0,14%"
02.08.1982,"1,0334","1,0334","1,0334","1,0334","1,08%"
03.08.1982,"1,0314","1,0314","1,0314","1,0314","-0,19%"
04.08.1982,"1,0179","1,0179","1,0179","1,0179","-1,31%"
05.08.1982,"1,0160","1,0160","1,0160","1,0160","-0,19%"
06.08.1982,"1,0169","1,0169","1,0169","1,0169","0,09%"
09.08.1982,"1,0100","1,0100","1,0100","1,0100","-0,68%"
10.08.1982,"1,0086","1,0086","1,0086","1,0086","-0,14%"
11.08.1982,"1,0095","1,0095","1,0095","1,0095","0,09%"
12.08.1982,"1,0093","1,0093","1,0093","1,0093","-0,02%"
13.08.1982,"1,0131","1,0131","1,0131","1,0131","0,38%"
