Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"536,13","536,13","536,13","536,13","1,81%"
28.12.1979,"535,11","535,11","535,11","535,11","-0,19%"
31.12.1979,"533,22","533,22","533,22","533,22","-0,35%"
02.01.1980,"532,35","532,35","532,35","532,35","-0,16%"
03.01.1980,"533,76","533,76","533,76","533,76","0,26%"
04.01.1980,"527,04","527,04","527,04","527,04","-1,26%"
07.01.1980,"524,55","524,55","524,55","524,55","-0,47%"
08.01.1980,"529,77","529,77","529,77","529,77","1,00%"
09.01.1980,"532,35","532,35","532,35","532,35","0,49%"
10.01.1980,"532,13","532,13","532,13","532,13","-0,04%"
11.01.1980,"532,47","532,47","532,47","532,47","0,06%"
14.01.1980,"535,83","535,83","535,83","535,83","0,63%"
15.01.1980,"546,33","546,33","546,33","546,33","1,96%"
16.01.1980,"540,86","540,86","540,86","540,86","-1,00%"
17.01.1980,"544,25","544,25","544,25","544,25","0,63%"
18.01.1980,"546,65","546,65","546,65","546,65","0,44%"
21.01.1980,"551,76","551,76","551,76","551,76","0,93%"
22.01.1980,"545,81","545,81","545,81","545,81","-1,08%"
23.01.1980,"539,02","539,02","539,02","539,02","-1,24%"
24.01.1980,"545,29","545,29","545,29","545,29","1,16%"
25.01.1980,"544,88","544,88","544,88","544,88","-0,08%"
28.01.1980,"542,99","542,99","542,99","542,99","-0,35%"
29.01.1980,"539,64","539,64","539,64","539,64","-0,62%"
30.01.1980,"542,02","542,02","542,02","542,02","0,44%"
31.01.1980,"542,56","542,56","542,56","542,56","0,10%"
01.02.1980,"547,56","547,56","547,56","547,56","0,92%"
04.02.1980,"547,43","547,43","547,43","547,43","-0,02%"
05.02.1980,"548,65","548,65","548,65","548,65","0,22%"
06.02.1980,"553,53","553,53","553,53","553,53","0,89%"
07.02.1980,"552,13","552,13","552,13","552,13","-0,25%"
08.02.1980,"554,87","554,87","554,87","554,87","0,50%"
11.02.1980,"556,14","556,14","556,14","556,14","0,23%"
12.02.1980,"555,33","555,33","555,33","555,33","-0,15%"
13.02.1980,"558,22","558,22","558,22","558,22","0,52%"
14.02.1980,"562,94","562,94","562,94","562,94","0,85%"
15.02.1980,"560,52","560,52","560,52","560,52","-0,43%"
18.02.1980,"561,36","561,36","561,36","561,36","0,15%"
19.02.1980,"557,52","557,52","557,52","557,52","-0,68%"
20.02.1980,"560,05","560,05","560,05","560,05","0,45%"
21.02.1980,"562,66","562,66","562,66","562,66","0,47%"
22.02.1980,"563,53","563,53","563,53","563,53","0,15%"
25.02.1980,"565,36","565,36","565,36","565,36","0,32%"
26.02.1980,"564,70","564,70","564,70","564,70","-0,12%"
27.02.1980,"567,63","567,63","567,63","567,63","0,52%"
28.02.1980,"567,20","567,20","567,20","567,20","-0,08%"
29.02.1980,"571,81","571,81","571,81","571,81","0,81%"
03.03.1980,"559,60","559,60","559,60","559,60","-2,14%"
04.03.1980,"548,03","548,03","548,03","548,03","-2,07%"
05.03.1980,"554,28","554,28","554,28","554,28","1,14%"
06.03.1980,"553,97","553,97","553,97","553,97","-0,06%"
07.03.1980,"551,67","551,67","551,67","551,67","-0,42%"
10.03.1980,"549,10","549,10","549,10","549,10","-0,47%"
11.03.1980,"549,04","549,04","549,04","549,04","-0,01%"
12.03.1980,"552,78","552,78","552,78","552,78","0,68%"
13.03.1980,"550,92","550,92","550,92","550,92","-0,34%"
14.03.1980,"550,34","550,34","550,34","550,34","-0,11%"
17.03.1980,"545,03","545,03","545,03","545,03","-0,96%"
