Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"3,1447","3,1447","3,1447","3,1447","-0,55%"
06.01.1982,"3,1483","3,1483","3,1483","3,1483","0,11%"
07.01.1982,"3,1337","3,1337","3,1337","3,1337","-0,46%"
08.01.1982,"3,1336","3,1336","3,1336","3,1336","-0,00%"
11.01.1982,"3,1054","3,1054","3,1054","3,1054","-0,90%"
12.01.1982,"3,1195","3,1195","3,1195","3,1195","0,45%"
13.01.1982,"3,1065","3,1065","3,1065","3,1065","-0,42%"
14.01.1982,"3,1588","3,1588","3,1588","3,1588","1,68%"
15.01.1982,"3,1536","3,1536","3,1536","3,1536","-0,16%"
18.01.1982,"3,1839","3,1839","3,1839","3,1839","0,96%"
19.01.1982,"3,1500","3,1500","3,1500","3,1500","-1,06%"
20.01.1982,"3,1309","3,1309","3,1309","3,1309","-0,61%"
21.01.1982,"3,1570","3,1570","3,1570","3,1570","0,83%"
22.01.1982,"3,1382","3,1382","3,1382","3,1382","-0,60%"
25.01.1982,"3,1479","3,1479","3,1479","3,1479","0,31%"
26.01.1982,"3,1659","3,1659","3,1659","3,1659","0,57%"
27.01.1982,"3,1366","3,1366","3,1366","3,1366","-0,93%"
28.01.1982,"3,1427","3,1427","3,1427","3,1427","0,19%"
29.01.1982,"3,1427","3,1427","3,1427","3,1427","0,00%"
01.02.1982,"3,1440","3,1440","3,1440","3,1440","0,04%"
02.02.1982,"3,1121","3,1121","3,1121","3,1121","-1,01%"
03.02.1982,"3,1009","3,1009","3,1009","3,1009","-0,36%"
04.02.1982,"3,1207","3,1207","3,1207","3,1207","0,64%"
05.02.1982,"3,1008","3,1008","3,1008","3,1008","-0,64%"
08.02.1982,"3,0897","3,0897","3,0897","3,0897","-0,36%"
09.02.1982,"3,0787","3,0787","3,0787","3,0787","-0,36%"
10.02.1982,"3,0909","3,0909","3,0909","3,0909","0,40%"
11.02.1982,"3,1018","3,1018","3,1018","3,1018","0,35%"
16.02.1982,"3,1005","3,1005","3,1005","3,1005","-0,04%"
17.02.1982,"3,0948","3,0948","3,0948","3,0948","-0,18%"
18.02.1982,"3,1098","3,1098","3,1098","3,1098","0,48%"
19.02.1982,"3,1253","3,1253","3,1253","3,1253","0,50%"
22.02.1982,"3,1477","3,1477","3,1477","3,1477","0,72%"
23.02.1982,"3,1426","3,1426","3,1426","3,1426","-0,16%"
24.02.1982,"3,1449","3,1449","3,1449","3,1449","0,07%"
25.02.1982,"3,1394","3,1394","3,1394","3,1394","-0,17%"
26.02.1982,"3,1043","3,1043","3,1043","3,1043","-1,12%"
01.03.1982,"3,1133","3,1133","3,1133","3,1133","0,29%"
02.03.1982,"3,1318","3,1318","3,1318","3,1318","0,59%"
03.03.1982,"3,1231","3,1231","3,1231","3,1231","-0,28%"
04.03.1982,"3,1345","3,1345","3,1345","3,1345","0,37%"
05.03.1982,"3,1622","3,1622","3,1622","3,1622","0,88%"
08.03.1982,"3,1678","3,1678","3,1678","3,1678","0,18%"
09.03.1982,"3,1386","3,1386","3,1386","3,1386","-0,92%"
10.03.1982,"3,1232","3,1232","3,1232","3,1232","-0,49%"
11.03.1982,"3,0987","3,0987","3,0987","3,0987","-0,78%"
12.03.1982,"3,0731","3,0731","3,0731","3,0731","-0,83%"
15.03.1982,"3,0706","3,0706","3,0706","3,0706","-0,08%"
16.03.1982,"3,0887","3,0887","3,0887","3,0887","0,59%"
17.03.1982,"3,0786","3,0786","3,0786","3,0786","-0,33%"
18.03.1982,"3,0814","3,0814","3,0814","3,0814","0,09%"
19.03.1982,"3,0656","3,0656","3,0656","3,0656","-0,51%"
22.03.1982,"3,0638","3,0638","3,0638","3,0638","-0,06%"
23.03.1982,"3,0723","3,0723","3,0723","3,0723","0,28%"
24.03.1982,"3,0611","3,0611","3,0611","3,0611","-0,36%"
25.03.1982,"3,0511","3,0511","3,0511","3,0511","-0,33%"
26.03.1982,"3,0455","3,0455","3,0455","3,0455","-0,18%"
