Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"5,4843","5,4843","5,4843","5,4843","-0,80%"
28.12.1979,"5,4514","5,4514","5,4514","5,4514","-0,60%"
31.12.1979,"5,4528","5,4528","5,4528","5,4528","0,03%"
02.01.1980,"5,4535","5,4535","5,4535","5,4535","0,01%"
03.01.1980,"5,4514","5,4514","5,4514","5,4514","-0,04%"
04.01.1980,"5,4639","5,4639","5,4639","5,4639","0,23%"
07.01.1980,"5,4668","5,4668","5,4668","5,4668","0,05%"
08.01.1980,"5,4817","5,4817","5,4817","5,4817","0,27%"
09.01.1980,"5,4728","5,4728","5,4728","5,4728","-0,16%"
10.01.1980,"5,4641","5,4641","5,4641","5,4641","-0,16%"
11.01.1980,"5,4537","5,4537","5,4537","5,4537","-0,19%"
14.01.1980,"5,4576","5,4576","5,4576","5,4576","0,07%"
15.01.1980,"5,4652","5,4652","5,4652","5,4652","0,14%"
16.01.1980,"5,4658","5,4658","5,4658","5,4658","0,01%"
17.01.1980,"5,4503","5,4503","5,4503","5,4503","-0,28%"
18.01.1980,"5,4539","5,4539","5,4539","5,4539","0,07%"
21.01.1980,"5,4569","5,4569","5,4569","5,4569","0,06%"
22.01.1980,"5,4589","5,4589","5,4589","5,4589","0,04%"
23.01.1980,"5,4748","5,4748","5,4748","5,4748","0,29%"
24.01.1980,"5,4241","5,4241","5,4241","5,4241","-0,93%"
25.01.1980,"5,4340","5,4340","5,4340","5,4340","0,18%"
28.01.1980,"5,4293","5,4293","5,4293","5,4293","-0,09%"
29.01.1980,"5,4288","5,4288","5,4288","5,4288","-0,01%"
30.01.1980,"5,4125","5,4125","5,4125","5,4125","-0,30%"
31.01.1980,"5,3877","5,3877","5,3877","5,3877","-0,46%"
01.02.1980,"5,4111","5,4111","5,4111","5,4111","0,43%"
04.02.1980,"5,4141","5,4141","5,4141","5,4141","0,06%"
05.02.1980,"5,4027","5,4027","5,4027","5,4027","-0,21%"
06.02.1980,"5,3930","5,3930","5,3930","5,3930","-0,18%"
07.02.1980,"5,3967","5,3967","5,3967","5,3967","0,07%"
08.02.1980,"5,3964","5,3964","5,3964","5,3964","-0,01%"
11.02.1980,"5,3931","5,3931","5,3931","5,3931","-0,06%"
12.02.1980,"5,4004","5,4004","5,4004","5,4004","0,14%"
13.02.1980,"5,3829","5,3829","5,3829","5,3829","-0,32%"
14.02.1980,"5,3731","5,3731","5,3731","5,3731","-0,18%"
15.02.1980,"5,4056","5,4056","5,4056","5,4056","0,60%"
18.02.1980,"5,3951","5,3951","5,3951","5,3951","-0,19%"
19.02.1980,"5,3933","5,3933","5,3933","5,3933","-0,03%"
20.02.1980,"5,3807","5,3807","5,3807","5,3807","-0,23%"
21.02.1980,"5,3766","5,3766","5,3766","5,3766","-0,08%"
22.02.1980,"5,3827","5,3827","5,3827","5,3827","0,11%"
25.02.1980,"5,4022","5,4022","5,4022","5,4022","0,36%"
26.02.1980,"5,3884","5,3884","5,3884","5,3884","-0,26%"
27.02.1980,"5,3889","5,3889","5,3889","5,3889","0,01%"
28.02.1980,"5,3735","5,3735","5,3735","5,3735","-0,29%"
29.02.1980,"5,3876","5,3876","5,3876","5,3876","0,26%"
03.03.1980,"5,4095","5,4095","5,4095","5,4095","0,41%"
04.03.1980,"5,4354","5,4354","5,4354","5,4354","0,48%"
05.03.1980,"5,4412","5,4412","5,4412","5,4412","0,11%"
