Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"0,2690","0,2690","0,2690","0,2690","0,11%"
17.10.1989,"0,2690","0,2690","0,2690","0,2690","0,11%"
18.10.1989,"0,2711","0,2711","0,2711","0,2711","0,78%"
18.10.1989,"0,2711","0,2711","0,2711","0,2711","0,78%"
19.10.1989,"0,2711","0,2711","0,2711","0,2711","0,00%"
19.10.1989,"0,2711","0,2711","0,2711","0,2711","0,00%"
20.10.1989,"0,2708","0,2708","0,2708","0,2708","-0,11%"
20.10.1989,"0,2708","0,2708","0,2708","0,2708","-0,11%"
23.10.1989,"0,2712","0,2712","0,2712","0,2712","0,15%"
23.10.1989,"0,2712","0,2712","0,2712","0,2712","0,15%"
24.10.1989,"0,2741","0,2741","0,2741","0,2741","1,07%"
24.10.1989,"0,2741","0,2741","0,2741","0,2741","1,07%"
25.10.1989,"0,2731","0,2731","0,2731","0,2731","-0,36%"
25.10.1989,"0,2731","0,2731","0,2731","0,2731","-0,36%"
26.10.1989,"0,2735","0,2734","0,2735","0,2734","0,15%"
26.10.1989,"0,2735","0,2734","0,2735","0,2734","0,15%"
27.10.1989,"0,2751","0,2751","0,2751","0,2751","0,59%"
27.10.1989,"0,2751","0,2751","0,2751","0,2751","0,59%"
30.10.1989,"0,2738","0,2738","0,2738","0,2738","-0,47%"
30.10.1989,"0,2738","0,2738","0,2738","0,2738","-0,47%"
31.10.1989,"0,2731","0,2731","0,2731","0,2731","-0,26%"
31.10.1989,"0,2731","0,2731","0,2731","0,2731","-0,26%"
01.11.1989,"0,2742","0,2740","0,2742","0,2740","0,40%"
01.11.1989,"0,2742","0,2740","0,2742","0,2740","0,40%"
02.11.1989,"0,2729","0,2727","0,2729","0,2727","-0,47%"
02.11.1989,"0,2729","0,2727","0,2729","0,2727","-0,47%"
03.11.1989,"0,2727","0,2725","0,2727","0,2725","-0,07%"
03.11.1989,"0,2727","0,2725","0,2727","0,2725","-0,07%"
