Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"3,2093","3,2093","3,2093","3,2093","-0,70%"
06.01.1982,"3,1966","3,1966","3,1966","3,1966","-0,40%"
07.01.1982,"3,1857","3,1857","3,1857","3,1857","-0,34%"
08.01.1982,"3,1883","3,1883","3,1883","3,1883","0,08%"
11.01.1982,"3,1456","3,1456","3,1456","3,1456","-1,34%"
12.01.1982,"3,1566","3,1566","3,1566","3,1566","0,35%"
13.01.1982,"3,1511","3,1511","3,1511","3,1511","-0,17%"
14.01.1982,"3,1734","3,1734","3,1734","3,1734","0,71%"
15.01.1982,"3,1622","3,1622","3,1622","3,1622","-0,35%"
18.01.1982,"3,1736","3,1736","3,1736","3,1736","0,36%"
19.01.1982,"3,1741","3,1741","3,1741","3,1741","0,02%"
20.01.1982,"3,1551","3,1551","3,1551","3,1551","-0,60%"
21.01.1982,"3,1665","3,1665","3,1665","3,1665","0,36%"
22.01.1982,"3,1705","3,1705","3,1705","3,1705","0,13%"
25.01.1982,"3,1746","3,1746","3,1746","3,1746","0,13%"
26.01.1982,"3,1875","3,1875","3,1875","3,1875","0,41%"
27.01.1982,"3,2005","3,2005","3,2005","3,2005","0,41%"
28.01.1982,"3,1803","3,1803","3,1803","3,1803","-0,63%"
29.01.1982,"3,1803","3,1803","3,1803","3,1803","0,00%"
01.02.1982,"3,1709","3,1709","3,1709","3,1709","-0,30%"
02.02.1982,"3,1532","3,1532","3,1532","3,1532","-0,56%"
03.02.1982,"3,1392","3,1392","3,1392","3,1392","-0,44%"
04.02.1982,"3,1428","3,1428","3,1428","3,1428","0,11%"
05.02.1982,"3,1422","3,1422","3,1422","3,1422","-0,02%"
08.02.1982,"3,1451","3,1451","3,1451","3,1451","0,09%"
09.02.1982,"3,1237","3,1237","3,1237","3,1237","-0,68%"
10.02.1982,"3,1329","3,1329","3,1329","3,1329","0,29%"
11.02.1982,"3,1505","3,1505","3,1505","3,1505","0,56%"
16.02.1982,"3,1423","3,1423","3,1423","3,1423","-0,26%"
