Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"4,8861","4,8861","4,8861","4,8861","0,14%"
06.01.1982,"4,8786","4,8786","4,8786","4,8786","-0,15%"
07.01.1982,"4,9049","4,9049","4,9049","4,9049","0,54%"
08.01.1982,"4,9102","4,9102","4,9102","4,9102","0,11%"
11.01.1982,"4,9046","4,9046","4,9046","4,9046","-0,11%"
12.01.1982,"4,9236","4,9236","4,9236","4,9236","0,39%"
13.01.1982,"4,9219","4,9219","4,9219","4,9219","-0,03%"
14.01.1982,"4,9284","4,9284","4,9284","4,9284","0,13%"
15.01.1982,"4,9129","4,9129","4,9129","4,9129","-0,31%"
18.01.1982,"4,9080","4,9080","4,9080","4,9080","-0,10%"
19.01.1982,"4,9108","4,9108","4,9108","4,9108","0,06%"
20.01.1982,"4,9138","4,9138","4,9138","4,9138","0,06%"
21.01.1982,"4,9013","4,9013","4,9013","4,9013","-0,25%"
22.01.1982,"4,9184","4,9184","4,9184","4,9184","0,35%"
25.01.1982,"4,9524","4,9524","4,9524","4,9524","0,69%"
26.01.1982,"4,9377","4,9377","4,9377","4,9377","-0,30%"
27.01.1982,"4,9616","4,9616","4,9616","4,9616","0,48%"
28.01.1982,"4,9311","4,9311","4,9311","4,9311","-0,61%"
29.01.1982,"4,9311","4,9311","4,9311","4,9311","0,00%"
01.02.1982,"4,9480","4,9480","4,9480","4,9480","0,34%"
02.02.1982,"4,9204","4,9204","4,9204","4,9204","-0,56%"
03.02.1982,"4,9321","4,9321","4,9321","4,9321","0,24%"
04.02.1982,"4,8962","4,8962","4,8962","4,8962","-0,73%"
05.02.1982,"4,9121","4,9121","4,9121","4,9121","0,32%"
08.02.1982,"4,9309","4,9309","4,9309","4,9309","0,38%"
09.02.1982,"4,9071","4,9071","4,9071","4,9071","-0,48%"
10.02.1982,"4,9119","4,9119","4,9119","4,9119","0,10%"
11.02.1982,"4,9409","4,9409","4,9409","4,9409","0,59%"
16.02.1982,"4,9282","4,9282","4,9282","4,9282","-0,26%"
17.02.1982,"4,9376","4,9376","4,9376","4,9376","0,19%"
18.02.1982,"4,9111","4,9111","4,9111","4,9111","-0,54%"
19.02.1982,"4,8759","4,8759","4,8759","4,8759","-0,72%"
22.02.1982,"4,9059","4,9059","4,9059","4,9059","0,62%"
23.02.1982,"4,9308","4,9308","4,9308","4,9308","0,51%"
24.02.1982,"4,9209","4,9209","4,9209","4,9209","-0,20%"
25.02.1982,"4,9018","4,9018","4,9018","4,9018","-0,39%"
26.02.1982,"4,9011","4,9011","4,9011","4,9011","-0,01%"
01.03.1982,"4,8990","4,8990","4,8990","4,8990","-0,04%"
02.03.1982,"4,8931","4,8931","4,8931","4,8931","-0,12%"
03.03.1982,"4,8861","4,8861","4,8861","4,8861","-0,14%"
04.03.1982,"4,9053","4,9053","4,9053","4,9053","0,39%"
05.03.1982,"4,9130","4,9130","4,9130","4,9130","0,16%"
08.03.1982,"4,9007","4,9007","4,9007","4,9007","-0,25%"
09.03.1982,"4,9352","4,9352","4,9352","4,9352","0,70%"
10.03.1982,"4,9262","4,9262","4,9262","4,9262","-0,18%"
11.03.1982,"4,9447","4,9447","4,9447","4,9447","0,38%"
12.03.1982,"4,9321","4,9321","4,9321","4,9321","-0,25%"
15.03.1982,"4,9241","4,9241","4,9241","4,9241","-0,16%"
16.03.1982,"4,9470","4,9470","4,9470","4,9470","0,47%"
17.03.1982,"4,9490","4,9490","4,9490","4,9490","0,04%"
18.03.1982,"4,9613","4,9613","4,9613","4,9613","0,25%"
19.03.1982,"4,9492","4,9492","4,9492","4,9492","-0,24%"
22.03.1982,"4,9578","4,9578","4,9578","4,9578","0,17%"
23.03.1982,"4,9521","4,9521","4,9521","4,9521","-0,11%"
24.03.1982,"4,9473","4,9473","4,9473","4,9473","-0,10%"
25.03.1982,"4,9543","4,9543","4,9543","4,9543","0,14%"
26.03.1982,"4,9503","4,9503","4,9503","4,9503","-0,08%"
29.03.1982,"4,9761","4,9761","4,9761","4,9761","0,52%"
30.03.1982,"4,9809","4,9809","4,9809","4,9809","0,10%"
31.03.1982,"4,9622","4,9622","4,9622","4,9622","-0,38%"
01.04.1982,"4,9747","4,9747","4,9747","4,9747","0,25%"
02.04.1982,"4,9245","4,9245","4,9245","4,9245","-1,01%"
05.04.1982,"4,9694","4,9694","4,9694","4,9694","0,91%"
06.04.1982,"4,9760","4,9760","4,9760","4,9760","0,13%"
07.04.1982,"4,9611","4,9611","4,9611","4,9611","-0,30%"
08.04.1982,"4,9643","4,9643","4,9643","4,9643","0,06%"
09.04.1982,"4,9813","4,9813","4,9813","4,9813","0,34%"
12.04.1982,"4,9850","4,9850","4,9850","4,9850","0,07%"
13.04.1982,"4,9845","4,9845","4,9845","4,9845","-0,01%"
14.04.1982,"4,9967","4,9967","4,9967","4,9967","0,24%"
15.04.1982,"5,0213","5,0213","5,0213","5,0213","0,49%"
16.04.1982,"5,0197","5,0197","5,0197","5,0197","-0,03%"
19.04.1982,"5,0078","5,0078","5,0078","5,0078","-0,24%"
20.04.1982,"4,9738","4,9738","4,9738","4,9738","-0,68%"
21.04.1982,"4,9640","4,9640","4,9640","4,9640","-0,20%"
22.04.1982,"4,9551","4,9551","4,9551","4,9551","-0,18%"
23.04.1982,"4,9583","4,9583","4,9583","4,9583","0,06%"
26.04.1982,"4,9579","4,9579","4,9579","4,9579","-0,01%"
27.04.1982,"4,9253","4,9253","4,9253","4,9253","-0,66%"
28.04.1982,"4,9021","4,9021","4,9021","4,9021","-0,47%"
29.04.1982,"4,9067","4,9067","4,9067","4,9067","0,09%"
30.04.1982,"4,8967","4,8967","4,8967","4,8967","-0,20%"
03.05.1982,"4,8918","4,8918","4,8918","4,8918","-0,10%"
04.05.1982,"4,9030","4,9030","4,9030","4,9030","0,23%"
05.05.1982,"4,9015","4,9015","4,9015","4,9015","-0,03%"
06.05.1982,"4,8780","4,8780","4,8780","4,8780","-0,48%"
07.05.1982,"4,8483","4,8483","4,8483","4,8483","-0,61%"
10.05.1982,"4,8311","4,8311","4,8311","4,8311","-0,35%"
11.05.1982,"4,7979","4,7979","4,7979","4,7979","-0,69%"
12.05.1982,"4,7677","4,7677","4,7677","4,7677","-0,63%"
13.05.1982,"4,7950","4,7950","4,7950","4,7950","0,57%"
14.05.1982,"4,8000","4,8000","4,8000","4,8000","0,10%"
17.05.1982,"4,7914","4,7914","4,7914","4,7914","-0,18%"
18.05.1982,"4,8096","4,8096","4,8096","4,8096","0,38%"
19.05.1982,"4,8512","4,8512","4,8512","4,8512","0,86%"
20.05.1982,"4,8511","4,8511","4,8511","4,8511","-0,00%"
21.05.1982,"4,8223","4,8223","4,8223","4,8223","-0,59%"
24.05.1982,"4,8237","4,8237","4,8237","4,8237","0,03%"
25.05.1982,"4,8521","4,8521","4,8521","4,8521","0,59%"
26.05.1982,"4,8520","4,8520","4,8520","4,8520","-0,00%"
27.05.1982,"4,8418","4,8418","4,8418","4,8418","-0,21%"
28.05.1982,"4,8420","4,8420","4,8420","4,8420","0,00%"
01.06.1982,"4,8695","4,8695","4,8695","4,8695","0,57%"
02.06.1982,"4,8816","4,8816","4,8816","4,8816","0,25%"
03.06.1982,"4,8702","4,8702","4,8702","4,8702","-0,23%"
04.06.1982,"4,8524","4,8524","4,8524","4,8524","-0,37%"
07.06.1982,"4,8664","4,8664","4,8664","4,8664","0,29%"
08.06.1982,"4,8593","4,8593","4,8593","4,8593","-0,15%"
09.06.1982,"4,8493","4,8493","4,8493","4,8493","-0,21%"
10.06.1982,"4,8708","4,8708","4,8708","4,8708","0,44%"
11.06.1982,"4,8578","4,8578","4,8578","4,8578","-0,27%"
14.06.1982,"4,8494","4,8494","4,8494","4,8494","-0,17%"
15.06.1982,"4,8408","4,8408","4,8408","4,8408","-0,18%"
16.06.1982,"4,8242","4,8242","4,8242","4,8242","-0,34%"
17.06.1982,"4,8363","4,8363","4,8363","4,8363","0,25%"
18.06.1982,"4,8261","4,8261","4,8261","4,8261","-0,21%"
21.06.1982,"4,8423","4,8423","4,8423","4,8423","0,34%"
22.06.1982,"4,8205","4,8205","4,8205","4,8205","-0,45%"
23.06.1982,"4,8306","4,8306","4,8306","4,8306","0,21%"
24.06.1982,"4,8776","4,8776","4,8776","4,8776","0,97%"
25.06.1982,"4,8936","4,8936","4,8936","4,8936","0,33%"
28.06.1982,"4,8598","4,8598","4,8598","4,8598","-0,69%"
29.06.1982,"4,7865","4,7865","4,7865","4,7865","-1,51%"
30.06.1982,"4,8457","4,8457","4,8457","4,8457","1,24%"
01.07.1982,"4,9261","4,9261","4,9261","4,9261","1,66%"
02.07.1982,"4,9243","4,9243","4,9243","4,9243","-0,04%"
06.07.1982,"4,9269","4,9269","4,9269","4,9269","0,05%"
07.07.1982,"4,9337","4,9337","4,9337","4,9337","0,14%"
08.07.1982,"4,9690","4,9690","4,9690","4,9690","0,72%"
09.07.1982,"4,9875","4,9875","4,9875","4,9875","0,37%"
12.07.1982,"4,9933","4,9933","4,9933","4,9933","0,12%"
13.07.1982,"5,0330","5,0330","5,0330","5,0330","0,80%"
14.07.1982,"5,0252","5,0252","5,0252","5,0252","-0,15%"
15.07.1982,"5,0336","5,0336","5,0336","5,0336","0,17%"
16.07.1982,"5,0289","5,0289","5,0289","5,0289","-0,09%"
19.07.1982,"5,0171","5,0171","5,0171","5,0171","-0,23%"
20.07.1982,"5,0278","5,0278","5,0278","5,0278","0,21%"
21.07.1982,"5,0052","5,0052","5,0052","5,0052","-0,45%"
22.07.1982,"4,9869","4,9869","4,9869","4,9869","-0,37%"
23.07.1982,"4,9503","4,9503","4,9503","4,9503","-0,73%"
26.07.1982,"4,9521","4,9521","4,9521","4,9521","0,04%"
27.07.1982,"5,0305","5,0305","5,0305","5,0305","1,58%"
28.07.1982,"5,1028","5,1028","5,1028","5,1028","1,44%"
29.07.1982,"5,1003","5,1003","5,1003","5,1003","-0,05%"
30.07.1982,"5,1529","5,1529","5,1529","5,1529","1,03%"
02.08.1982,"5,2400","5,2400","5,2400","5,2400","1,69%"
03.08.1982,"5,2443","5,2443","5,2443","5,2443","0,08%"
04.08.1982,"5,3388","5,3388","5,3388","5,3388","1,80%"
05.08.1982,"5,3421","5,3421","5,3421","5,3421","0,06%"
06.08.1982,"5,3838","5,3838","5,3838","5,3838","0,78%"
09.08.1982,"5,3829","5,3829","5,3829","5,3829","-0,02%"
10.08.1982,"5,3973","5,3973","5,3973","5,3973","0,27%"
11.08.1982,"5,4089","5,4089","5,4089","5,4089","0,21%"
12.08.1982,"5,3734","5,3734","5,3734","5,3734","-0,66%"
13.08.1982,"5,4014","5,4014","5,4014","5,4014","0,52%"
16.08.1982,"5,3975","5,3975","5,3975","5,3975","-0,07%"
17.08.1982,"5,4571","5,4571","5,4571","5,4571","1,10%"
18.08.1982,"5,3698","5,3698","5,3698","5,3698","-1,60%"
19.08.1982,"5,4106","5,4106","5,4106","5,4106","0,76%"
20.08.1982,"5,3662","5,3662","5,3662","5,3662","-0,82%"
23.08.1982,"5,3512","5,3512","5,3512","5,3512","-0,28%"
24.08.1982,"5,3036","5,3036","5,3036","5,3036","-0,89%"
25.08.1982,"5,3182","5,3182","5,3182","5,3182","0,28%"
26.08.1982,"5,3380","5,3380","5,3380","5,3380","0,37%"
27.08.1982,"5,3412","5,3412","5,3412","5,3412","0,06%"
30.08.1982,"5,4053","5,4053","5,4053","5,4053","1,20%"
31.08.1982,"5,4229","5,4229","5,4229","5,4229","0,33%"
01.09.1982,"5,4126","5,4126","5,4126","5,4126","-0,19%"
02.09.1982,"5,3999","5,3999","5,3999","5,3999","-0,23%"
03.09.1982,"5,3770","5,3770","5,3770","5,3770","-0,42%"
07.09.1982,"5,5238","5,5238","5,5238","5,5238","2,73%"
08.09.1982,"5,5574","5,5574","5,5574","5,5574","0,61%"
09.09.1982,"5,5758","5,5758","5,5758","5,5758","0,33%"
10.09.1982,"5,6015","5,6015","5,6015","5,6015","0,46%"
13.09.1982,"5,6287","5,6287","5,6287","5,6287","0,49%"
14.09.1982,"5,6174","5,6174","5,6174","5,6174","-0,20%"
15.09.1982,"5,6298","5,6298","5,6298","5,6298","0,22%"
16.09.1982,"5,6492","5,6492","5,6492","5,6492","0,34%"
17.09.1982,"5,6305","5,6305","5,6305","5,6305","-0,33%"
20.09.1982,"5,6266","5,6266","5,6266","5,6266","-0,07%"
21.09.1982,"5,6468","5,6468","5,6468","5,6468","0,36%"
22.09.1982,"5,6329","5,6329","5,6329","5,6329","-0,25%"
23.09.1982,"5,6565","5,6565","5,6565","5,6565","0,42%"
24.09.1982,"5,6293","5,6293","5,6293","5,6293","-0,48%"
27.09.1982,"5,6527","5,6527","5,6527","5,6527","0,42%"
28.09.1982,"5,6474","5,6474","5,6474","5,6474","-0,09%"
29.09.1982,"5,6172","5,6172","5,6172","5,6172","-0,53%"
30.09.1982,"5,6378","5,6378","5,6378","5,6378","0,37%"
01.10.1982,"5,6403","5,6403","5,6403","5,6403","0,04%"
04.10.1982,"5,6614","5,6614","5,6614","5,6614","0,37%"
05.10.1982,"5,6502","5,6502","5,6502","5,6502","-0,20%"
06.10.1982,"5,6899","5,6899","5,6899","5,6899","0,70%"
07.10.1982,"5,7247","5,7247","5,7247","5,7247","0,61%"
08.10.1982,"5,8323","5,8323","5,8323","5,8323","1,88%"
12.10.1982,"5,8959","5,8959","5,8959","5,8959","1,09%"
13.10.1982,"5,9077","5,9077","5,9077","5,9077","0,20%"
14.10.1982,"5,8919","5,8919","5,8919","5,8919","-0,27%"
15.10.1982,"5,8984","5,8984","5,8984","5,8984","0,11%"
18.10.1982,"5,8876","5,8876","5,8876","5,8876","-0,18%"
19.10.1982,"5,8295","5,8295","5,8295","5,8295","-0,99%"
20.10.1982,"5,8425","5,8425","5,8425","5,8425","0,22%"
21.10.1982,"5,8942","5,8942","5,8942","5,8942","0,88%"
22.10.1982,"5,8963","5,8963","5,8963","5,8963","0,04%"
25.10.1982,"5,9088","5,9088","5,9088","5,9088","0,21%"
26.10.1982,"5,8792","5,8792","5,8792","5,8792","-0,50%"
27.10.1982,"5,8785","5,8785","5,8785","5,8785","-0,01%"
28.10.1982,"5,9200","5,9200","5,9200","5,9200","0,71%"
29.10.1982,"5,9090","5,9090","5,9090","5,9090","-0,19%"
01.11.1982,"5,9045","5,9045","5,9045","5,9045","-0,08%"
03.11.1982,"5,9302","5,9302","5,9302","5,9302","0,44%"
04.11.1982,"5,9694","5,9694","5,9694","5,9694","0,66%"
05.11.1982,"5,9689","5,9689","5,9689","5,9689","-0,01%"
08.11.1982,"6,0016","6,0016","6,0016","6,0016","0,55%"
09.11.1982,"5,9845","5,9845","5,9845","5,9845","-0,28%"
10.11.1982,"5,9644","5,9644","5,9644","5,9644","-0,34%"
12.11.1982,"5,9760","5,9760","5,9760","5,9760","0,19%"
15.11.1982,"5,9597","5,9597","5,9597","5,9597","-0,27%"
16.11.1982,"5,9267","5,9267","5,9267","5,9267","-0,55%"
17.11.1982,"5,9609","5,9609","5,9609","5,9609","0,58%"
