Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"3,5504","3,5504","3,5504","3,5504","0,81%"
28.12.1979,"3,5500","3,5500","3,5500","3,5500","-0,01%"
31.12.1979,"3,5511","3,5511","3,5511","3,5511","0,03%"
02.01.1980,"3,5281","3,5281","3,5281","3,5281","-0,65%"
03.01.1980,"3,5277","3,5277","3,5277","3,5277","-0,01%"
04.01.1980,"3,5349","3,5349","3,5349","3,5349","0,20%"
07.01.1980,"3,5577","3,5577","3,5577","3,5577","0,64%"
08.01.1980,"3,5624","3,5624","3,5624","3,5624","0,13%"
09.01.1980,"3,5728","3,5728","3,5728","3,5728","0,29%"
10.01.1980,"3,5602","3,5602","3,5602","3,5602","-0,35%"
11.01.1980,"3,5641","3,5641","3,5641","3,5641","0,11%"
14.01.1980,"3,5889","3,5889","3,5889","3,5889","0,70%"
15.01.1980,"3,6348","3,6348","3,6348","3,6348","1,28%"
16.01.1980,"3,6134","3,6134","3,6134","3,6134","-0,59%"
17.01.1980,"3,6105","3,6105","3,6105","3,6105","-0,08%"
18.01.1980,"3,6246","3,6246","3,6246","3,6246","0,39%"
21.01.1980,"3,6538","3,6538","3,6538","3,6538","0,81%"
22.01.1980,"3,6564","3,6564","3,6564","3,6564","0,07%"
23.01.1980,"3,6536","3,6536","3,6536","3,6536","-0,08%"
24.01.1980,"3,6658","3,6658","3,6658","3,6658","0,33%"
25.01.1980,"3,6671","3,6671","3,6671","3,6671","0,04%"
28.01.1980,"3,6502","3,6502","3,6502","3,6502","-0,46%"
29.01.1980,"3,6439","3,6439","3,6439","3,6439","-0,17%"
30.01.1980,"3,6717","3,6717","3,6717","3,6717","0,76%"
31.01.1980,"3,6953","3,6953","3,6953","3,6953","0,64%"
01.02.1980,"3,7151","3,7151","3,7151","3,7151","0,54%"
04.02.1980,"3,7182","3,7182","3,7182","3,7182","0,08%"
05.02.1980,"3,7106","3,7106","3,7106","3,7106","-0,20%"
06.02.1980,"3,7186","3,7186","3,7186","3,7186","0,22%"
07.02.1980,"3,7143","3,7143","3,7143","3,7143","-0,12%"
08.02.1980,"3,7258","3,7258","3,7258","3,7258","0,31%"
11.02.1980,"3,7241","3,7241","3,7241","3,7241","-0,05%"
12.02.1980,"3,7231","3,7231","3,7231","3,7231","-0,03%"
13.02.1980,"3,7157","3,7157","3,7157","3,7157","-0,20%"
14.02.1980,"3,7381","3,7381","3,7381","3,7381","0,60%"
15.02.1980,"3,7414","3,7414","3,7414","3,7414","0,09%"
18.02.1980,"3,7395","3,7395","3,7395","3,7395","-0,05%"
19.02.1980,"3,7248","3,7248","3,7248","3,7248","-0,39%"
20.02.1980,"3,7284","3,7284","3,7284","3,7284","0,10%"
21.02.1980,"3,7524","3,7524","3,7524","3,7524","0,64%"
22.02.1980,"3,7775","3,7775","3,7775","3,7775","0,67%"
25.02.1980,"3,8048","3,8048","3,8048","3,8048","0,72%"
26.02.1980,"3,8004","3,8004","3,8004","3,8004","-0,12%"
27.02.1980,"3,8147","3,8147","3,8147","3,8147","0,38%"
28.02.1980,"3,8148","3,8148","3,8148","3,8148","0,00%"
29.02.1980,"3,8735","3,8735","3,8735","3,8735","1,54%"
03.03.1980,"3,8605","3,8605","3,8605","3,8605","-0,34%"
04.03.1980,"3,8205","3,8205","3,8205","3,8205","-1,04%"
05.03.1980,"3,8334","3,8334","3,8334","3,8334","0,34%"
06.03.1980,"3,8209","3,8209","3,8209","3,8209","-0,33%"
07.03.1980,"3,8176","3,8176","3,8176","3,8176","-0,09%"
10.03.1980,"3,8386","3,8386","3,8386","3,8386","0,55%"
11.03.1980,"3,8532","3,8532","3,8532","3,8532","0,38%"
12.03.1980,"3,8655","3,8655","3,8655","3,8655","0,32%"
13.03.1980,"3,8694","3,8694","3,8694","3,8694","0,10%"
