Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1982,"121,29","121,29","121,29","121,29","-0,65%"
06.01.1982,"121,27","121,27","121,27","121,27","-0,02%"
07.01.1982,"121,39","121,39","121,39","121,39","0,10%"
08.01.1982,"121,16","121,16","121,16","121,16","-0,19%"
11.01.1982,"120,35","120,35","120,35","120,35","-0,67%"
12.01.1982,"120,02","120,02","120,02","120,02","-0,27%"
13.01.1982,"120,59","120,59","120,59","120,59","0,47%"
14.01.1982,"121,03","121,03","121,03","121,03","0,36%"
15.01.1982,"120,93","120,93","120,93","120,93","-0,08%"
18.01.1982,"121,85","121,85","121,85","121,85","0,76%"
19.01.1982,"121,52","121,52","121,52","121,52","-0,27%"
20.01.1982,"121,18","121,18","121,18","121,18","-0,28%"
21.01.1982,"122,38","122,38","122,38","122,38","0,99%"
22.01.1982,"122,69","122,69","122,69","122,69","0,25%"
25.01.1982,"122,68","122,68","122,68","122,68","-0,01%"
26.01.1982,"123,29","123,29","123,29","123,29","0,50%"
27.01.1982,"123,72","123,72","123,72","123,72","0,35%"
28.01.1982,"124,34","124,34","124,34","124,34","0,50%"
29.01.1982,"124,34","124,34","124,34","124,34","0,00%"
01.02.1982,"124,03","124,03","124,03","124,03","-0,25%"
02.02.1982,"123,85","123,85","123,85","123,85","-0,15%"
03.02.1982,"123,75","123,75","123,75","123,75","-0,08%"
04.02.1982,"124,19","124,19","124,19","124,19","0,36%"
05.02.1982,"123,85","123,85","123,85","123,85","-0,27%"
08.02.1982,"123,85","123,85","123,85","123,85","0,00%"
09.02.1982,"123,70","123,70","123,70","123,70","-0,12%"
10.02.1982,"124,11","124,11","124,11","124,11","0,33%"
11.02.1982,"124,23","124,23","124,23","124,23","0,10%"
16.02.1982,"125,90","125,90","125,90","125,90","1,34%"
17.02.1982,"125,52","125,52","125,52","125,52","-0,30%"
18.02.1982,"124,25","124,25","124,25","124,25","-1,01%"
19.02.1982,"123,97","123,97","123,97","123,97","-0,23%"
22.02.1982,"123,96","123,96","123,96","123,96","-0,01%"
23.02.1982,"124,99","124,99","124,99","124,99","0,83%"
24.02.1982,"124,88","124,88","124,88","124,88","-0,09%"
25.02.1982,"125,53","125,53","125,53","125,53","0,52%"
26.02.1982,"124,91","124,91","124,91","124,91","-0,49%"
01.03.1982,"125,83","125,83","125,83","125,83","0,74%"
02.03.1982,"126,58","126,58","126,58","126,58","0,60%"
03.03.1982,"125,79","125,79","125,79","125,79","-0,62%"
04.03.1982,"126,44","126,44","126,44","126,44","0,52%"
05.03.1982,"126,41","126,41","126,41","126,41","-0,02%"
08.03.1982,"127,17","127,17","127,17","127,17","0,60%"
09.03.1982,"127,31","127,31","127,31","127,31","0,11%"
10.03.1982,"127,60","127,60","127,60","127,60","0,23%"
11.03.1982,"128,03","128,03","128,03","128,03","0,34%"
12.03.1982,"127,65","127,65","127,65","127,65","-0,30%"
15.03.1982,"128,07","128,07","128,07","128,07","0,33%"
16.03.1982,"128,35","128,35","128,35","128,35","0,22%"
17.03.1982,"128,24","128,24","128,24","128,24","-0,09%"
18.03.1982,"128,38","128,38","128,38","128,38","0,11%"
19.03.1982,"128,57","128,57","128,57","128,57","0,15%"
22.03.1982,"128,71","128,71","128,71","128,71","0,11%"
23.03.1982,"129,14","129,14","129,14","129,14","0,33%"
24.03.1982,"128,25","128,25","128,25","128,25","-0,69%"
25.03.1982,"128,67","128,67","128,67","128,67","0,33%"
26.03.1982,"129,14","129,14","129,14","129,14","0,37%"
29.03.1982,"127,63","127,63","127,63","127,63","-1,17%"
30.03.1982,"127,17","127,17","127,17","127,17","-0,36%"
31.03.1982,"128,04","128,04","128,04","128,04","0,68%"
01.04.1982,"126,82","126,82","126,82","126,82","-0,95%"
02.04.1982,"126,61","126,61","126,61","126,61","-0,17%"
05.04.1982,"127,10","127,10","127,10","127,10","0,39%"
06.04.1982,"126,26","126,26","126,26","126,26","-0,66%"
07.04.1982,"125,24","125,24","125,24","125,24","-0,81%"
08.04.1982,"125,23","125,23","125,23","125,23","-0,01%"
09.04.1982,"125,06","125,06","125,06","125,06","-0,14%"
12.04.1982,"125,32","125,32","125,32","125,32","0,21%"
13.04.1982,"126,10","126,10","126,10","126,10","0,62%"
14.04.1982,"125,62","125,62","125,62","125,62","-0,38%"
15.04.1982,"125,46","125,46","125,46","125,46","-0,13%"
16.04.1982,"125,25","125,25","125,25","125,25","-0,17%"
19.04.1982,"125,13","125,13","125,13","125,13","-0,10%"
20.04.1982,"124,73","124,73","124,73","124,73","-0,32%"
21.04.1982,"124,47","124,47","124,47","124,47","-0,21%"
