Data,Último,Abertura,Máxima,Mínima,Variação
05.01.1981,"19,9462","19,9462","19,9462","19,9462","0,41%"
06.01.1981,"20,0309","20,0309","20,0309","20,0309","0,42%"
07.01.1981,"20,0371","20,0371","20,0371","20,0371","0,03%"
08.01.1981,"19,9690","19,9690","19,9690","19,9690","-0,34%"
09.01.1981,"19,9338","19,9338","19,9338","19,9338","-0,18%"
12.01.1981,"19,8863","19,8863","19,8863","19,8863","-0,24%"
13.01.1981,"19,8347","19,8347","19,8347","19,8347","-0,26%"
14.01.1981,"19,8347","19,8347","19,8347","19,8347","0,00%"
15.01.1981,"19,8553","19,8553","19,8553","19,8553","0,10%"
16.01.1981,"19,8285","19,8285","19,8285","19,8285","-0,13%"
19.01.1981,"19,8553","19,8553","19,8553","19,8553","0,14%"
20.01.1981,"19,8656","19,8656","19,8656","19,8656","0,05%"
21.01.1981,"19,9318","19,9318","19,9318","19,9318","0,33%"
22.01.1981,"19,9173","19,9173","19,9173","19,9173","-0,07%"
23.01.1981,"19,8471","19,8471","19,8471","19,8471","-0,35%"
26.01.1981,"19,8037","19,8037","19,8037","19,8037","-0,22%"
27.01.1981,"19,8140","19,8140","19,8140","19,8140","0,05%"
28.01.1981,"19,7727","19,7727","19,7727","19,7727","-0,21%"
29.01.1981,"19,6900","19,6900","19,6900","19,6900","-0,42%"
30.01.1981,"19,6033","19,6033","19,6033","19,6033","-0,44%"
02.02.1981,"19,5661","19,5661","19,5661","19,5661","-0,19%"
03.02.1981,"19,0743","19,0743","19,0743","19,0743","-2,51%"
04.02.1981,"19,5351","19,5351","19,5351","19,5351","2,42%"
05.02.1981,"19,5309","19,5309","19,5309","19,5309","-0,02%"
06.02.1981,"19,4958","19,4958","19,4958","19,4958","-0,18%"
09.02.1981,"19,4979","19,4979","19,4979","19,4979","0,01%"
10.02.1981,"19,4834","19,4834","19,4834","19,4834","-0,07%"
11.02.1981,"19,4524","19,4524","19,4524","19,4524","-0,16%"
13.02.1981,"19,2665","19,2665","19,2665","19,2665","-0,96%"
17.02.1981,"19,1735","19,1735","19,1735","19,1735","-0,48%"
18.02.1981,"19,2148","19,2148","19,2148","19,2148","0,22%"
19.02.1981,"19,2293","19,2293","19,2293","19,2293","0,08%"
20.02.1981,"19,2458","19,2458","19,2458","19,2458","0,09%"
23.02.1981,"19,2561","19,2561","19,2561","19,2561","0,05%"
24.02.1981,"19,1942","19,1942","19,1942","19,1942","-0,32%"
25.02.1981,"19,1012","19,1012","19,1012","19,1012","-0,48%"
26.02.1981,"19,0826","19,0826","19,0826","19,0826","-0,10%"
27.02.1981,"18,9690","18,9690","18,9690","18,9690","-0,60%"
02.03.1981,"18,8556","18,8556","18,8556","18,8556","-0,60%"
03.03.1981,"18,8556","18,8556","18,8556","18,8556","0,00%"
04.03.1981,"18,8156","18,8156","18,8156","18,8156","-0,21%"
05.03.1981,"18,7398","18,7398","18,7398","18,7398","-0,40%"
06.03.1981,"18,7193","18,7193","18,7193","18,7193","-0,11%"
09.03.1981,"18,7500","18,7500","18,7500","18,7500","0,16%"
10.03.1981,"18,8729","18,8729","18,8729","18,8729","0,66%"
11.03.1981,"18,8586","18,8586","18,8586","18,8586","-0,08%"
12.03.1981,"18,8525","18,8525","18,8525","18,8525","-0,03%"
13.03.1981,"18,8559","18,8559","18,8559","18,8559","0,02%"
16.03.1981,"18,9256","18,9256","18,9256","18,9256","0,37%"
17.03.1981,"18,9522","18,9522","18,9522","18,9522","0,14%"
18.03.1981,"18,9932","18,9932","18,9932","18,9932","0,22%"
19.03.1981,"19,0240","19,0240","19,0240","19,0240","0,16%"
20.03.1981,"18,9625","18,9625","18,9625","18,9625","-0,32%"
23.03.1981,"18,9318","18,9318","18,9318","18,9318","-0,16%"
24.03.1981,"19,1074","19,1074","19,1074","19,1074","0,93%"
25.03.1981,"19,0971","19,0971","19,0971","19,0971","-0,05%"
26.03.1981,"18,9980","18,9980","18,9980","18,9980","-0,52%"
27.03.1981,"18,9092","18,9092","18,9092","18,9092","-0,47%"
30.03.1981,"18,9237","18,9237","18,9237","18,9237","0,08%"
31.03.1981,"18,9051","18,9051","18,9051","18,9051","-0,10%"
01.04.1981,"18,9154","18,9154","18,9154","18,9154","0,05%"
02.04.1981,"18,8328","18,8328","18,8328","18,8328","-0,44%"
03.04.1981,"18,7477","18,7477","18,7477","18,7477","-0,45%"
06.04.1981,"18,6485","18,6485","18,6485","18,6485","-0,53%"
07.04.1981,"18,7684","18,7684","18,7684","18,7684","0,64%"
08.04.1981,"18,7684","18,7684","18,7684","18,7684","0,00%"
09.04.1981,"18,7374","18,7374","18,7374","18,7374","-0,17%"
10.04.1981,"18,7891","18,7891","18,7891","18,7891","0,28%"
13.04.1981,"18,6958","18,6958","18,6958","18,6958","-0,50%"
14.04.1981,"18,7372","18,7372","18,7372","18,7372","0,22%"
15.04.1981,"18,6439","18,6439","18,6439","18,6439","-0,50%"
16.04.1981,"18,6211","18,6211","18,6211","18,6211","-0,12%"
21.04.1981,"18,6418","18,6418","18,6418","18,6418","0,11%"
22.04.1981,"18,6958","18,6958","18,6958","18,6958","0,29%"
23.04.1981,"18,7061","18,7061","18,7061","18,7061","0,06%"
24.04.1981,"18,6958","18,6958","18,6958","18,6958","-0,06%"
27.04.1981,"18,7269","18,7269","18,7269","18,7269","0,17%"
28.04.1981,"18,6958","18,6958","18,6958","18,6958","-0,17%"
29.04.1981,"18,6439","18,6439","18,6439","18,6439","-0,28%"
30.04.1981,"18,6127","18,6127","18,6127","18,6127","-0,17%"
01.05.1981,"18,6024","18,6024","18,6024","18,6024","-0,06%"
05.05.1981,"18,4218","18,4218","18,4218","18,4218","-0,97%"
06.05.1981,"18,4364","18,4364","18,4364","18,4364","0,08%"
07.05.1981,"18,3949","18,3949","18,3949","18,3949","-0,23%"
08.05.1981,"18,4426","18,4426","18,4426","18,4426","0,26%"
11.05.1981,"18,4052","18,4052","18,4052","18,4052","-0,20%"
12.05.1981,"18,3534","18,3534","18,3534","18,3534","-0,28%"
13.05.1981,"18,3119","18,3119","18,3119","18,3119","-0,23%"
