Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"0,8006","0,8006","0,8006","0,8006","-1,14%"
28.12.1979,"0,8157","0,8157","0,8157","0,8157","1,89%"
31.12.1979,"0,8153","0,8153","0,8153","0,8153","-0,05%"
02.01.1980,"0,8112","0,8112","0,8112","0,8112","-0,50%"
03.01.1980,"0,8148","0,8148","0,8148","0,8148","0,44%"
04.01.1980,"0,8138","0,8138","0,8138","0,8138","-0,12%"
07.01.1980,"0,8177","0,8177","0,8177","0,8177","0,48%"
08.01.1980,"0,8200","0,8200","0,8200","0,8200","0,28%"
09.01.1980,"0,8138","0,8138","0,8138","0,8138","-0,76%"
10.01.1980,"0,8123","0,8123","0,8123","0,8123","-0,18%"
11.01.1980,"0,8136","0,8136","0,8136","0,8136","0,16%"
14.01.1980,"0,8131","0,8131","0,8131","0,8131","-0,06%"
15.01.1980,"0,8086","0,8086","0,8086","0,8086","-0,55%"
16.01.1980,"0,8052","0,8052","0,8052","0,8052","-0,42%"
17.01.1980,"0,8109","0,8109","0,8109","0,8109","0,71%"
18.01.1980,"0,8091","0,8091","0,8091","0,8091","-0,22%"
21.01.1980,"0,8066","0,8066","0,8066","0,8066","-0,31%"
22.01.1980,"0,8074","0,8074","0,8074","0,8074","0,10%"
23.01.1980,"0,8072","0,8072","0,8072","0,8072","-0,02%"
24.01.1980,"0,7920","0,7920","0,7920","0,7920","-1,88%"
25.01.1980,"0,8033","0,8033","0,8033","0,8033","1,43%"
28.01.1980,"0,7983","0,7983","0,7983","0,7983","-0,62%"
29.01.1980,"0,8016","0,8016","0,8016","0,8016","0,41%"
30.01.1980,"0,8014","0,8014","0,8014","0,8014","-0,02%"
31.01.1980,"0,8038","0,8038","0,8038","0,8038","0,30%"
01.02.1980,"0,8021","0,8021","0,8021","0,8021","-0,21%"
04.02.1980,"0,8064","0,8064","0,8064","0,8064","0,54%"
05.02.1980,"0,8066","0,8066","0,8066","0,8066","0,02%"
06.02.1980,"0,8096","0,8096","0,8096","0,8096","0,37%"
07.02.1980,"0,8074","0,8074","0,8074","0,8074","-0,27%"
08.02.1980,"0,8059","0,8059","0,8059","0,8059","-0,19%"
11.02.1980,"0,8058","0,8058","0,8058","0,8058","-0,01%"
12.02.1980,"0,8043","0,8043","0,8043","0,8043","-0,19%"
13.02.1980,"0,8010","0,8010","0,8010","0,8010","-0,41%"
14.02.1980,"0,8008","0,8008","0,8008","0,8008","-0,02%"
15.02.1980,"0,7975","0,7975","0,7975","0,7975","-0,41%"
18.02.1980,"0,7995","0,7995","0,7995","0,7995","0,25%"
19.02.1980,"0,7946","0,7946","0,7946","0,7946","-0,61%"
20.02.1980,"0,7925","0,7925","0,7925","0,7925","-0,26%"
21.02.1980,"0,7917","0,7917","0,7917","0,7917","-0,10%"
22.02.1980,"0,7897","0,7897","0,7897","0,7897","-0,25%"
25.02.1980,"0,7874","0,7874","0,7874","0,7874","-0,29%"
26.02.1980,"0,7862","0,7862","0,7862","0,7862","-0,15%"
27.02.1980,"0,7868","0,7868","0,7868","0,7868","0,08%"
28.02.1980,"0,7880","0,7880","0,7880","0,7880","0,15%"
29.02.1980,"0,7828","0,7828","0,7828","0,7828","-0,66%"
03.03.1980,"0,7778","0,7778","0,7778","0,7778","-0,64%"
04.03.1980,"0,7848","0,7848","0,7848","0,7848","0,90%"
05.03.1980,"0,7793","0,7793","0,7793","0,7793","-0,70%"
06.03.1980,"0,7805","0,7805","0,7805","0,7805","0,15%"
07.03.1980,"0,7795","0,7795","0,7795","0,7795","-0,13%"
10.03.1980,"0,7765","0,7765","0,7765","0,7765","-0,38%"
11.03.1980,"0,7771","0,7771","0,7771","0,7771","0,08%"
12.03.1980,"0,7779","0,7779","0,7779","0,7779","0,10%"
13.03.1980,"0,7761","0,7761","0,7761","0,7761","-0,23%"
14.03.1980,"0,7757","0,7757","0,7757","0,7757","-0,05%"
17.03.1980,"0,7688","0,7688","0,7688","0,7688","-0,89%"
18.03.1980,"0,7666","0,7666","0,7666","0,7666","-0,29%"
19.03.1980,"0,7699","0,7699","0,7699","0,7699","0,43%"
20.03.1980,"0,7684","0,7684","0,7684","0,7684","-0,19%"
21.03.1980,"0,7672","0,7672","0,7672","0,7672","-0,16%"
24.03.1980,"0,7660","0,7660","0,7660","0,7660","-0,16%"
25.03.1980,"0,7657","0,7657","0,7657","0,7657","-0,04%"
26.03.1980,"0,7654","0,7654","0,7654","0,7654","-0,04%"
27.03.1980,"0,7635","0,7635","0,7635","0,7635","-0,25%"
28.03.1980,"0,7625","0,7625","0,7625","0,7625","-0,13%"
31.03.1980,"0,7616","0,7616","0,7616","0,7616","-0,12%"
01.04.1980,"0,7572","0,7572","0,7572","0,7572","-0,58%"
02.04.1980,"0,7455","0,7455","0,7455","0,7455","-1,55%"
03.04.1980,"0,7536","0,7536","0,7536","0,7536","1,09%"
08.04.1980,"0,7545","0,7545","0,7545","0,7545","0,12%"
09.04.1980,"0,7646","0,7646","0,7646","0,7646","1,34%"
10.04.1980,"0,7607","0,7607","0,7607","0,7607","-0,51%"
11.04.1980,"0,7620","0,7620","0,7620","0,7620","0,17%"
14.04.1980,"0,7589","0,7589","0,7589","0,7589","-0,41%"
15.04.1980,"0,7615","0,7615","0,7615","0,7615","0,34%"
16.04.1980,"0,7648","0,7648","0,7648","0,7648","0,43%"
17.04.1980,"0,7642","0,7642","0,7642","0,7642","-0,08%"
18.04.1980,"0,7645","0,7645","0,7645","0,7645","0,04%"
21.04.1980,"0,7693","0,7693","0,7693","0,7693","0,63%"
22.04.1980,"0,7668","0,7668","0,7668","0,7668","-0,32%"
23.04.1980,"0,7726","0,7726","0,7726","0,7726","0,76%"
24.04.1980,"0,7715","0,7715","0,7715","0,7715","-0,14%"
25.04.1980,"0,7721","0,7721","0,7721","0,7721","0,08%"
28.04.1980,"0,7722","0,7722","0,7722","0,7722","0,01%"
29.04.1980,"0,7733","0,7733","0,7733","0,7733","0,14%"
30.04.1980,"0,7740","0,7740","0,7740","0,7740","0,09%"
01.05.1980,"0,7709","0,7709","0,7709","0,7709","-0,40%"
02.05.1980,"0,7670","0,7670","0,7670","0,7670","-0,51%"
06.05.1980,"0,7656","0,7656","0,7656","0,7656","-0,18%"
07.05.1980,"0,7688","0,7688","0,7688","0,7688","0,42%"
08.05.1980,"0,7708","0,7708","0,7708","0,7708","0,26%"
09.05.1980,"0,7698","0,7698","0,7698","0,7698","-0,13%"
12.05.1980,"0,7676","0,7676","0,7676","0,7676","-0,29%"
13.05.1980,"0,7710","0,7710","0,7710","0,7710","0,44%"
14.05.1980,"0,7716","0,7716","0,7716","0,7716","0,08%"
15.05.1980,"0,7655","0,7655","0,7655","0,7655","-0,79%"
16.05.1980,"0,7687","0,7687","0,7687","0,7687","0,42%"
19.05.1980,"0,7704","0,7704","0,7704","0,7704","0,22%"
20.05.1980,"0,7708","0,7708","0,7708","0,7708","0,05%"
21.05.1980,"0,7735","0,7735","0,7735","0,7735","0,35%"
22.05.1980,"0,7737","0,7737","0,7737","0,7737","0,03%"
23.05.1980,"0,7717","0,7717","0,7717","0,7717","-0,26%"
27.05.1980,"0,7705","0,7705","0,7705","0,7705","-0,16%"
28.05.1980,"0,7737","0,7737","0,7737","0,7737","0,42%"
29.05.1980,"0,7763","0,7763","0,7763","0,7763","0,34%"
30.05.1980,"0,7699","0,7699","0,7699","0,7699","-0,82%"
02.06.1980,"0,7690","0,7690","0,7690","0,7690","-0,12%"
03.06.1980,"0,7670","0,7670","0,7670","0,7670","-0,26%"
04.06.1980,"0,7653","0,7653","0,7653","0,7653","-0,22%"
05.06.1980,"0,7654","0,7654","0,7654","0,7654","0,01%"
06.06.1980,"0,7648","0,7648","0,7648","0,7648","-0,08%"
09.06.1980,"0,7691","0,7691","0,7691","0,7691","0,56%"
10.06.1980,"0,7725","0,7725","0,7725","0,7725","0,44%"
11.06.1980,"0,7730","0,7730","0,7730","0,7730","0,06%"
12.06.1980,"0,7675","0,7675","0,7675","0,7675","-0,71%"
13.06.1980,"0,7675","0,7675","0,7675","0,7675","0,00%"
16.06.1980,"0,7641","0,7641","0,7641","0,7641","-0,44%"
17.06.1980,"0,7653","0,7653","0,7653","0,7653","0,16%"
18.06.1980,"0,7653","0,7653","0,7653","0,7653","0,00%"
19.06.1980,"0,7668","0,7668","0,7668","0,7668","0,20%"
20.06.1980,"0,7621","0,7621","0,7621","0,7621","-0,61%"
23.06.1980,"0,7648","0,7648","0,7648","0,7648","0,35%"
24.06.1980,"0,7623","0,7623","0,7623","0,7623","-0,33%"
25.06.1980,"0,7619","0,7619","0,7619","0,7619","-0,05%"
26.06.1980,"0,7617","0,7617","0,7617","0,7617","-0,03%"
27.06.1980,"0,7593","0,7593","0,7593","0,7593","-0,32%"
30.06.1980,"0,7593","0,7593","0,7593","0,7593","0,00%"
01.07.1980,"0,7588","0,7588","0,7588","0,7588","-0,07%"
02.07.1980,"0,7595","0,7595","0,7595","0,7595","0,09%"
03.07.1980,"0,7610","0,7610","0,7610","0,7610","0,20%"
04.07.1980,"0,7581","0,7581","0,7581","0,7581","-0,38%"
07.07.1980,"0,7641","0,7641","0,7641","0,7641","0,79%"
08.07.1980,"0,7560","0,7560","0,7560","0,7560","-1,06%"
09.07.1980,"0,7569","0,7569","0,7569","0,7569","0,12%"
10.07.1980,"0,7573","0,7573","0,7573","0,7573","0,05%"
11.07.1980,"0,7570","0,7570","0,7570","0,7570","-0,04%"
14.07.1980,"0,7569","0,7569","0,7569","0,7569","-0,01%"
15.07.1980,"0,7555","0,7555","0,7555","0,7555","-0,18%"
