Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"360,98","360,98","360,98","360,98","0,82%"
28.12.1979,"362,00","362,00","362,00","362,00","0,28%"
31.12.1979,"361,42","361,42","361,42","361,42","-0,16%"
02.01.1980,"361,14","361,14","361,14","361,14","-0,08%"
03.01.1980,"361,03","361,03","361,03","361,03","-0,03%"
04.01.1980,"356,44","356,44","356,44","356,44","-1,27%"
07.01.1980,"351,87","351,87","351,87","351,87","-1,28%"
08.01.1980,"354,47","354,47","354,47","354,47","0,74%"
09.01.1980,"355,82","355,82","355,82","355,82","0,38%"
10.01.1980,"356,58","356,58","356,58","356,58","0,21%"
11.01.1980,"356,38","356,38","356,38","356,38","-0,06%"
14.01.1980,"356,65","356,65","356,65","356,65","0,08%"
15.01.1980,"360,53","360,53","360,53","360,53","1,09%"
16.01.1980,"357,99","357,99","357,99","357,99","-0,70%"
17.01.1980,"361,22","361,22","361,22","361,22","0,90%"
18.01.1980,"361,39","361,39","361,39","361,39","0,05%"
21.01.1980,"362,95","362,95","362,95","362,95","0,43%"
22.01.1980,"359,80","359,80","359,80","359,80","-0,87%"
23.01.1980,"355,70","355,70","355,70","355,70","-1,14%"
24.01.1980,"358,91","358,91","358,91","358,91","0,90%"
25.01.1980,"359,40","359,40","359,40","359,40","0,14%"
28.01.1980,"359,90","359,90","359,90","359,90","0,14%"
29.01.1980,"358,32","358,32","358,32","358,32","-0,44%"
30.01.1980,"358,55","358,55","358,55","358,55","0,06%"
31.01.1980,"357,66","357,66","357,66","357,66","-0,25%"
01.02.1980,"358,70","358,70","358,70","358,70","0,29%"
04.02.1980,"358,51","358,51","358,51","358,51","-0,05%"
05.02.1980,"358,43","358,43","358,43","358,43","-0,02%"
06.02.1980,"359,57","359,57","359,57","359,57","0,32%"
07.02.1980,"359,22","359,22","359,22","359,22","-0,10%"
08.02.1980,"361,00","361,00","361,00","361,00","0,50%"
11.02.1980,"361,49","361,49","361,49","361,49","0,14%"
12.02.1980,"361,41","361,41","361,41","361,41","-0,02%"
13.02.1980,"363,18","363,18","363,18","363,18","0,49%"
14.02.1980,"365,29","365,29","365,29","365,29","0,58%"
15.02.1980,"364,68","364,68","364,68","364,68","-0,17%"
18.02.1980,"365,84","365,84","365,84","365,84","0,32%"
19.02.1980,"365,85","365,85","365,85","365,85","0,00%"
20.02.1980,"366,55","366,55","366,55","366,55","0,19%"
21.02.1980,"366,57","366,57","366,57","366,57","0,01%"
22.02.1980,"366,63","366,63","366,63","366,63","0,02%"
25.02.1980,"367,43","367,43","367,43","367,43","0,22%"
26.02.1980,"366,60","366,60","366,60","366,60","-0,23%"
27.02.1980,"366,91","366,91","366,91","366,91","0,08%"
28.02.1980,"367,26","367,26","367,26","367,26","0,10%"
29.02.1980,"369,27","369,27","369,27","369,27","0,55%"
03.03.1980,"363,35","363,35","363,35","363,35","-1,60%"
04.03.1980,"359,23","359,23","359,23","359,23","-1,13%"
05.03.1980,"360,45","360,45","360,45","360,45","0,34%"
06.03.1980,"360,91","360,91","360,91","360,91","0,13%"
07.03.1980,"360,07","360,07","360,07","360,07","-0,23%"
10.03.1980,"357,25","357,25","357,25","357,25","-0,78%"
11.03.1980,"355,72","355,72","355,72","355,72","-0,43%"
12.03.1980,"356,93","356,93","356,93","356,93","0,34%"
13.03.1980,"355,73","355,73","355,73","355,73","-0,34%"
14.03.1980,"353,81","353,81","353,81","353,81","-0,54%"
17.03.1980,"347,35","347,35","347,35","347,35","-1,83%"
18.03.1980,"346,29","346,29","346,29","346,29","-0,31%"
19.03.1980,"346,81","346,81","346,81","346,81","0,15%"
20.03.1980,"347,85","347,85","347,85","347,85","0,30%"
21.03.1980,"346,60","346,60","346,60","346,60","-0,36%"
24.03.1980,"345,25","345,25","345,25","345,25","-0,39%"
25.03.1980,"344,15","344,15","344,15","344,15","-0,32%"
26.03.1980,"344,29","344,29","344,29","344,29","0,04%"
27.03.1980,"341,40","341,40","341,40","341,40","-0,84%"
28.03.1980,"339,76","339,76","339,76","339,76","-0,48%"
31.03.1980,"337,22","337,22","337,22","337,22","-0,75%"
01.04.1980,"339,60","339,60","339,60","339,60","0,71%"
02.04.1980,"345,86","345,86","345,86","345,86","1,84%"
03.04.1980,"344,35","344,35","344,35","344,35","-0,44%"
08.04.1980,"349,07","349,07","349,07","349,07","1,37%"
09.04.1980,"349,47","349,47","349,47","349,47","0,11%"
10.04.1980,"347,55","347,55","347,55","347,55","-0,55%"
11.04.1980,"352,90","352,90","352,90","352,90","1,54%"
14.04.1980,"350,69","350,69","350,69","350,69","-0,63%"
15.04.1980,"347,46","347,46","347,46","347,46","-0,92%"
16.04.1980,"347,96","347,96","347,96","347,96","0,14%"
17.04.1980,"348,23","348,23","348,23","348,23","0,08%"
18.04.1980,"349,36","349,36","349,36","349,36","0,32%"
21.04.1980,"352,34","352,34","352,34","352,34","0,85%"
22.04.1980,"350,60","350,60","350,60","350,60","-0,49%"
23.04.1980,"349,86","349,86","349,86","349,86","-0,21%"
24.04.1980,"349,92","349,92","349,92","349,92","0,02%"
25.04.1980,"352,21","352,21","352,21","352,21","0,65%"
28.04.1980,"348,20","348,20","348,20","348,20","-1,14%"
29.04.1980,"345,05","345,05","345,05","345,05","-0,90%"
30.04.1980,"344,96","344,96","344,96","344,96","-0,03%"
01.05.1980,"346,75","346,75","346,75","346,75","0,52%"
02.05.1980,"343,64","343,64","343,64","343,64","-0,90%"
06.05.1980,"335,79","335,79","335,79","335,79","-2,28%"
07.05.1980,"337,23","337,23","337,23","337,23","0,43%"
08.05.1980,"337,92","337,92","337,92","337,92","0,20%"
09.05.1980,"333,49","333,49","333,49","333,49","-1,31%"
12.05.1980,"328,80","328,80","328,80","328,80","-1,41%"
13.05.1980,"328,83","328,83","328,83","328,83","0,01%"
14.05.1980,"328,77","328,77","328,77","328,77","-0,02%"
15.05.1980,"329,96","329,96","329,96","329,96","0,36%"
16.05.1980,"331,86","331,86","331,86","331,86","0,58%"
19.05.1980,"330,07","330,07","330,07","330,07","-0,54%"
20.05.1980,"326,55","326,55","326,55","326,55","-1,07%"
21.05.1980,"326,41","326,41","326,41","326,41","-0,04%"
22.05.1980,"325,52","325,52","325,52","325,52","-0,27%"
23.05.1980,"323,29","323,29","323,29","323,29","-0,69%"
27.05.1980,"322,87","322,87","322,87","322,87","-0,13%"
28.05.1980,"328,07","328,07","328,07","328,07","1,61%"
29.05.1980,"327,82","327,82","327,82","327,82","-0,08%"
30.05.1980,"326,06","326,06","326,06","326,06","-0,54%"
02.06.1980,"326,69","326,69","326,69","326,69","0,19%"
03.06.1980,"326,13","326,13","326,13","326,13","-0,17%"
04.06.1980,"324,68","324,68","324,68","324,68","-0,44%"
05.06.1980,"322,73","322,73","322,73","322,73","-0,60%"
06.06.1980,"322,54","322,54","322,54","322,54","-0,06%"
09.06.1980,"319,51","319,51","319,51","319,51","-0,94%"
10.06.1980,"318,53","318,53","318,53","318,53","-0,31%"
11.06.1980,"320,53","320,53","320,53","320,53","0,63%"
12.06.1980,"319,54","319,54","319,54","319,54","-0,31%"
13.06.1980,"320,13","320,13","320,13","320,13","0,18%"
16.06.1980,"317,84","317,84","317,84","317,84","-0,72%"
17.06.1980,"317,55","317,55","317,55","317,55","-0,09%"
18.06.1980,"318,60","318,60","318,60","318,60","0,33%"
19.06.1980,"318,31","318,31","318,31","318,31","-0,09%"
20.06.1980,"318,81","318,81","318,81","318,81","0,16%"
23.06.1980,"318,15","318,15","318,15","318,15","-0,21%"
24.06.1980,"318,58","318,58","318,58","318,58","0,14%"
25.06.1980,"320,66","320,66","320,66","320,66","0,65%"
26.06.1980,"319,89","319,89","319,89","319,89","-0,24%"
27.06.1980,"320,55","320,55","320,55","320,55","0,21%"
30.06.1980,"324,03","324,03","324,03","324,03","1,09%"
01.07.1980,"323,81","323,81","323,81","323,81","-0,07%"
02.07.1980,"322,66","322,66","322,66","322,66","-0,36%"
03.07.1980,"323,70","323,70","323,70","323,70","0,32%"
04.07.1980,"324,22","324,22","324,22","324,22","0,16%"
07.07.1980,"324,76","324,76","324,76","324,76","0,17%"
08.07.1980,"326,91","326,91","326,91","326,91","0,66%"
09.07.1980,"325,64","325,64","325,64","325,64","-0,39%"
10.07.1980,"323,97","323,97","323,97","323,97","-0,51%"
11.07.1980,"324,30","324,30","324,30","324,30","0,10%"
