Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"0,9005","0,9005","0,9005","0,9005","-1,34%"
28.12.1979,"0,9160","0,9160","0,9160","0,9160","1,72%"
31.12.1979,"0,9178","0,9178","0,9178","0,9178","0,20%"
02.01.1980,"0,9130","0,9130","0,9130","0,9130","-0,52%"
03.01.1980,"0,9154","0,9154","0,9154","0,9154","0,26%"
04.01.1980,"0,9163","0,9163","0,9163","0,9163","0,10%"
07.01.1980,"0,9200","0,9200","0,9200","0,9200","0,40%"
08.01.1980,"0,9215","0,9215","0,9215","0,9215","0,16%"
09.01.1980,"0,9145","0,9145","0,9145","0,9145","-0,76%"
10.01.1980,"0,9139","0,9139","0,9139","0,9139","-0,07%"
11.01.1980,"0,9135","0,9135","0,9135","0,9135","-0,04%"
14.01.1980,"0,9149","0,9149","0,9149","0,9149","0,15%"
15.01.1980,"0,9114","0,9114","0,9114","0,9114","-0,38%"
16.01.1980,"0,9070","0,9070","0,9070","0,9070","-0,48%"
17.01.1980,"0,9125","0,9125","0,9125","0,9125","0,61%"
18.01.1980,"0,9104","0,9104","0,9104","0,9104","-0,23%"
21.01.1980,"0,9060","0,9060","0,9060","0,9060","-0,48%"
22.01.1980,"0,9077","0,9077","0,9077","0,9077","0,19%"
23.01.1980,"0,9098","0,9098","0,9098","0,9098","0,23%"
24.01.1980,"0,8909","0,8909","0,8909","0,8909","-2,08%"
25.01.1980,"0,9023","0,9023","0,9023","0,9023","1,28%"
28.01.1980,"0,8997","0,8997","0,8997","0,8997","-0,29%"
29.01.1980,"0,9032","0,9032","0,9032","0,9032","0,39%"
30.01.1980,"0,9029","0,9029","0,9029","0,9029","-0,03%"
31.01.1980,"0,9048","0,9048","0,9048","0,9048","0,21%"
01.02.1980,"0,9034","0,9034","0,9034","0,9034","-0,15%"
04.02.1980,"0,9085","0,9085","0,9085","0,9085","0,56%"
05.02.1980,"0,9072","0,9072","0,9072","0,9072","-0,14%"
06.02.1980,"0,9095","0,9095","0,9095","0,9095","0,25%"
07.02.1980,"0,9061","0,9061","0,9061","0,9061","-0,37%"
08.02.1980,"0,9059","0,9059","0,9059","0,9059","-0,02%"
11.02.1980,"0,9052","0,9052","0,9052","0,9052","-0,08%"
12.02.1980,"0,9040","0,9040","0,9040","0,9040","-0,13%"
13.02.1980,"0,9026","0,9026","0,9026","0,9026","-0,15%"
14.02.1980,"0,9006","0,9006","0,9006","0,9006","-0,22%"
