Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"1,6220","1,6202","1,6220","1,6202","-0,07%"
17.10.1989,"1,6220","1,6202","1,6220","1,6202","-0,07%"
18.10.1989,"1,6308","1,6288","1,6308","1,6288","0,54%"
18.10.1989,"1,6308","1,6288","1,6308","1,6288","0,54%"
19.10.1989,"1,6365","1,6315","1,6365","1,6315","0,35%"
19.10.1989,"1,6365","1,6315","1,6365","1,6315","0,35%"
20.10.1989,"1,6330","1,6314","1,6330","1,6314","-0,21%"
20.10.1989,"1,6330","1,6314","1,6330","1,6314","-0,21%"
23.10.1989,"1,6428","1,6413","1,6428","1,6413","0,60%"
23.10.1989,"1,6428","1,6413","1,6428","1,6413","0,60%"
24.10.1989,"1,6392","1,6375","1,6392","1,6375","-0,22%"
24.10.1989,"1,6392","1,6375","1,6392","1,6375","-0,22%"
25.10.1989,"1,6378","1,6361","1,6378","1,6361","-0,09%"
25.10.1989,"1,6378","1,6361","1,6378","1,6361","-0,09%"
26.10.1989,"1,6389","1,6375","1,6389","1,6375","0,07%"
26.10.1989,"1,6389","1,6375","1,6389","1,6375","0,07%"
27.10.1989,"1,6515","1,6500","1,6515","1,6500","0,77%"
27.10.1989,"1,6515","1,6500","1,6515","1,6500","0,77%"
30.10.1989,"1,6391","1,6376","1,6391","1,6376","-0,75%"
30.10.1989,"1,6391","1,6376","1,6391","1,6376","-0,75%"
31.10.1989,"1,6332","1,6317","1,6332","1,6317","-0,36%"
31.10.1989,"1,6332","1,6317","1,6332","1,6317","-0,36%"
01.11.1989,"1,6199","1,6185","1,6199","1,6185","-0,81%"
01.11.1989,"1,6199","1,6185","1,6199","1,6185","-0,81%"
02.11.1989,"1,6338","1,6324","1,6338","1,6324","0,86%"
02.11.1989,"1,6338","1,6324","1,6338","1,6324","0,86%"
03.11.1989,"1,6236","1,6223","1,6236","1,6223","-0,62%"
03.11.1989,"1,6236","1,6223","1,6236","1,6223","-0,62%"
06.11.1989,"1,6246","1,6232","1,6246","1,6232","0,06%"
06.11.1989,"1,6246","1,6232","1,6246","1,6232","0,06%"
07.11.1989,"1,6284","1,6270","1,6284","1,6270","0,23%"
07.11.1989,"1,6284","1,6270","1,6284","1,6270","0,23%"
08.11.1989,"1,6280","1,6266","1,6280","1,6266","-0,02%"
08.11.1989,"1,6280","1,6266","1,6280","1,6266","-0,02%"
09.11.1989,"1,6208","1,6197","1,6208","1,6197","-0,44%"
09.11.1989,"1,6208","1,6197","1,6208","1,6197","-0,44%"
10.11.1989,"1,6092","1,6078","1,6092","1,6078","-0,72%"
10.11.1989,"1,6092","1,6078","1,6092","1,6078","-0,72%"
13.11.1989,"1,6163","1,6149","1,6163","1,6149","0,44%"
13.11.1989,"1,6163","1,6149","1,6163","1,6149","0,44%"
14.11.1989,"1,6268","1,6255","1,6268","1,6255","0,65%"
14.11.1989,"1,6268","1,6255","1,6268","1,6255","0,65%"
15.11.1989,"1,6136","1,6120","1,6136","1,6120","-0,81%"
15.11.1989,"1,6136","1,6120","1,6136","1,6120","-0,81%"
16.11.1989,"1,6103","1,6089","1,6103","1,6089","-0,20%"
16.11.1989,"1,6103","1,6089","1,6103","1,6089","-0,20%"
17.11.1989,"1,6131","1,6118","1,6131","1,6118","0,17%"
17.11.1989,"1,6131","1,6118","1,6131","1,6118","0,17%"
20.11.1989,"1,6102","1,6102","1,6102","1,6102","-0,18%"
20.11.1989,"1,6102","1,6102","1,6102","1,6102","-0,18%"
21.11.1989,"1,6176","1,6161","1,6176","1,6161","0,46%"
21.11.1989,"1,6176","1,6161","1,6176","1,6161","0,46%"
22.11.1989,"1,6243","1,6229","1,6243","1,6229","0,41%"
22.11.1989,"1,6243","1,6229","1,6243","1,6229","0,41%"
23.11.1989,"1,6202","1,6191","1,6202","1,6191","-0,25%"
23.11.1989,"1,6202","1,6191","1,6202","1,6191","-0,25%"
24.11.1989,"1,6223","1,6209","1,6223","1,6209","0,13%"
24.11.1989,"1,6223","1,6209","1,6223","1,6209","0,13%"
27.11.1989,"1,6260","1,6246","1,6260","1,6246","0,23%"
27.11.1989,"1,6260","1,6246","1,6260","1,6246","0,23%"
28.11.1989,"1,6445","1,6430","1,6445","1,6430","1,14%"
28.11.1989,"1,6445","1,6430","1,6445","1,6430","1,14%"
29.11.1989,"1,6342","1,6328","1,6342","1,6328","-0,63%"
29.11.1989,"1,6342","1,6328","1,6342","1,6328","-0,63%"
30.11.1989,"1,6366","1,6352","1,6366","1,6352","0,15%"
30.11.1989,"1,6366","1,6352","1,6366","1,6352","0,15%"
01.12.1989,"1,6273","1,6256","1,6273","1,6256","-0,57%"
01.12.1989,"1,6273","1,6256","1,6273","1,6256","-0,57%"
04.12.1989,"1,6187","1,6173","1,6187","1,6173","-0,53%"
04.12.1989,"1,6187","1,6173","1,6187","1,6173","-0,53%"
05.12.1989,"1,6272","1,6257","1,6272","1,6257","0,53%"
05.12.1989,"1,6272","1,6257","1,6272","1,6257","0,53%"
06.12.1989,"1,6227","1,6214","1,6227","1,6214","-0,28%"
06.12.1989,"1,6227","1,6214","1,6227","1,6214","-0,28%"
07.12.1989,"1,6259","1,6246","1,6259","1,6246","0,20%"
07.12.1989,"1,6259","1,6246","1,6259","1,6246","0,20%"
08.12.1989,"1,6248","1,6227","1,6248","1,6227","-0,07%"
08.12.1989,"1,6248","1,6227","1,6248","1,6227","-0,07%"
