Data,Último,Abertura,Máxima,Mínima,Variação
17.10.1989,"0,3645","0,3642","0,3645","0,3642","-0,33%"
17.10.1989,"0,3645","0,3642","0,3645","0,3642","-0,33%"
18.10.1989,"0,3674","0,3670","0,3674","0,3670","0,80%"
18.10.1989,"0,3674","0,3670","0,3674","0,3670","0,80%"
19.10.1989,"0,3670","0,3662","0,3670","0,3662","-0,11%"
19.10.1989,"0,3670","0,3662","0,3670","0,3662","-0,11%"
20.10.1989,"0,3676","0,3672","0,3676","0,3672","0,16%"
20.10.1989,"0,3676","0,3672","0,3676","0,3672","0,16%"
23.10.1989,"0,3682","0,3678","0,3682","0,3678","0,16%"
23.10.1989,"0,3682","0,3678","0,3682","0,3678","0,16%"
24.10.1989,"0,3693","0,3690","0,3693","0,3690","0,30%"
24.10.1989,"0,3693","0,3690","0,3693","0,3690","0,30%"
25.10.1989,"0,3674","0,3670","0,3674","0,3670","-0,51%"
25.10.1989,"0,3674","0,3670","0,3674","0,3670","-0,51%"
26.10.1989,"0,3693","0,3690","0,3693","0,3690","0,52%"
26.10.1989,"0,3693","0,3690","0,3693","0,3690","0,52%"
27.10.1989,"0,3708","0,3705","0,3708","0,3705","0,41%"
27.10.1989,"0,3708","0,3705","0,3708","0,3705","0,41%"
30.10.1989,"0,3692","0,3690","0,3692","0,3690","-0,43%"
30.10.1989,"0,3692","0,3690","0,3692","0,3690","-0,43%"
31.10.1989,"0,3683","0,3680","0,3683","0,3680","-0,24%"
31.10.1989,"0,3683","0,3680","0,3683","0,3680","-0,24%"
01.11.1989,"0,3679","0,3676","0,3679","0,3676","-0,11%"
01.11.1989,"0,3679","0,3676","0,3679","0,3676","-0,11%"
02.11.1989,"0,3681","0,3678","0,3681","0,3678","0,05%"
02.11.1989,"0,3681","0,3678","0,3681","0,3678","0,05%"
03.11.1989,"0,3667","0,3664","0,3667","0,3664","-0,38%"
03.11.1989,"0,3667","0,3664","0,3667","0,3664","-0,38%"
06.11.1989,"0,3672","0,3669","0,3672","0,3669","0,14%"
06.11.1989,"0,3672","0,3669","0,3672","0,3669","0,14%"
07.11.1989,"0,3684","0,3681","0,3684","0,3681","0,33%"
07.11.1989,"0,3684","0,3681","0,3684","0,3681","0,33%"
08.11.1989,"0,3679","0,3676","0,3679","0,3676","-0,14%"
08.11.1989,"0,3679","0,3676","0,3679","0,3676","-0,14%"
09.11.1989,"0,3679","0,3676","0,3679","0,3676","0,00%"
09.11.1989,"0,3679","0,3676","0,3679","0,3676","0,00%"
10.11.1989,"0,3667","0,3665","0,3667","0,3665","-0,33%"
10.11.1989,"0,3667","0,3665","0,3667","0,3665","-0,33%"
13.11.1989,"0,3673","0,3670","0,3673","0,3670","0,16%"
13.11.1989,"0,3673","0,3670","0,3673","0,3670","0,16%"
14.11.1989,"0,3693","0,3690","0,3693","0,3690","0,54%"
14.11.1989,"0,3693","0,3690","0,3693","0,3690","0,54%"
15.11.1989,"0,3666","0,3663","0,3666","0,3663","-0,73%"
15.11.1989,"0,3666","0,3663","0,3666","0,3663","-0,73%"
16.11.1989,"0,3666","0,3663","0,3666","0,3663","0,00%"
16.11.1989,"0,3666","0,3663","0,3666","0,3663","0,00%"
17.11.1989,"0,3681","0,3679","0,3681","0,3679","0,41%"
17.11.1989,"0,3681","0,3679","0,3681","0,3679","0,41%"
20.11.1989,"0,3684","0,3684","0,3684","0,3684","0,08%"
20.11.1989,"0,3684","0,3684","0,3684","0,3684","0,08%"
21.11.1989,"0,3700","0,3698","0,3700","0,3698","0,43%"
21.11.1989,"0,3700","0,3698","0,3700","0,3698","0,43%"
22.11.1989,"0,3716","0,3714","0,3716","0,3714","0,43%"
22.11.1989,"0,3716","0,3714","0,3716","0,3714","0,43%"
23.11.1989,"0,3713","0,3711","0,3713","0,3711","-0,08%"
23.11.1989,"0,3713","0,3711","0,3713","0,3711","-0,08%"
24.11.1989,"0,3725","0,3722","0,3725","0,3722","0,32%"
24.11.1989,"0,3725","0,3722","0,3725","0,3722","0,32%"
27.11.1989,"0,3762","0,3759","0,3762","0,3759","0,99%"
27.11.1989,"0,3762","0,3759","0,3762","0,3759","0,99%"
28.11.1989,"0,3781","0,3778","0,3781","0,3778","0,51%"
28.11.1989,"0,3781","0,3778","0,3781","0,3778","0,51%"
29.11.1989,"0,3764","0,3761","0,3764","0,3761","-0,45%"
29.11.1989,"0,3764","0,3761","0,3764","0,3761","-0,45%"
30.11.1989,"0,3771","0,3768","0,3771","0,3768","0,19%"
30.11.1989,"0,3771","0,3768","0,3771","0,3768","0,19%"
01.12.1989,"0,3765","0,3762","0,3765","0,3762","-0,16%"
01.12.1989,"0,3765","0,3762","0,3765","0,3762","-0,16%"
04.12.1989,"0,3764","0,3761","0,3764","0,3761","-0,03%"
04.12.1989,"0,3764","0,3761","0,3764","0,3761","-0,03%"
05.12.1989,"0,3755","0,3752","0,3755","0,3752","-0,24%"
05.12.1989,"0,3755","0,3752","0,3755","0,3752","-0,24%"
06.12.1989,"0,3763","0,3760","0,3763","0,3760","0,21%"
06.12.1989,"0,3763","0,3760","0,3763","0,3760","0,21%"
07.12.1989,"0,3764","0,3761","0,3764","0,3761","0,03%"
07.12.1989,"0,3764","0,3761","0,3764","0,3761","0,03%"
08.12.1989,"0,3768","0,3764","0,3768","0,3764","0,11%"
08.12.1989,"0,3768","0,3764","0,3768","0,3764","0,11%"
11.12.1989,"0,3772","0,3770","0,3772","0,3770","0,11%"
11.12.1989,"0,3772","0,3770","0,3772","0,3770","0,11%"
12.12.1989,"0,3785","0,3783","0,3785","0,3783","0,34%"
12.12.1989,"0,3785","0,3783","0,3785","0,3783","0,34%"
13.12.1989,"0,3811","0,3808","0,3811","0,3808","0,69%"
13.12.1989,"0,3811","0,3808","0,3811","0,3808","0,69%"
14.12.1989,"0,3816","0,3814","0,3816","0,3814","0,13%"
14.12.1989,"0,3816","0,3814","0,3816","0,3814","0,13%"
15.12.1989,"0,3806","0,3802","0,3806","0,3802","-0,26%"
15.12.1989,"0,3806","0,3802","0,3806","0,3802","-0,26%"
18.12.1989,"0,3810","0,3806","0,3810","0,3806","0,11%"
18.12.1989,"0,3810","0,3806","0,3810","0,3806","0,11%"
19.12.1989,"0,3810","0,3808","0,3810","0,3808","0,00%"
19.12.1989,"0,3810","0,3808","0,3810","0,3808","0,00%"
20.12.1989,"0,3798","0,3795","0,3798","0,3795","-0,31%"
20.12.1989,"0,3798","0,3795","0,3798","0,3795","-0,31%"
21.12.1989,"0,3818","0,3815","0,3818","0,3815","0,53%"
21.12.1989,"0,3818","0,3815","0,3818","0,3815","0,53%"
22.12.1989,"0,3850","0,3842","0,3850","0,3842","0,84%"
22.12.1989,"0,3850","0,3842","0,3850","0,3842","0,84%"
27.12.1989,"0,3857","0,3855","0,3857","0,3855","0,18%"
27.12.1989,"0,3857","0,3855","0,3857","0,3855","0,18%"
28.12.1989,"0,3869","0,3860","0,3869","0,3860","0,31%"
28.12.1989,"0,3869","0,3860","0,3869","0,3860","0,31%"
29.12.1989,"0,3875","0,3873","0,3875","0,3873","0,16%"
29.12.1989,"0,3875","0,3873","0,3875","0,3873","0,16%"
02.01.1990,"0,3836","0,3833","0,3836","0,3833","-1,01%"
03.01.1990,"0,3853","0,3850","0,3853","0,3850","0,44%"
04.01.1990,"0,3916","0,3911","0,3916","0,3911","1,64%"
05.01.1990,"0,3884","0,3882","0,3884","0,3882","-0,82%"
08.01.1990,"0,3915","0,3910","0,3915","0,3910","0,80%"
09.01.1990,"0,3913","0,3908","0,3913","0,3908","-0,05%"
10.01.1990,"0,3911","0,3906","0,3911","0,3906","-0,05%"
11.01.1990,"0,3906","0,3902","0,3906","0,3902","-0,13%"
12.01.1990,"0,3920","0,3918","0,3920","0,3918","0,36%"
15.01.1990,"0,3888","0,3884","0,3888","0,3884","-0,82%"
16.01.1990,"0,3892","0,3887","0,3892","0,3887","0,10%"
17.01.1990,"0,3916","0,3914","0,3916","0,3914","0,62%"
18.01.1990,"0,3873","0,3869","0,3873","0,3869","-1,10%"
19.01.1990,"0,3885","0,3881","0,3885","0,3881","0,31%"
22.01.1990,"0,3864","0,3862","0,3864","0,3862","-0,54%"
23.01.1990,"0,3880","0,3877","0,3880","0,3877","0,41%"
24.01.1990,"0,3899","0,3897","0,3899","0,3897","0,49%"
25.01.1990,"0,3925","0,3920","0,3925","0,3920","0,67%"
26.01.1990,"0,3910","0,3906","0,3910","0,3906","-0,38%"
29.01.1990,"0,3929","0,3927","0,3929","0,3927","0,49%"
30.01.1990,"0,3927","0,3924","0,3927","0,3924","-0,05%"
31.01.1990,"0,3935","0,3930","0,3935","0,3930","0,20%"
01.02.1990,"0,3947","0,3944","0,3947","0,3944","0,30%"
02.02.1990,"0,3923","0,3921","0,3923","0,3921","-0,61%"
05.02.1990,"0,3937","0,3933","0,3937","0,3933","0,36%"
06.02.1990,"0,3947","0,3945","0,3947","0,3945","0,25%"
07.02.1990,"0,3951","0,3948","0,3951","0,3948","0,10%"
08.02.1990,"0,3945","0,3942","0,3945","0,3942","-0,15%"
09.02.1990,"0,3949","0,3946","0,3949","0,3946","0,10%"
12.02.1990,"0,3936","0,3932","0,3936","0,3932","-0,33%"
13.02.1990,"0,3917","0,3914","0,3917","0,3914","-0,48%"
14.02.1990,"0,3936","0,3933","0,3936","0,3933","0,49%"
15.02.1990,"0,3926","0,3924","0,3926","0,3924","-0,25%"
16.02.1990,"0,3920","0,3915","0,3920","0,3915","-0,15%"
19.02.1990,"0,3930","0,3928","0,3930","0,3928","0,26%"
20.02.1990,"0,3945","0,3942","0,3945","0,3942","0,38%"
21.02.1990,"0,3943","0,3941","0,3943","0,3941","-0,05%"
22.02.1990,"0,3948","0,3946","0,3948","0,3946","0,13%"
23.02.1990,"0,3941","0,3939","0,3941","0,3939","-0,18%"
26.02.1990,"0,3932","0,3930","0,3932","0,3930","-0,23%"
27.02.1990,"0,3932","0,3929","0,3932","0,3929","0,00%"
28.02.1990,"0,3927","0,3925","0,3927","0,3925","-0,13%"
01.03.1990,"0,3928","0,3925","0,3928","0,3925","0,03%"
02.03.1990,"0,3934","0,3929","0,3934","0,3929","0,15%"
05.03.1990,"0,3959","0,3955","0,3959","0,3955","0,64%"
06.03.1990,"0,3944","0,3942","0,3944","0,3942","-0,38%"
07.03.1990,"0,3955","0,3952","0,3955","0,3952","0,28%"
08.03.1990,"0,3970","0,3967","0,3970","0,3967","0,38%"
09.03.1990,"0,3977","0,3975","0,3977","0,3975","0,18%"
12.03.1990,"0,3968","0,3965","0,3968","0,3965","-0,23%"
13.03.1990,"0,3994","0,3991","0,3994","0,3991","0,66%"
14.03.1990,"0,3982","0,3979","0,3982","0,3979","-0,30%"
15.03.1990,"0,4012","0,4008","0,4012","0,4008","0,75%"
