Data,Último,Abertura,Máxima,Mínima,Variação
27.12.1979,"11,9619","11,9619","11,9619","11,9619","1,26%"
28.12.1979,"11,9604","11,9604","11,9604","11,9604","-0,01%"
31.12.1979,"11,9576","11,9576","11,9576","11,9576","-0,02%"
02.01.1980,"11,9303","11,9303","11,9303","11,9303","-0,23%"
03.01.1980,"11,9565","11,9565","11,9565","11,9565","0,22%"
04.01.1980,"11,9735","11,9735","11,9735","11,9735","0,14%"
07.01.1980,"12,0760","12,0760","12,0760","12,0760","0,86%"
08.01.1980,"12,1040","12,1040","12,1040","12,1040","0,23%"
09.01.1980,"12,1240","12,1240","12,1240","12,1240","0,17%"
10.01.1980,"12,0948","12,0948","12,0948","12,0948","-0,24%"
11.01.1980,"12,1103","12,1103","12,1103","12,1103","0,13%"
14.01.1980,"12,1831","12,1831","12,1831","12,1831","0,60%"
15.01.1980,"12,2976","12,2976","12,2976","12,2976","0,94%"
16.01.1980,"12,2667","12,2667","12,2667","12,2667","-0,25%"
17.01.1980,"12,2423","12,2423","12,2423","12,2423","-0,20%"
18.01.1980,"12,2943","12,2943","12,2943","12,2943","0,42%"
21.01.1980,"12,3453","12,3453","12,3453","12,3453","0,41%"
22.01.1980,"12,3181","12,3181","12,3181","12,3181","-0,22%"
23.01.1980,"12,3101","12,3101","12,3101","12,3101","-0,06%"
24.01.1980,"12,3248","12,3248","12,3248","12,3248","0,12%"
25.01.1980,"12,3049","12,3049","12,3049","12,3049","-0,16%"
28.01.1980,"12,2533","12,2533","12,2533","12,2533","-0,42%"
29.01.1980,"12,2302","12,2302","12,2302","12,2302","-0,19%"
30.01.1980,"12,2903","12,2903","12,2903","12,2903","0,49%"
31.01.1980,"12,3506","12,3506","12,3506","12,3506","0,49%"
01.02.1980,"12,4356","12,4356","12,4356","12,4356","0,69%"
04.02.1980,"12,4268","12,4268","12,4268","12,4268","-0,07%"
05.02.1980,"12,4538","12,4538","12,4538","12,4538","0,22%"
06.02.1980,"12,5267","12,5267","12,5267","12,5267","0,59%"
07.02.1980,"12,4877","12,4877","12,4877","12,4877","-0,31%"
08.02.1980,"12,5120","12,5120","12,5120","12,5120","0,19%"
11.02.1980,"12,5388","12,5388","12,5388","12,5388","0,21%"
12.02.1980,"12,5132","12,5132","12,5132","12,5132","-0,20%"
13.02.1980,"12,5342","12,5342","12,5342","12,5342","0,17%"
14.02.1980,"12,5427","12,5427","12,5427","12,5427","0,07%"
15.02.1980,"12,4967","12,4967","12,4967","12,4967","-0,37%"
18.02.1980,"12,4715","12,4715","12,4715","12,4715","-0,20%"
19.02.1980,"12,3826","12,3826","12,3826","12,3826","-0,71%"
20.02.1980,"12,3905","12,3905","12,3905","12,3905","0,06%"
21.02.1980,"12,4598","12,4598","12,4598","12,4598","0,56%"
22.02.1980,"12,4638","12,4638","12,4638","12,4638","0,03%"
25.02.1980,"12,4934","12,4934","12,4934","12,4934","0,24%"
26.02.1980,"12,5153","12,5153","12,5153","12,5153","0,18%"
27.02.1980,"12,5597","12,5597","12,5597","12,5597","0,35%"
28.02.1980,"12,5485","12,5485","12,5485","12,5485","-0,09%"
29.02.1980,"12,5580","12,5580","12,5580","12,5580","0,08%"
03.03.1980,"12,5244","12,5244","12,5244","12,5244","-0,27%"
04.03.1980,"12,3865","12,3865","12,3865","12,3865","-1,10%"
05.03.1980,"12,4799","12,4799","12,4799","12,4799","0,75%"
06.03.1980,"12,5552","12,5552","12,5552","12,5552","0,60%"
07.03.1980,"12,4664","12,4664","12,4664","12,4664","-0,71%"
10.03.1980,"12,5446","12,5446","12,5446","12,5446","0,63%"
11.03.1980,"12,5818","12,5818","12,5818","12,5818","0,30%"
12.03.1980,"12,5975","12,5975","12,5975","12,5975","0,12%"
13.03.1980,"12,6342","12,6342","12,6342","12,6342","0,29%"
14.03.1980,"12,6985","12,6985","12,6985","12,6985","0,51%"
17.03.1980,"12,7998","12,7998","12,7998","12,7998","0,80%"
18.03.1980,"12,8394","12,8394","12,8394","12,8394","0,31%"
19.03.1980,"12,7882","12,7882","12,7882","12,7882","-0,40%"
20.03.1980,"12,8092","12,8092","12,8092","12,8092","0,16%"
21.03.1980,"12,8102","12,8102","12,8102","12,8102","0,01%"
24.03.1980,"12,8806","12,8806","12,8806","12,8806","0,55%"
25.03.1980,"12,9783","12,9783","12,9783","12,9783","0,76%"
26.03.1980,"13,0143","13,0143","13,0143","13,0143","0,28%"
27.03.1980,"13,0131","13,0131","13,0131","13,0131","-0,01%"
28.03.1980,"13,0178","13,0178","13,0178","13,0178","0,04%"
31.03.1980,"13,0446","13,0446","13,0446","13,0446","0,21%"
01.04.1980,"13,0673","13,0673","13,0673","13,0673","0,17%"
02.04.1980,"13,0852","13,0852","13,0852","13,0852","0,14%"
03.04.1980,"13,0308","13,0308","13,0308","13,0308","-0,42%"
08.04.1980,"13,1092","13,1092","13,1092","13,1092","0,60%"
09.04.1980,"12,7786","12,7786","12,7786","12,7786","-2,52%"
10.04.1980,"12,8776","12,8776","12,8776","12,8776","0,77%"
11.04.1980,"12,8334","12,8334","12,8334","12,8334","-0,34%"
14.04.1980,"12,8690","12,8690","12,8690","12,8690","0,28%"
15.04.1980,"12,8882","12,8882","12,8882","12,8882","0,15%"
16.04.1980,"12,8663","12,8663","12,8663","12,8663","-0,17%"
17.04.1980,"12,8613","12,8613","12,8613","12,8613","-0,04%"
18.04.1980,"12,8807","12,8807","12,8807","12,8807","0,15%"
21.04.1980,"12,8791","12,8791","12,8791","12,8791","-0,01%"
22.04.1980,"12,9802","12,9802","12,9802","12,9802","0,78%"
