Data,Último,Abertura,Máxima,Mínima,Variação
02.03.1988,"0,6613","0,6613","0,6641","0,6598","0,52%"
03.03.1988,"0,6624","0,6624","0,6647","0,6600","0,17%"
04.03.1988,"0,6635","0,6635","0,6639","0,6614","0,17%"
07.03.1988,"0,6672","0,6672","0,6688","0,6641","0,56%"
08.03.1988,"0,6686","0,6686","0,6708","0,6664","0,21%"
09.03.1988,"0,6699","0,6699","0,6731","0,6689","0,19%"
10.03.1988,"0,6702","0,6702","0,6708","0,6680","0,04%"
11.03.1988,"0,6704","0,6704","0,6720","0,6696","0,03%"
14.03.1988,"0,6697","0,6697","0,6741","0,6693","-0,10%"
15.03.1988,"0,6688","0,6688","0,6720","0,6664","-0,13%"
16.03.1988,"0,6674","0,6674","0,6704","0,6658","-0,21%"
17.03.1988,"0,6672","0,6672","0,6708","0,6654","-0,03%"
18.03.1988,"0,6689","0,6689","0,6699","0,6637","0,25%"
21.03.1988,"0,6632","0,6632","0,6689","0,6619","-0,85%"
22.03.1988,"0,6650","0,6650","0,6655","0,6590","0,27%"
23.03.1988,"0,6632","0,6632","0,6667","0,6611","-0,27%"
24.03.1988,"0,6559","0,6559","0,6627","0,6555","-1,10%"
25.03.1988,"0,6434","0,6434","0,6571","0,6402","-1,91%"
28.03.1988,"0,6425","0,6425","0,6457","0,6324","-0,14%"
29.03.1988,"0,6529","0,6529","0,6542","0,6444","1,62%"
30.03.1988,"0,6484","0,6484","0,6559","0,6433","-0,69%"
31.03.1988,"0,6521","0,6521","0,6544","0,6475","0,57%"
01.04.1988,"0,6525","0,6525","0,6529","0,6525","0,06%"
04.04.1988,"0,6534","0,6534","0,6550","0,6525","0,14%"
05.04.1988,"0,6542","0,6542","0,6558","0,6525","0,12%"
06.04.1988,"0,6510","0,6510","0,6525","0,6500","-0,49%"
07.04.1988,"0,6507","0,6507","0,6511","0,6473","-0,05%"
08.04.1988,"0,6574","0,6574","0,6574","0,6500","1,03%"
11.04.1988,"0,6585","0,6585","0,6616","0,6556","0,17%"
12.04.1988,"0,6594","0,6594","0,6619","0,6585","0,14%"
13.04.1988,"0,6593","0,6593","0,6602","0,6578","-0,02%"
14.04.1988,"0,6611","0,6611","0,6614","0,6550","0,27%"
15.04.1988,"0,6600","0,6600","0,6629","0,6590","-0,17%"
18.04.1988,"0,6582","0,6582","0,6611","0,6574","-0,27%"
19.04.1988,"0,6594","0,6594","0,6600","0,6558","0,18%"
20.04.1988,"0,6637","0,6637","0,6647","0,6583","0,65%"
21.04.1988,"0,6644","0,6644","0,6659","0,6627","0,11%"
22.04.1988,"0,6696","0,6696","0,6717","0,6664","0,78%"
25.04.1988,"0,6722","0,6722","0,6738","0,6704","0,39%"
26.04.1988,"0,6688","0,6688","0,6720","0,6667","-0,51%"
27.04.1988,"0,6697","0,6697","0,6730","0,6643","0,13%"
28.04.1988,"0,6715","0,6715","0,6732","0,6681","0,27%"
29.04.1988,"0,6720","0,6720","0,6752","0,6715","0,07%"
02.05.1988,"0,6735","0,6735","0,6739","0,6708","0,22%"
03.05.1988,"0,6829","0,6829","0,6829","0,6754","1,40%"
04.05.1988,"0,6854","0,6854","0,6919","0,6815","0,37%"
05.05.1988,"0,6820","0,6820","0,6907","0,6765","-0,50%"
06.05.1988,"0,6855","0,6855","0,6865","0,6790","0,51%"
09.05.1988,"0,6875","0,6875","0,6890","0,6833","0,29%"
10.05.1988,"0,6875","0,6875","0,6915","0,6860","0,00%"
11.05.1988,"0,6890","0,6890","0,6908","0,6873","0,22%"
12.05.1988,"0,6873","0,6873","0,6884","0,6798","-0,25%"
13.05.1988,"0,6915","0,6915","0,6940","0,6879","0,61%"
16.05.1988,"0,6873","0,6873","0,6930","0,6862","-0,61%"
17.05.1988,"0,6826","0,6826","0,6890","0,6793","-0,68%"
18.05.1988,"0,6870","0,6870","0,6914","0,6778","0,64%"
19.05.1988,"0,6901","0,6901","0,6910","0,6857","0,45%"
20.05.1988,"0,6923","0,6923","0,6943","0,6894","0,32%"
23.05.1988,"0,6958","0,6958","0,6978","0,6927","0,51%"
24.05.1988,"0,6976","0,6976","0,6976","0,6910","0,26%"
25.05.1988,"0,6989","0,6989","0,7000","0,6930","0,19%"
26.05.1988,"0,6978","0,6978","0,7011","0,6949","-0,16%"
27.05.1988,"0,6965","0,6965","0,7022","0,6927","-0,19%"
30.05.1988,"0,6921","0,6921","0,6967","0,6912","-0,63%"
31.05.1988,"0,6938","0,6938","0,6945","0,6903","0,25%"
01.06.1988,"0,7026","0,7026","0,7048","0,6938","1,27%"
02.06.1988,"0,6980","0,6980","0,7024","0,6919","-0,65%"
03.06.1988,"0,6991","0,6991","0,7017","0,6958","0,16%"
06.06.1988,"0,6949","0,6949","0,6967","0,6910","-0,60%"
07.06.1988,"0,6989","0,6989","0,6993","0,6923","0,58%"
08.06.1988,"0,6974","0,6974","0,6991","0,6965","-0,21%"
09.06.1988,"0,7011","0,7011","0,7020","0,6958","0,53%"
10.06.1988,"0,7006","0,7006","0,7024","0,6985","-0,07%"
13.06.1988,"0,7033","0,7033","0,7079","0,7024","0,39%"
14.06.1988,"0,6991","0,6991","0,7066","0,6978","-0,60%"
15.06.1988,"0,7064","0,7064","0,7072","0,6958","1,04%"
16.06.1988,"0,7094","0,7094","0,7112","0,7039","0,42%"
17.06.1988,"0,7165","0,7165","0,7185","0,7075","1,00%"
20.06.1988,"0,7211","0,7211","0,7275","0,7169","0,64%"
21.06.1988,"0,7224","0,7224","0,7235","0,7178","0,18%"
22.06.1988,"0,7132","0,7132","0,7259","0,7123","-1,27%"
23.06.1988,"0,7149","0,7149","0,7149","0,6989","0,24%"
24.06.1988,"0,7044","0,7044","0,7147","0,7044","-1,47%"
27.06.1988,"0,6835","0,6835","0,6952","0,6804","-2,97%"
28.06.1988,"0,6769","0,6769","0,6938","0,6758","-0,97%"
29.06.1988,"0,6633","0,6633","0,6833","0,6585","-2,01%"
30.06.1988,"0,6769","0,6769","0,6809","0,6609","2,05%"
01.07.1988,"0,6714","0,6714","0,6793","0,6699","-0,81%"
04.07.1988,"0,6620","0,6620","0,6710","0,6600","-1,40%"
05.07.1988,"0,6846","0,6846","0,6857","0,6609","3,41%"
06.07.1988,"0,6947","0,6947","0,6954","0,6787","1,48%"
07.07.1988,"0,6890","0,6890","0,6978","0,6875","-0,82%"
08.07.1988,"0,6809","0,6809","0,6899","0,6800","-1,18%"
11.07.1988,"0,6705","0,6705","0,6738","0,6677","-1,53%"
12.07.1988,"0,6769","0,6769","0,6778","0,6688","0,95%"
13.07.1988,"0,6745","0,6745","0,6800","0,6723","-0,35%"
14.07.1988,"0,6484","0,6484","0,6745","0,6475","-3,87%"
15.07.1988,"0,6358","0,6358","0,6545","0,6349","-1,94%"
18.07.1988,"0,6554","0,6554","0,6578","0,6420","3,08%"
19.07.1988,"0,6635","0,6635","0,6655","0,6539","1,24%"
20.07.1988,"0,6545","0,6545","0,6640","0,6539","-1,36%"
21.07.1988,"0,6646","0,6646","0,6694","0,6543","1,54%"
22.07.1988,"0,6668","0,6668","0,6703","0,6629","0,33%"
25.07.1988,"0,6655","0,6655","0,6785","0,6609","-0,19%"
26.07.1988,"0,6651","0,6651","0,6699","0,6629","-0,06%"
27.07.1988,"0,6659","0,6659","0,6714","0,6554","0,12%"
28.07.1988,"0,6664","0,6664","0,6703","0,6609","0,08%"
